Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-06-20,ESTER,EQ,45.55,46.95,46.95,43.3,43.5,43.7,44.61,37596,167723545000.0,256,16354,0.435
2011-06-21,ESTER,EQ,43.7,41.55,44.9,41.55,42.25,42.2,42.99,21133,90851345000.0,140,15109,0.7149
2011-06-22,ESTER,EQ,42.2,43.25,43.25,41.0,41.5,41.35,42.1,18783,79074500000.0,171,9471,0.5042
2011-06-23,ESTER,EQ,41.35,40.75,43.45,40.75,41.05,41.1,41.89,15454,64739935000.0,159,8780,0.5681
2011-06-24,ESTER,EQ,41.1,42.0,42.9,41.3,42.5,42.15,42.36,21384,90587590000.0,197,12668,0.5924
2011-06-27,ESTER,EQ,42.15,43.7,43.8,42.15,42.65,42.75,43.04,13464,57947794999.99999,103,9076,0.6741
2011-06-28,ESTER,EQ,42.75,44.5,44.5,42.0,43.1,43.05,42.91,11373,48805230000.0,89,8902,0.7827
2011-06-29,ESTER,EQ,43.05,43.25,43.85,43.15,43.7,43.7,43.5,15408,67022765000.0,93,12656,0.8214
2011-06-30,ESTER,EQ,43.7,44.1,45.9,44.1,45.9,45.9,45.58,73379,334491550000.0,632,56401,0.7686000000000001
2011-07-01,ESTER,EQ,45.9,46.9,48.15,45.9,47.8,47.85,46.84,97163,455137859999.99994,618,64115,0.6598999999999999
2011-07-04,ESTER,EQ,47.85,48.8,49.5,48.25,48.6,48.85,48.81,49308,240684229999.99997,363,36579,0.7418000000000001
2011-07-05,ESTER,EQ,48.85,49.0,49.7,47.4,47.7,47.8,48.17,28247,136075035000.00002,217,16717,0.5918
2011-07-06,ESTER,EQ,47.8,47.1,49.2,47.1,48.2,48.05,48.06,24202,116318805000.0,186,15478,0.6395000000000001
2011-07-07,ESTER,EQ,48.05,48.05,50.9,47.9,49.15,49.3,49.62,57493,285291430000.0,525,32773,0.5700000000000001
2011-07-08,ESTER,EQ,49.3,49.5,50.2,47.75,48.3,48.25,48.84,46938,229225140000.0,453,20414,0.4349
2011-07-11,ESTER,EQ,48.25,48.5,48.9,47.6,48.15,48.05,48.17,23445,112927880000.0,289,11883,0.5068
2011-07-12,ESTER,EQ,48.05,46.8,47.9,46.5,47.4,47.05,47.12,35155,165647880000.0,287,23152,0.6586
2011-07-13,ESTER,EQ,47.05,45.9,46.5,45.5,45.7,45.65,45.72,51852,237084120000.00003,238,41356,0.7976000000000001
2011-07-14,ESTER,EQ,45.65,45.0,45.7,44.3,45.0,45.05,45.1,31267,141005265000.0,191,19014,0.6081000000000001
2011-07-15,ESTER,EQ,45.05,45.0,45.5,44.05,44.5,44.5,44.7,21946,98087935000.0,204,15836,0.7216
2011-07-18,ESTER,EQ,44.5,44.25,44.85,43.1,44.3,44.3,44.55,17249,76842485000.0,148,13013,0.7544
2011-07-19,ESTER,EQ,44.3,44.0,44.7,43.9,44.4,44.15,44.27,17723,78456485000.0,182,10366,0.5849000000000001
2011-07-20,ESTER,EQ,44.15,44.85,45.3,43.55,43.95,43.75,44.2,21169,93575005000.0,209,13968,0.6598
2011-07-21,ESTER,EQ,43.75,44.25,44.5,42.1,42.3,42.25,42.99,38777,166701080000.0,385,23940,0.6174000000000001
2011-07-22,ESTER,EQ,42.25,44.0,44.0,41.65,43.0,43.1,43.02,30453,131011245000.0,150,20238,0.6646
2011-07-25,ESTER,EQ,43.1,44.0,44.5,43.0,44.25,44.2,43.87,29968,131473385000.00002,207,19630,0.655
2011-07-26,ESTER,EQ,44.2,45.2,45.2,43.5,43.9,43.8,44.08,21566,95057575000.0,205,10757,0.4988
2011-07-27,ESTER,EQ,43.8,43.6,45.0,42.4,42.85,43.0,43.4,26141,113438875000.0,158,20979,0.8025
2011-07-28,ESTER,EQ,43.0,43.3,43.3,42.3,42.45,42.45,42.48,12793,54350600000.0,161,8386,0.6555
2011-07-29,ESTER,EQ,42.45,42.0,43.0,42.0,42.6,42.25,42.4,17580,74545445000.0,234,10210,0.5808
2011-08-01,ESTER,EQ,42.25,42.0,42.25,41.0,41.5,41.65,41.44,21964,91020405000.0,282,9575,0.43590000000000007
2011-08-02,ESTER,EQ,41.65,41.25,41.3,40.0,40.4,40.2,40.45,20774,84039460000.0,253,12271,0.5907
2011-08-03,ESTER,EQ,40.2,40.0,40.5,39.0,40.3,40.3,39.6,24229,95939230000.0,202,16118,0.6652
2011-08-04,ESTER,EQ,40.3,40.55,43.4,40.5,41.45,41.05,41.66,38411,160031770000.0,428,18941,0.49310000000000004
2011-08-05,ESTER,EQ,41.05,36.95,36.95,36.95,36.95,36.95,36.95,64541,238478995000.00003,204,58500,0.9064
2011-08-08,ESTER,EQ,36.95,33.25,34.75,33.25,33.25,33.25,33.49,93793,314124270000.0,547,63322,0.6751
2011-08-09,ESTER,EQ,33.25,29.95,32.4,29.95,30.5,30.45,30.59,103321,316088495000.0,886,51473,0.49820000000000003
2011-08-09,ESTER,EQ,33.25,29.95,32.4,29.95,30.5,30.45,30.59,103321,316088495000.0,886,51473,0.49820000000000003
2011-08-10,ESTER,EQ,30.45,31.9,32.0,29.15,31.85,31.7,31.66,56719,179590800000.0,696,30750,0.5421
2011-08-11,ESTER,EQ,31.7,31.3,32.5,31.1,31.9,31.95,31.81,26841,85393240000.0,200,17517,0.6526000000000001
2011-08-12,ESTER,EQ,31.95,32.0,32.55,31.75,32.2,32.05,32.11,22126,71051730000.0,164,16107,0.728
2011-08-16,ESTER,EQ,32.05,32.05,32.1,30.45,30.5,30.65,31.03,20560,63798919999.99999,151,14383,0.6996
2011-08-17,ESTER,EQ,30.65,31.45,31.45,29.15,29.2,29.4,29.47,21182,62421755000.00001,174,9686,0.4573
2011-08-18,ESTER,EQ,29.4,29.05,30.9,28.0,28.2,28.15,28.96,41464,120098350000.0,257,21319,0.5142
2011-08-19,ESTER,EQ,28.15,27.0,27.9,26.95,27.5,27.35,27.32,15621,42679625000.0,163,11559,0.74
2011-08-22,ESTER,EQ,27.35,27.2,28.5,26.1,27.0,26.65,26.62,16530,43998840000.0,161,8658,0.5238
2011-08-23,ESTER,EQ,26.65,27.4,28.0,27.1,28.0,28.0,27.78,13390,37192885000.0,77,11153,0.8329000000000001
2011-08-24,ESTER,EQ,28.0,28.0,29.4,28.0,29.4,29.4,29.33,1411,4138990000.0,18,1345,0.9531999999999999
2011-08-25,ESTER,EQ,29.4,30.9,30.9,30.0,30.75,30.4,30.64,53000,162415810000.0,420,27288,0.5149
2011-08-26,ESTER,EQ,30.4,30.9,31.7,29.0,29.5,29.45,30.26,24116,72964700000.0,197,15798,0.6551
2011-08-29,ESTER,EQ,29.45,30.9,30.95,29.5,30.15,30.15,30.12,39488,118954375000.0,112,36168,0.9159
2011-08-30,ESTER,EQ,30.15,30.6,31.0,30.3,30.7,30.75,30.7,10732,32947470000.0,69,8176,0.7618
2011-09-02,ESTER,EQ,30.75,30.3,30.9,29.5,29.8,29.8,29.72,15780,46896280000.0,237,12447,0.7888
2011-09-05,ESTER,EQ,29.8,29.5,29.5,28.4,28.95,28.85,28.9,15643,45205530000.0,105,9690,0.6194
2011-09-06,ESTER,EQ,28.85,29.5,30.0,27.5,28.4,28.6,28.4,22530,63978615000.0,206,14931,0.6627
2011-09-07,ESTER,EQ,28.6,29.5,29.5,28.8,28.95,28.9,29.08,5422,15765100000.0,84,4013,0.7401000000000001
2011-09-08,ESTER,EQ,28.9,29.9,31.45,29.1,30.8,31.05,30.2,21005,63437605000.00001,199,15605,0.7429000000000001
2011-09-09,ESTER,EQ,31.05,31.8,32.0,30.5,30.6,30.65,31.04,29065,90218885000.0,365,14585,0.5018
2011-09-12,ESTER,EQ,30.65,30.0,30.0,28.05,29.85,29.15,29.04,87502,254092504999.99997,186,82991,0.9484
2011-09-13,ESTER,EQ,29.15,29.0,30.5,28.55,29.0,29.05,29.44,11362,33448280000.0,103,7285,0.6412000000000001
2011-09-14,ESTER,EQ,29.05,29.1,30.25,29.0,29.2,29.45,29.42,18957,55769215000.0,137,6303,0.3325
2011-09-15,ESTER,EQ,29.45,29.3,29.95,29.0,29.25,29.2,29.14,7875,22949255000.0,63,3523,0.4474
2011-09-16,ESTER,EQ,29.2,30.6,30.6,28.5,29.4,29.35,29.42,10792,31754384999.999996,64,5297,0.4908
2011-09-19,ESTER,EQ,29.35,29.35,30.0,29.0,29.5,29.25,29.33,38933,114172355000.0,116,25486,0.6546
2011-09-20,ESTER,EQ,29.25,29.8,30.5,29.2,29.5,29.45,29.55,10248,30278084999.999996,92,5521,0.5387
2011-09-21,ESTER,EQ,29.45,29.5,30.45,28.3,29.45,29.3,29.49,27248,80344820000.0,174,18337,0.6729999999999999
2011-09-22,ESTER,EQ,29.3,29.25,29.5,28.4,28.8,28.55,28.73,14650,42093835000.0,128,11634,0.7941
2011-09-23,ESTER,EQ,28.55,28.7,29.0,28.0,28.5,28.55,28.53,18020,51402265000.0,110,8760,0.48610000000000003
2011-09-26,ESTER,EQ,28.55,28.95,28.95,27.3,28.1,28.0,27.72,46021,127582310000.00002,185,38007,0.8259000000000001
2011-09-27,ESTER,EQ,28.0,27.6,28.5,27.1,28.05,28.1,27.94,17955,50165300000.0,80,10191,0.5676
2011-09-28,ESTER,EQ,28.1,28.0,28.5,27.5,27.9,27.65,28.05,5751,16129475000.0,36,5135,0.8929
2011-09-29,ESTER,EQ,27.65,27.5,28.25,27.5,28.1,28.15,27.88,2855,7960055000.0,27,1461,0.5117
2011-09-30,ESTER,EQ,28.15,26.9,28.5,26.9,27.95,27.7,27.84,9608,26751045000.0,76,5420,0.5640999999999999
2011-10-03,ESTER,EQ,27.7,27.05,27.8,27.05,27.15,27.15,27.26,5328,14523175000.0,43,5242,0.9839
2011-10-04,ESTER,EQ,27.15,26.9,27.85,26.9,27.2,27.0,27.04,7082,19149125000.0,47,4721,0.6666
2011-10-05,ESTER,EQ,27.0,26.8,27.0,26.65,26.65,26.65,26.75,11509,30791245000.0,78,8830,0.7672
2011-10-07,ESTER,EQ,26.65,27.0,28.0,27.0,27.7,27.4,27.43,10523,28862359999.999996,126,5279,0.5017
2011-10-10,ESTER,EQ,27.4,27.25,28.45,27.25,28.4,28.4,28.05,4036,11322640000.0,52,2880,0.7136
2011-10-11,ESTER,EQ,28.4,28.8,28.8,28.1,28.5,28.75,28.54,6310,18005830000.0,75,4879,0.7732
2011-10-12,ESTER,EQ,28.75,28.6,29.5,28.55,29.45,29.4,29.06,4278,12432075000.0,43,2921,0.6828000000000001
2011-10-13,ESTER,EQ,29.4,29.5,30.9,29.2,29.6,29.6,29.91,10598,31697055000.0,77,7142,0.6739
2011-10-14,ESTER,EQ,29.6,29.6,30.0,29.0,29.0,29.15,29.46,9164,26998500000.0,90,7075,0.772
2011-10-17,ESTER,EQ,29.15,29.2,30.0,28.4,28.4,28.65,29.3,35114,102870575000.0,46,34121,0.9717
2011-10-18,ESTER,EQ,28.65,28.4,29.0,28.25,28.5,28.5,28.33,4230,11984130000.0,28,3372,0.7972
2011-10-19,ESTER,EQ,28.5,28.1,28.95,28.1,28.75,28.65,28.58,5800,16573640000.0,35,2425,0.4181
2011-10-20,ESTER,EQ,28.65,29.4,29.4,28.0,28.0,28.3,28.4,3838,10901690000.0,38,3180,0.8286
2011-10-21,ESTER,EQ,28.3,29.0,29.45,28.55,28.55,28.85,28.99,13134,38074700000.0,68,11633,0.8856999999999999
2011-10-24,ESTER,EQ,28.85,28.0,29.65,28.0,28.75,29.05,29.02,3469,10066330000.0,45,1883,0.5428000000000001
2011-10-24,ESTER,EQ,28.85,28.0,29.65,28.0,28.75,29.05,29.02,3469,10066330000.0,45,1883,0.5428000000000001
2011-10-25,ESTER,EQ,29.05,28.0,29.0,28.0,28.9,28.75,28.7,25572,73382050000.0,48,24653,0.9641
2011-10-26,ESTER,EQ,28.75,29.0,30.25,28.15,29.0,29.25,29.27,2560,7492695000.0,27,1813,0.7081999999999999
2011-10-28,ESTER,EQ,29.25,29.1,29.9,28.7,29.0,29.2,29.16,21433,62507569999.99999,101,13370,0.6238
2011-10-31,ESTER,EQ,29.2,30.0,32.15,30.0,32.15,32.15,31.93,41011,130964989999.99998,177,34011,0.8293
2011-11-01,ESTER,EQ,32.15,34.7,35.4,33.65,35.4,35.4,35.31,186445,658342435000.0,764,125398,0.6726000000000001
2011-11-02,ESTER,EQ,35.4,37.0,38.75,36.0,37.5,37.6,37.6,163513,614772905000.0,1352,109290,0.6684
2011-11-03,ESTER,EQ,37.6,38.0,38.0,35.75,35.75,35.75,36.19,44784,162093725000.0,342,34624,0.7731
2011-11-04,ESTER,EQ,35.75,34.0,36.45,34.0,34.1,34.25,34.46,46093,158842355000.0,348,35181,0.7633
2011-11-08,ESTER,EQ,34.25,34.2,34.85,32.55,32.55,32.55,33.01,59912,197790735000.0,262,52694,0.8795000000000001
2011-11-09,ESTER,EQ,32.55,33.0,33.0,30.95,31.05,31.05,31.17,61884,192876375000.0,384,52655,0.8509000000000001
2011-11-11,ESTER,EQ,31.05,31.1,31.1,29.5,30.6,30.15,29.65,48250,143071885000.0,369,36820,0.7631
2011-11-14,ESTER,EQ,30.15,31.0,31.0,28.65,28.65,28.65,29.15,31683,92368585000.0,219,25483,0.8043000000000001
2011-11-15,ESTER,EQ,28.65,29.0,29.4,27.25,28.9,28.45,28.31,19329,54723319999.99999,187,14765,0.7639
2011-11-16,ESTER,EQ,28.45,27.75,27.75,27.05,27.1,27.1,27.15,35244,95677270000.0,214,22251,0.6313000000000001
2011-11-17,ESTER,EQ,27.1,27.05,27.8,26.15,27.35,27.25,27.08,18890,51153955000.0,218,9892,0.5236999999999999
2011-11-18,ESTER,EQ,27.25,27.5,27.5,25.9,26.3,26.6,26.42,28236,74590310000.0,237,14110,0.4997
2011-11-21,ESTER,EQ,26.6,26.15,26.85,25.3,25.3,25.3,25.37,36166,91735110000.0,102,21500,0.5945
2011-11-22,ESTER,EQ,25.3,24.05,24.45,24.05,24.05,24.05,24.06,39080,94026920000.0,185,34670,0.8872
2011-11-23,ESTER,EQ,24.05,24.0,24.0,22.85,23.2,23.0,23.05,42293,97474440000.0,165,33159,0.784
2011-11-24,ESTER,EQ,23.0,23.5,23.5,21.85,22.3,22.15,22.03,64014,141002770000.0,281,50960,0.7961
2011-11-25,ESTER,EQ,22.15,23.25,23.3,22.05,23.3,23.3,23.07,46392,107021385000.00002,207,22155,0.47759999999999997
2011-11-28,ESTER,EQ,23.3,24.4,24.5,23.6,24.5,24.5,24.46,33480,81896705000.0,280,25589,0.7643000000000001
2011-11-29,ESTER,EQ,24.5,24.5,25.7,24.25,25.7,25.7,25.36,29907,75842730000.0,373,20966,0.701
2011-11-30,ESTER,EQ,25.7,25.7,26.7,24.7,25.0,25.35,25.9,30290,78448070000.0,304,18952,0.6257
2011-12-01,ESTER,EQ,25.35,26.45,26.45,25.0,25.0,25.2,25.62,12604,32285980000.0,114,8851,0.7022
2011-12-02,ESTER,EQ,25.2,24.55,25.6,24.0,24.15,24.1,24.3,31885,77473775000.0,182,20375,0.639
2011-12-05,ESTER,EQ,24.1,24.2,24.3,23.7,23.8,23.8,23.94,10316,24691375000.0,87,7880,0.7639
2011-12-07,ESTER,EQ,23.8,23.95,24.0,23.5,23.75,23.7,23.81,12228,29120225000.0,113,8058,0.659
2011-12-08,ESTER,EQ,23.7,23.95,23.95,23.1,23.1,23.15,23.42,6942,16256645000.000002,99,4981,0.7175
2011-12-09,ESTER,EQ,23.15,24.25,24.25,22.0,23.45,23.45,22.91,7823,17922410000.0,80,4240,0.542
2011-12-12,ESTER,EQ,23.45,23.5,24.5,23.0,23.0,23.2,23.33,9413,21964225000.0,77,7017,0.7454999999999999
2011-12-13,ESTER,EQ,23.2,22.8,23.35,22.8,23.2,23.15,23.07,11239,25930965000.0,62,8446,0.7515000000000001
2011-12-14,ESTER,EQ,23.15,22.4,24.3,22.2,24.0,24.0,24.01,15158,36392455000.0,177,10819,0.7137000000000001
2011-12-15,ESTER,EQ,24.0,23.1,23.5,22.8,23.15,23.25,23.03,7310,16837325000.0,65,5666,0.7751000000000001
2011-12-16,ESTER,EQ,23.25,22.75,23.45,22.15,22.95,22.4,22.86,11329,25894915000.0,70,8677,0.7659
2011-12-19,ESTER,EQ,22.4,22.0,23.5,21.3,21.3,21.4,21.48,32581,69973330000.0,196,19891,0.6104999999999999
2011-12-20,ESTER,EQ,21.4,21.5,22.3,20.35,20.35,20.35,20.57,23075,47468545000.0,121,14700,0.6371
2011-12-21,ESTER,EQ,20.35,20.0,20.6,19.55,20.35,20.45,19.79,39155,77473190000.0,105,31982,0.8168000000000001
2011-12-22,ESTER,EQ,20.45,21.3,21.3,19.5,20.2,20.3,19.81,12176,24115110000.0,93,6830,0.5609000000000001
2011-12-23,ESTER,EQ,20.3,20.0,21.3,20.0,21.3,21.3,20.84,17645,36771215000.0,125,12862,0.7289
2011-12-26,ESTER,EQ,21.3,21.3,21.95,21.1,21.15,21.35,21.45,16534,35458540000.0,276,12606,0.7624
2011-12-27,ESTER,EQ,21.35,20.5,21.85,20.5,21.35,21.05,21.18,4676,9904810000.0,34,2755,0.5892000000000001
2011-12-28,ESTER,EQ,21.05,20.7,21.6,20.25,20.45,20.35,20.54,4834,9928310000.0,54,3409,0.7051999999999999
2011-12-29,ESTER,EQ,20.35,20.25,20.8,19.6,20.45,20.25,20.33,6380,12973520000.0,54,3188,0.4997
2011-12-30,ESTER,EQ,20.25,20.7,21.0,20.1,20.75,20.65,20.7,5727,11856170000.0,45,4617,0.8062
2012-01-02,ESTER,EQ,20.65,21.45,21.45,20.1,20.6,20.25,20.36,2522,5133910000.0,32,1978,0.7843000000000001
