Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2009-02-13,PRETAILDVR,EQ,176.3,190.0,190.0,141.25,141.5,142.2,147.06,8786,129209435000.00002,,5001,0.5692
2009-02-16,PRETAILDVR,EQ,142.2,121.0,135.0,119.0,119.0,125.25,128.36,16269,208823200000.0,,15522,0.9541
2009-02-17,PRETAILDVR,EQ,125.25,125.0,125.0,100.25,100.5,102.0,100.9,89921,907338305000.0001,,86614,0.9632
2009-02-18,PRETAILDVR,EQ,102.0,119.0,119.0,95.0,96.05,100.0,100.17,377862,3785136365000.0,,372438,0.9856
2009-02-19,PRETAILDVR,EQ,100.0,102.0,107.0,97.0,100.0,99.8,100.98,251242,2537046745000.0,,235613,0.9378000000000001
2009-02-20,PRETAILDVR,EQ,99.8,100.0,103.0,91.0,96.0,93.7,99.57,138303,1377038440000.0,,137144,0.9916
2009-02-24,PRETAILDVR,EQ,93.7,93.5,93.5,78.0,83.0,83.3,81.18,54115,439331884999.99994,,48303,0.8926000000000001
2009-02-25,PRETAILDVR,EQ,83.3,85.0,94.65,82.0,91.5,90.65,86.11,149247,1285215145000.0,,120351,0.8064
2009-02-26,PRETAILDVR,EQ,90.65,85.0,86.5,76.0,83.2,85.4,80.93,71186,576139015000.0,,61248,0.8604
2009-02-27,PRETAILDVR,EQ,85.4,82.1,84.8,77.05,78.0,78.55,79.45,1652,13124754999.999998,,1452,0.8789
2009-03-02,PRETAILDVR,EQ,78.55,78.25,79.0,73.0,75.0,75.35,75.35,7395,55720335000.0,,6417,0.8677
2009-03-03,PRETAILDVR,EQ,75.35,73.0,75.0,71.0,71.0,72.2,73.74,11410,84140950000.0,,9991,0.8756
2009-03-04,PRETAILDVR,EQ,72.2,66.05,74.0,66.05,70.55,70.55,70.12,40079,281013910000.0,,39526,0.9862000000000001
2009-03-05,PRETAILDVR,EQ,70.55,61.05,72.95,61.05,70.0,70.0,70.15,16383,114924305000.0,,16027,0.9783000000000001
2009-03-06,PRETAILDVR,EQ,70.0,65.0,73.0,64.0,70.0,69.15,67.36,12999,87556935000.0,,10996,0.8459000000000001
2009-03-09,PRETAILDVR,EQ,69.15,70.0,70.0,65.0,67.0,67.9,65.94,8260,54466369999.99999,,7408,0.8969
2009-03-12,PRETAILDVR,EQ,67.9,54.5,73.0,54.5,72.05,70.35,69.61,179813,1251594500000.0,,167321,0.9305
2009-03-13,PRETAILDVR,EQ,70.35,79.0,83.0,69.0,80.0,81.95,76.33,51755,395020510000.0,,40037,0.7736000000000001
2009-03-16,PRETAILDVR,EQ,81.95,77.05,88.9,77.05,85.25,84.0,84.71,6926,58667255000.00001,,3441,0.4968
2009-03-17,PRETAILDVR,EQ,84.0,80.25,87.3,80.0,84.95,86.25,83.95,14799,124241955000.0,,13699,0.9257
2009-03-18,PRETAILDVR,EQ,86.25,85.05,94.0,85.05,88.0,90.5,90.1,339060,3054863935000.0,,337676,0.9959
2009-03-19,PRETAILDVR,EQ,90.5,86.5,95.0,80.0,95.0,90.9,86.56,16058,138999765000.0,,5993,0.37320000000000003
2009-03-20,PRETAILDVR,EQ,90.9,85.1,94.0,85.1,90.0,91.85,92.46,13925,128747895000.0,,10251,0.7362000000000001
2009-03-23,PRETAILDVR,EQ,91.85,87.2,101.0,87.2,98.0,100.2,99.41,16169,160728745000.0,,13343,0.8251999999999999
2009-03-24,PRETAILDVR,EQ,100.2,99.0,101.0,90.5,101.0,100.4,100.03,29275,292826310000.0,,28852,0.9856
2009-03-25,PRETAILDVR,EQ,100.4,94.0,104.0,94.0,102.0,101.85,100.38,58985,592113715000.0,,50308,0.8529000000000001
2009-03-26,PRETAILDVR,EQ,101.85,118.5,118.5,98.0,103.0,105.8,104.74,17834,186784725000.0,,15551,0.872
2009-03-27,PRETAILDVR,EQ,105.8,100.0,113.0,100.0,105.1,109.75,108.97,16445,179198350000.0,,15095,0.9179
2009-03-30,PRETAILDVR,EQ,109.75,100.0,114.0,96.4,114.0,113.05,111.59,21736,242561100000.0,,19102,0.8788
2009-03-31,PRETAILDVR,EQ,113.05,110.0,120.0,107.0,114.0,116.8,115.7,8267,95646445000.0,,5520,0.6677
2009-04-01,PRETAILDVR,EQ,116.8,107.5,113.0,107.5,108.1,108.95,109.84,17855,196117830000.0,,16928,0.9481
2009-04-02,PRETAILDVR,EQ,108.95,110.0,113.0,104.5,111.65,111.65,110.3,3977,43864575000.0,,3625,0.9115000000000001
2009-04-06,PRETAILDVR,EQ,111.65,110.5,114.7,108.15,110.0,110.0,109.71,462,5068550000.0,,366,0.7922
2009-04-08,PRETAILDVR,EQ,110.0,102.05,111.0,102.05,107.0,107.05,105.76,3596,38030300000.0,,2989,0.8312
2009-04-09,PRETAILDVR,EQ,107.05,108.0,114.0,102.25,103.0,102.75,107.57,2060,22159825000.0,,1867,0.9063
2009-04-13,PRETAILDVR,EQ,102.75,112.9,113.05,112.9,113.05,113.05,113.03,335,3786425000.0,,335,1.0
2009-04-15,PRETAILDVR,EQ,113.05,119.3,124.4,113.15,124.4,124.4,123.13,4460,54917310000.0,,4371,0.98
2009-04-16,PRETAILDVR,EQ,124.4,133.0,136.0,112.0,112.0,112.0,125.84,3248,40871740000.0,,2851,0.8778
2009-04-17,PRETAILDVR,EQ,112.0,112.0,113.5,102.0,109.4,108.4,107.2,9013,96622950000.0,,5802,0.6437
2009-04-20,PRETAILDVR,EQ,108.4,105.0,109.8,103.9,106.2,104.65,105.78,1763,18648575000.0,,1300,0.7373999999999999
2009-04-21,PRETAILDVR,EQ,104.65,106.0,114.8,101.0,114.6,114.6,110.01,29561,325201640000.0,,29258,0.9897
2009-04-22,PRETAILDVR,EQ,114.6,115.0,126.1,111.1,117.0,117.55,124.0,3408,42259805000.0,,2401,0.7045
2009-04-23,PRETAILDVR,EQ,117.55,120.0,129.0,120.0,125.0,126.4,123.5,1581,19525745000.0,,446,0.2821
2009-04-24,PRETAILDVR,EQ,126.4,121.0,134.8,120.0,127.0,129.9,126.61,17667,223689254999.99997,,14119,0.7992
2009-04-27,PRETAILDVR,EQ,129.9,125.0,139.9,123.05,123.05,125.0,125.23,57010,713910885000.0,,55126,0.9670000000000001
2009-04-28,PRETAILDVR,EQ,125.0,121.1,128.75,115.1,123.5,121.4,120.26,15297,183961565000.0,,12559,0.821
2009-04-29,PRETAILDVR,EQ,121.4,116.0,127.8,116.0,120.0,120.0,122.68,219,2686660000.0,,161,0.7352
2009-05-04,PRETAILDVR,EQ,120.0,111.05,132.0,111.05,130.0,127.05,127.02,37479,476074630000.0,,34079,0.9093000000000001
2009-05-05,PRETAILDVR,EQ,127.05,130.0,138.5,126.05,138.5,131.8,132.42,1440,19068985000.0,,1116,0.775
2009-05-06,PRETAILDVR,EQ,131.8,130.0,135.0,125.0,130.0,127.65,125.44,9433,118325360000.00002,,8281,0.8779000000000001
2009-05-07,PRETAILDVR,EQ,127.65,130.0,133.0,128.0,133.0,132.35,131.57,455,5986480000.0,,274,0.6022
2009-05-08,PRETAILDVR,EQ,132.35,133.0,135.0,121.0,135.0,130.45,130.1,21560,280504780000.0,,21319,0.9888
2009-05-11,PRETAILDVR,EQ,130.45,130.0,130.0,112.5,129.85,129.55,123.27,13388,165033370000.0,,8825,0.6592
2009-05-12,PRETAILDVR,EQ,129.55,125.0,135.0,121.1,135.0,133.1,131.55,12931,170105705000.0,,9611,0.7433
2009-05-13,PRETAILDVR,EQ,133.1,141.75,141.75,128.0,135.25,135.4,135.71,5444,73882815000.0,,3380,0.6209
2009-05-14,PRETAILDVR,EQ,135.4,137.0,142.15,122.2,128.0,127.5,132.24,891,11782895000.0,,685,0.7687999999999999
2009-05-15,PRETAILDVR,EQ,127.5,149.55,149.55,128.15,132.0,136.3,137.89,151,2082095000.0,,98,0.649
2009-05-18,PRETAILDVR,EQ,136.3,163.5,163.5,163.5,163.5,163.5,163.5,50,817500000.0,,50,1.0
2009-05-19,PRETAILDVR,EQ,163.5,193.0,193.0,145.0,164.0,170.1,171.54,21609,370678125000.0,,17307,0.8009000000000001
2009-05-20,PRETAILDVR,EQ,170.1,175.0,188.8,166.0,182.0,182.0,183.62,3023,55509435000.0,,2621,0.867
