Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-02-22,FSL,EQ,64.0,90.1,90.1,76.55,79.5,79.55,81.82,53656750,439034073920000.0,,18811140,0.3506
2007-02-23,FSL,EQ,79.55,80.9,82.2,78.65,80.2,80.05,80.44,17554890,141204217910000.0,,6423008,0.36590000000000006
2007-02-26,FSL,EQ,80.05,80.7,85.5,78.1,81.15,81.85,82.48,13470061,111097277559999.98,,2409177,0.1789
2007-02-27,FSL,EQ,81.85,82.0,84.35,80.2,82.1,82.6,82.9,8050388,66734701060000.0,,1516580,0.1884
2007-02-28,FSL,EQ,82.6,78.9,80.7,74.1,79.25,78.4,78.9,4480363,35352144130000.0,,2184370,0.4875
2007-03-01,FSL,EQ,78.4,80.5,80.55,77.8,78.1,78.05,78.53,3122780,24523571535000.0,,1663071,0.5326
2007-03-02,FSL,EQ,78.05,86.3,86.3,77.05,79.0,79.0,79.02,2978973,23538954350000.0,,1949558,0.6544
2007-03-05,FSL,EQ,79.0,76.5,77.9,68.6,71.0,70.75,73.38,2930744,21506424545000.0,,1295035,0.44189999999999996
2007-03-06,FSL,EQ,70.75,74.15,75.0,68.65,71.75,70.9,72.06,3020075,21762922120000.0,,1584696,0.5246999999999999
2007-03-07,FSL,EQ,70.9,72.9,72.9,64.0,64.7,64.65,67.12,2233027,14988818119999.998,,1143427,0.5121
2007-03-08,FSL,EQ,64.65,68.45,68.45,61.15,65.0,65.4,64.82,2130798,13811251375000.0,,792189,0.3718
2007-03-09,FSL,EQ,65.4,66.0,66.75,63.55,63.55,64.05,65.09,1594394,10377801485000.0,,817397,0.5127
2007-03-12,FSL,EQ,64.05,64.7,70.2,63.75,69.55,69.55,68.37,2282968,15607613125000.0,,798129,0.3496
2007-03-13,FSL,EQ,69.55,70.2,81.3,69.6,77.55,78.05,77.16,7450148,57486926000000.0,,1146815,0.1539
2007-03-14,FSL,EQ,78.05,75.0,75.0,71.35,71.8,72.25,73.59,2599215,19127945095000.0,,659118,0.2536
2007-03-15,FSL,EQ,72.25,82.0,82.0,73.45,74.0,74.35,75.22,2611703,19645373745000.0,,595660,0.2281
2007-03-16,FSL,EQ,74.35,75.0,75.7,71.8,73.5,73.0,73.15,1024200,7491877430000.0,,257030,0.251
2007-03-19,FSL,EQ,73.0,73.7,74.9,72.7,73.5,73.5,73.44,731335,5371242070000.0,,300700,0.4112
2007-03-20,FSL,EQ,73.5,74.1,75.0,71.8,72.3,72.2,73.79,899272,6635803080000.0,,394311,0.4385
2007-03-21,FSL,EQ,72.2,72.65,76.85,71.5,76.6,75.6,74.65,1334608,9962447260000.0,,653022,0.4893
2007-03-22,FSL,EQ,75.6,78.0,78.95,76.5,76.7,77.1,77.33,1475778,11412539870000.0,,727806,0.4932
2007-03-23,FSL,EQ,77.1,78.0,78.0,73.4,74.25,73.95,74.83,870374,6512826230000.0,,431612,0.49590000000000006
2007-03-26,FSL,EQ,73.95,74.5,74.5,68.9,70.35,69.9,70.99,1055304,7492125620000.0,,715534,0.6779999999999999
2007-03-28,FSL,EQ,69.9,69.0,72.3,68.3,71.3,71.2,70.99,675802,4797766480000.0,,264322,0.3911
2007-03-29,FSL,EQ,71.2,70.95,74.0,70.5,73.75,73.7,72.35,638136,4617121140000.0,,272517,0.42710000000000004
2007-03-30,FSL,EQ,73.7,73.2,74.0,72.0,72.3,72.25,73.04,300215,2192666525000.0,,118370,0.3943
2007-04-02,FSL,EQ,72.25,71.0,72.0,70.0,70.25,70.2,70.72,211212,1493704390000.0,,118840,0.5627000000000001
2007-04-03,FSL,EQ,70.2,71.0,71.9,69.5,71.0,71.05,70.44,266046,1874028020000.0,,145101,0.5454
2007-04-04,FSL,EQ,71.05,71.4,73.0,70.55,71.55,71.3,71.57,358760,2567817130000.0,,150174,0.4186
2007-04-05,FSL,EQ,71.3,71.5,72.75,70.55,71.0,71.1,71.46,312766,2235060260000.0,,124402,0.39770000000000005
2007-04-09,FSL,EQ,71.1,71.9,73.5,71.55,72.0,72.1,72.32,421326,3047097960000.0,,167540,0.3976
2007-04-10,FSL,EQ,72.1,72.5,73.95,72.0,73.2,73.3,73.22,680905,4985854375000.0,,234488,0.3444
2007-04-11,FSL,EQ,73.3,73.4,74.85,72.85,73.7,73.8,73.86,565874,4179454990000.0,,233057,0.4119
2007-04-12,FSL,EQ,73.8,72.3,75.4,72.25,74.25,74.25,74.21,476789,3538298815000.0,,183841,0.38560000000000005
2007-04-13,FSL,EQ,74.25,75.5,76.7,74.0,75.2,75.4,75.55,952755,7197750084999.999,,446256,0.46840000000000004
2007-04-16,FSL,EQ,75.4,76.0,77.95,75.75,76.7,76.6,77.09,729585,5624353130000.0,,297645,0.408
2007-04-17,FSL,EQ,76.6,76.75,81.7,74.65,78.8,78.75,79.15,2157772,17079235590000.0,,710240,0.32920000000000005
2007-04-18,FSL,EQ,78.75,79.6,80.85,77.1,77.1,77.4,79.19,1148816,9097927385000.0,,348933,0.3037
2007-04-19,FSL,EQ,77.4,77.0,78.9,75.85,78.9,78.15,77.69,688076,5345786335000.0,,222320,0.32310000000000005
2007-04-20,FSL,EQ,78.15,78.95,80.5,78.0,78.0,78.45,78.88,492279,3883167240000.0,,192596,0.3912
2007-04-23,FSL,EQ,78.45,78.8,91.25,78.8,86.7,86.4,86.86,13295497,115490253250000.0,,2599005,0.1955
2007-04-24,FSL,EQ,86.4,88.45,88.7,83.55,84.4,84.3,86.51,4198618,36321485695000.0,,1028486,0.245
2007-04-25,FSL,EQ,84.3,85.0,88.5,83.7,85.85,85.55,86.79,4905672,42574152215000.0,,1153530,0.23510000000000003
2007-04-26,FSL,EQ,85.55,87.1,88.0,84.0,85.0,84.85,86.21,1692931,14594460790000.0,,567596,0.33530000000000004
