Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-04-04,GALLANTT,EQ,10.0,12.0,14.75,10.0,14.4,14.35,12.97,41758918,54180750035000.0,,7135207,0.1709
2006-04-05,GALLANTT,EQ,14.35,14.5,17.25,14.05,17.25,17.25,16.05,5791771,9297221350000.0,,2661426,0.4595
2006-04-07,GALLANTT,EQ,17.25,19.5,20.7,17.5,19.4,18.8,19.67,9405656,18502734860000.0,,3715369,0.395
2006-04-10,GALLANTT,EQ,18.8,20.35,21.35,18.7,19.85,19.8,19.88,7487580,14884799425000.0,,2318861,0.3097
2006-04-12,GALLANTT,EQ,19.8,20.0,20.25,17.6,18.3,18.1,19.21,4111461,7898268230000.0,,1228757,0.2989
2006-04-13,GALLANTT,EQ,18.1,18.15,18.6,16.1,17.5,17.15,17.28,2353144,4067243350000.0,,745627,0.3169
2006-04-17,GALLANTT,EQ,17.15,17.0,18.45,16.8,16.8,16.95,17.34,1131568,1962393489999.9998,,537995,0.4754
2006-04-18,GALLANTT,EQ,16.95,17.8,17.8,16.0,16.0,16.1,16.39,1350963,2213773150000.0,,657791,0.4869
2006-04-19,GALLANTT,EQ,16.1,16.15,17.75,15.05,16.55,16.55,16.38,3451635,5653465045000.0,,749572,0.2172
2006-04-20,GALLANTT,EQ,16.55,16.65,17.0,15.7,15.75,15.8,16.24,825619,1341120505000.0,,415945,0.5038
2006-04-21,GALLANTT,EQ,15.8,16.0,16.0,15.2,15.35,15.45,15.51,598944,929116980000.0001,,324257,0.5414
2006-04-24,GALLANTT,EQ,15.45,15.5,18.55,15.0,18.55,18.55,17.7,2393946,4238371540000.0,,1265267,0.5285
2006-04-25,GALLANTT,EQ,18.55,20.0,20.0,17.0,17.35,17.3,18.37,2744021,5042035405000.0,,1191402,0.43420000000000003
2006-04-26,GALLANTT,EQ,17.3,17.5,18.5,17.5,17.8,17.8,18.05,1048249,1892545305000.0,,401184,0.38270000000000004
2006-04-27,GALLANTT,EQ,17.8,17.9,18.2,17.25,17.35,17.5,17.84,644968,1150798340000.0,,283939,0.44020000000000004
2006-04-28,GALLANTT,EQ,17.5,16.95,17.5,14.0,17.4,17.2,16.91,762168,1289028050000.0,,319043,0.4186
2006-04-29,GALLANTT,EQ,17.2,17.45,18.5,17.4,17.75,17.6,17.9,469971,841099419999.9999,,263258,0.5602
