Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-10-27,GLOBALVECT,EQ,185.0,250.0,250.0,170.05,187.8,187.5,187.58,2872269,53877976245000.01,,447485,0.1558
2006-10-30,GLOBALVECT,EQ,187.5,188.0,217.4,185.25,205.75,207.45,206.51,2426756,50114455400000.0,,308611,0.1272
2006-10-31,GLOBALVECT,EQ,207.45,207.45,209.7,191.2,191.2,192.6,200.4,733582,14701249685000.0,,146489,0.1997
2006-11-01,GLOBALVECT,EQ,192.6,193.0,197.9,179.4,196.0,193.7,192.25,489945,9419001835000.0,,86587,0.17670000000000002
2006-11-02,GLOBALVECT,EQ,193.7,193.9,211.0,191.9,204.75,204.7,205.66,989271,20345235375000.0,,200068,0.2022
2006-11-03,GLOBALVECT,EQ,204.7,206.8,207.4,195.1,196.7,197.0,201.86,276555,5582594975000.0,,56894,0.2057
2006-11-06,GLOBALVECT,EQ,197.0,197.2,198.7,190.0,191.0,191.05,193.77,184084,3567041004999.9995,,49976,0.2715
2006-11-07,GLOBALVECT,EQ,191.05,193.0,198.0,190.65,191.55,191.7,193.71,250322,4848870235000.0,,101379,0.405
2006-11-08,GLOBALVECT,EQ,191.7,193.0,197.4,183.0,187.5,187.8,191.18,174335,3332957085000.0,,51875,0.29760000000000003
2006-11-09,GLOBALVECT,EQ,187.8,190.65,194.4,185.0,186.5,186.5,189.74,161932,3072435360000.0,,33595,0.20750000000000002
2006-11-10,GLOBALVECT,EQ,186.5,188.45,190.0,182.05,182.05,182.6,185.85,67845,1260885605000.0,,19095,0.2815
2006-11-13,GLOBALVECT,EQ,182.6,183.95,184.45,179.25,180.0,180.0,182.31,69593,1268775575000.0,,35641,0.5121
2006-11-14,GLOBALVECT,EQ,180.0,170.0,188.0,170.0,176.3,176.45,181.19,89186,1615939685000.0,,26479,0.2969
2006-11-15,GLOBALVECT,EQ,176.45,178.0,179.0,166.0,168.0,169.25,172.23,94966,1635570830000.0,,28949,0.3048
2006-11-16,GLOBALVECT,EQ,169.25,169.7,175.0,169.1,175.0,172.15,171.12,50658,866858144999.9999,,19029,0.37560000000000004
2006-11-17,GLOBALVECT,EQ,172.15,180.0,180.0,162.05,163.55,163.3,169.2,61693,1043850340000.0,,24637,0.3993
2006-11-20,GLOBALVECT,EQ,163.3,163.0,165.0,154.15,165.0,161.1,158.4,41295,654124340000.0,,18787,0.4549
2006-11-21,GLOBALVECT,EQ,161.1,171.0,172.85,160.15,169.0,168.4,168.07,45220,760007840000.0,,15478,0.3423
2006-11-22,GLOBALVECT,EQ,168.4,162.0,179.0,162.0,173.3,173.85,174.05,62019,1079431810000.0,,15194,0.245
2006-11-23,GLOBALVECT,EQ,173.85,177.0,177.9,167.1,167.25,168.3,172.56,46305,799061225000.0,,19740,0.4263
2006-11-24,GLOBALVECT,EQ,168.3,172.05,172.05,163.0,163.0,164.5,168.58,30013,505967915000.00006,,18925,0.6306
2006-11-27,GLOBALVECT,EQ,164.5,166.0,171.95,162.2,162.2,162.85,166.31,22560,375205795000.0,,6083,0.2696
2006-11-28,GLOBALVECT,EQ,162.85,160.0,163.0,157.9,158.25,158.65,160.45,16097,258272020000.00003,,8190,0.5088
2006-11-29,GLOBALVECT,EQ,158.65,161.35,165.0,159.0,159.8,159.6,161.66,14117,228216090000.0,,5956,0.4219
2006-11-30,GLOBALVECT,EQ,159.6,164.9,165.0,158.3,159.0,160.35,162.05,16102,260933990000.0,,8584,0.5331
2006-12-01,GLOBALVECT,EQ,160.35,164.0,192.45,159.1,192.45,188.25,182.98,290822,5321523360000.0,,126488,0.4349
2006-12-04,GLOBALVECT,EQ,188.25,197.0,216.9,192.5,203.0,204.0,207.68,1155532,23998603295000.0,,175465,0.1518
