Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-07,GLOBE,EQ,50.6,55.65,55.65,53.0,54.95,54.9,54.35,822081,4467756820000.0,846,538189,0.6547
2020-10-08,GLOBE,EQ,54.9,57.4,57.6,57.4,57.6,57.55,57.57,206299,1187720695000.0,224,108871,0.5277000000000001
2020-10-09,GLOBE,EQ,57.55,58.1,58.4,57.45,57.45,57.45,58.1,258829,1503831930000.0,606,41676,0.161
2020-10-12,GLOBE,EQ,57.45,58.5,58.5,56.5,57.1,56.95,57.19,118283,676421895000.0,140,21441,0.1813
2020-10-13,GLOBE,EQ,56.95,56.2,56.2,54.5,54.5,54.95,55.37,37413,207142260000.0,94,26791,0.7161
2020-10-14,GLOBE,EQ,54.95,54.55,56.65,53.25,53.5,54.1,54.55,11815,64454805000.00001,53,5321,0.4504
2020-10-15,GLOBE,EQ,54.1,53.9,56.8,51.4,56.75,56.8,55.42,324211,1796718375000.0,655,69215,0.21350000000000002
2020-10-16,GLOBE,EQ,56.8,57.0,58.0,57.0,57.0,57.1,57.22,86803,496645180000.0,199,33364,0.38439999999999996
2020-10-19,GLOBE,EQ,57.1,57.2,58.5,55.4,57.0,56.4,57.0,90396,515274530000.0,396,15795,0.1747
2020-10-20,GLOBE,EQ,56.4,56.6,57.85,55.5,55.55,55.75,56.93,74202,422441175000.0,208,2125,0.0286
2020-10-21,GLOBE,EQ,55.75,56.85,58.5,55.5,58.5,58.5,58.26,154057,897513410000.0,128,147706,0.9588
2020-10-22,GLOBE,EQ,58.5,58.45,60.45,56.2,56.2,56.95,57.86,54806,317118735000.0,242,20603,0.37590000000000007
2020-10-23,GLOBE,EQ,56.95,57.0,58.6,56.3,56.3,56.3,57.4,22850,131166335000.00002,75,1760,0.077
2020-10-26,GLOBE,EQ,56.3,56.6,58.2,55.9,55.9,56.1,56.61,21158,119779545000.0,77,650,0.030699999999999998
2020-10-27,GLOBE,EQ,56.1,55.75,58.8,55.3,55.3,55.6,56.86,14352,81610340000.0,64,1274,0.0888
2020-10-28,GLOBE,EQ,55.6,56.7,57.35,54.2,54.2,54.4,55.58,38227,212452335000.0,62,12822,0.3354
2020-10-29,GLOBE,EQ,54.4,55.05,56.55,52.3,52.3,52.65,54.94,13763,75612685000.0,106,2129,0.1547
