Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GODFRYPHLP,EQ,180.0,179.0,180.0,179.0,,180.0,179.67,300,5390000000.0,,,
1996-01-02,GODFRYPHLP,EQ,180.0,180.0,180.0,176.05,,176.05,177.15,400,7086000000.0,,,
1996-01-04,GODFRYPHLP,EQ,176.05,175.0,175.0,172.0,,172.0,173.5,200,3470000000.0,,,
1996-01-05,GODFRYPHLP,EQ,172.0,171.15,172.0,171.0,,171.0,171.18,700,11982500000.0,,,
1996-01-08,GODFRYPHLP,EQ,171.0,172.0,172.0,170.0,,170.0,171.0,200,3420000000.0,,,
1996-01-09,GODFRYPHLP,EQ,170.0,168.5,170.0,168.5,,169.0,169.17,300,5075000000.0,,,
1996-01-10,GODFRYPHLP,EQ,169.0,167.5,167.9,165.0,,165.0,166.98,400,6679000000.0,,,
1996-01-11,GODFRYPHLP,EQ,165.0,162.0,164.0,162.0,,164.0,163.0,200,3260000000.0,,,
1996-01-12,GODFRYPHLP,EQ,164.0,164.5,164.5,164.5,,164.5,164.5,100,1645000000.0,,,
1996-01-15,GODFRYPHLP,EQ,164.5,165.1,165.1,165.1,,165.1,165.1,100,1651000000.0,,,
1996-01-16,GODFRYPHLP,EQ,165.1,152.0,158.0,152.0,,158.0,155.0,200,3100000000.0,,,
1996-01-17,GODFRYPHLP,EQ,158.0,158.0,158.0,158.0,,158.0,158.0,100,1580000000.0,,,
1996-01-18,GODFRYPHLP,EQ,158.0,152.05,152.05,152.05,,152.05,152.05,100,1520500000.0,,,
1996-01-19,GODFRYPHLP,EQ,152.05,152.0,152.0,151.5,,152.0,151.73,1100,16690000000.0,,,
1996-01-22,GODFRYPHLP,EQ,152.0,150.0,150.0,149.0,,149.0,149.51,400,5980500000.0,,,
1996-01-23,GODFRYPHLP,EQ,149.0,145.0,149.0,145.0,,149.0,147.67,300,4430000000.0,,,
1996-01-24,GODFRYPHLP,EQ,149.0,148.75,148.75,145.0,,145.15,146.25,400,5850000000.0,,,
1996-01-25,GODFRYPHLP,EQ,145.15,144.0,148.0,134.0,,145.0,142.67,600,8560000000.0,,,
1996-01-29,GODFRYPHLP,EQ,145.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-01-30,GODFRYPHLP,EQ,140.0,136.0,136.0,136.0,,136.0,136.0,100,1360000000.0,,,
1996-01-31,GODFRYPHLP,EQ,136.0,135.0,140.0,135.0,,140.0,138.33,300,4150000000.0,,,
1996-02-01,GODFRYPHLP,EQ,140.0,140.0,140.0,140.0,,140.0,140.0,200,2800000000.0,,,
1996-02-02,GODFRYPHLP,EQ,140.0,153.0,153.0,153.0,,153.0,153.0,200,3060000000.0,,,
1996-02-05,GODFRYPHLP,EQ,153.0,153.0,165.0,161.0,,162.0,162.5,600,9750000000.0,,,
1996-02-06,GODFRYPHLP,EQ,162.0,165.0,175.0,164.5,,175.0,169.06,700,11834000000.0,,,
1996-02-07,GODFRYPHLP,EQ,175.0,172.0,172.0,161.05,,161.05,166.02,300,4980500000.0,,,
1996-02-08,GODFRYPHLP,EQ,161.05,161.0,170.0,160.0,,170.0,163.75,400,6550000000.0,,,
1996-02-09,GODFRYPHLP,EQ,170.0,172.0,184.0,172.0,,184.0,180.15,1300,23420000000.0,,,
1996-02-12,GODFRYPHLP,EQ,184.0,187.95,187.95,180.0,,180.0,183.98,200,3679500000.0,,,
1996-02-13,GODFRYPHLP,EQ,180.0,182.0,185.0,167.0,,184.95,178.69,700,12508500000.0,,,
1996-02-14,GODFRYPHLP,EQ,184.95,184.95,185.0,180.0,,183.0,182.6,900,16434000000.0,,,
1996-02-15,GODFRYPHLP,EQ,183.0,182.0,182.0,173.0,,179.5,178.71,700,12510000000.0,,,
1996-02-16,GODFRYPHLP,EQ,179.5,179.5,183.5,177.0,,181.75,179.21,1400,25090000000.0,,,
1996-02-19,GODFRYPHLP,EQ,181.75,181.75,180.0,178.0,,178.0,179.33,300,5380000000.0,,,
1996-02-20,GODFRYPHLP,EQ,178.0,173.0,175.0,173.0,,173.0,173.4,500,8670000000.0,,,
1996-02-22,GODFRYPHLP,EQ,173.0,173.0,175.0,173.0,,175.0,174.0,200,3480000000.0,,,
1996-02-23,GODFRYPHLP,EQ,175.0,179.0,179.0,179.0,,179.0,179.0,100,1790000000.0,,,
1996-02-26,GODFRYPHLP,EQ,179.0,179.0,178.0,178.0,,178.0,178.0,300,5340000000.0,,,
1996-02-27,GODFRYPHLP,EQ,178.0,172.0,172.0,170.0,,170.0,171.0,200,3420000000.0,,,
1996-02-28,GODFRYPHLP,EQ,170.0,168.0,168.0,168.0,,168.0,168.0,200,3360000000.0,,,
1996-02-29,GODFRYPHLP,EQ,168.0,165.5,165.5,165.0,,165.0,165.25,400,6610000000.0,,,
1996-03-01,GODFRYPHLP,EQ,165.0,160.0,160.0,160.0,,160.0,160.0,100,1600000000.0,,,
1996-03-04,GODFRYPHLP,EQ,160.0,158.5,160.0,158.5,,160.0,159.17,300,4775000000.0,,,
1996-03-06,GODFRYPHLP,EQ,160.0,152.0,152.0,152.0,,152.0,152.0,5500,83600000000.0,,,
1996-03-07,GODFRYPHLP,EQ,152.0,163.0,163.0,157.5,,157.5,160.25,200,3205000000.0,,,
1996-03-08,GODFRYPHLP,EQ,157.5,150.0,159.0,150.0,,155.0,152.03,1500,22805000000.0,,,
1996-03-11,GODFRYPHLP,EQ,155.0,155.0,167.75,152.75,,154.1,166.75,7000,116728000000.0,,,
1996-03-12,GODFRYPHLP,EQ,154.1,154.1,153.0,152.0,,152.4,152.5,700,10675000000.0,,,
1996-03-14,GODFRYPHLP,EQ,152.4,152.0,155.0,150.5,,150.5,152.5,300,4575000000.0,,,
1996-03-15,GODFRYPHLP,EQ,150.5,150.5,155.0,150.0,,150.0,151.15,800,12092000000.0,,,
1996-03-18,GODFRYPHLP,EQ,150.0,154.45,154.45,154.45,,154.45,154.45,400,6178000000.0,,,
1996-03-19,GODFRYPHLP,EQ,154.45,150.0,150.0,147.05,,147.05,148.03,300,4441000000.0,,,
1996-03-21,GODFRYPHLP,EQ,147.05,147.0,150.0,147.0,,150.0,148.5,200,2970000000.0,,,
1996-03-22,GODFRYPHLP,EQ,150.0,145.0,145.0,145.0,,145.0,145.0,200,2900000000.0,,,
1996-03-25,GODFRYPHLP,EQ,145.0,145.0,145.2,145.0,,145.0,145.05,400,5802000000.0,,,
1996-03-26,GODFRYPHLP,EQ,145.0,144.0,144.0,141.55,,142.5,143.01,500,7150500000.0,,,
1996-03-27,GODFRYPHLP,EQ,142.5,144.15,144.15,143.0,,143.0,143.43,500,7171500000.0,,,
1996-03-28,GODFRYPHLP,EQ,143.0,143.0,147.0,144.0,,147.0,145.99,600,8759500000.0,,,
1996-03-29,GODFRYPHLP,EQ,147.0,145.0,145.0,144.0,,144.0,144.33,300,4330000000.0,,,
1996-04-02,GODFRYPHLP,EQ,144.0,144.0,150.0,149.95,,150.0,149.98,200,2999500000.0,,,
1996-04-03,GODFRYPHLP,EQ,150.0,156.05,156.05,155.0,,155.7,155.68,300,4670500000.0,,,
1996-04-04,GODFRYPHLP,EQ,155.7,158.5,158.5,158.5,,158.5,158.5,100,1585000000.0,,,
1996-04-08,GODFRYPHLP,EQ,158.5,160.0,162.0,160.0,,160.0,160.98,400,6439000000.0,,,
1996-04-09,GODFRYPHLP,EQ,160.0,160.0,160.0,150.0,,150.0,156.8,500,7840000000.0,,,
1996-04-10,GODFRYPHLP,EQ,150.0,157.0,157.0,157.0,,157.0,157.0,200,3140000000.0,,,
1996-04-11,GODFRYPHLP,EQ,157.0,157.0,157.0,157.0,,157.0,157.0,100,1570000000.0,,,
1996-04-12,GODFRYPHLP,EQ,157.0,157.0,157.0,155.0,,155.0,155.5,400,6220000000.0,,,
1996-04-15,GODFRYPHLP,EQ,155.0,155.0,159.95,157.0,,158.0,158.32,300,4749500000.0,,,
1996-04-16,GODFRYPHLP,EQ,158.0,158.0,156.0,150.5,,155.0,152.96,700,10707000000.0,,,
1996-04-18,GODFRYPHLP,EQ,155.0,155.0,170.0,160.0,,162.05,166.43,700,11650000000.0,,,
1996-04-19,GODFRYPHLP,EQ,162.05,169.0,170.0,163.0,,165.5,166.95,1000,16695000000.0,,,
1996-04-22,GODFRYPHLP,EQ,165.5,174.0,174.0,163.0,,163.0,166.0,400,6640000000.0,,,
1996-04-23,GODFRYPHLP,EQ,163.0,163.0,162.0,160.0,,160.0,161.0,200,3220000000.0,,,
1996-04-24,GODFRYPHLP,EQ,160.0,165.0,165.0,163.95,,163.95,164.48,200,3289500000.0,,,
1996-04-25,GODFRYPHLP,EQ,163.95,165.0,165.0,162.0,,164.0,163.5,500,8175000000.0,,,
1996-04-26,GODFRYPHLP,EQ,164.0,164.0,165.95,165.9,,165.95,165.92,300,4977500000.0,,,
1996-04-29,GODFRYPHLP,EQ,165.95,161.5,161.5,160.0,,160.0,160.83,300,4825000000.0,,,
1996-04-30,GODFRYPHLP,EQ,160.0,160.0,158.95,150.0,,150.0,155.24,500,7762000000.0,,,
1996-05-01,GODFRYPHLP,EQ,150.0,152.0,156.5,152.0,,155.0,155.19,800,12415000000.0,,,
1996-05-02,GODFRYPHLP,EQ,155.0,153.0,155.0,153.0,,155.0,154.0,200,3080000000.0,,,
1996-05-03,GODFRYPHLP,EQ,155.0,157.0,157.0,154.0,,154.0,155.01,500,7750500000.0,,,
1996-05-06,GODFRYPHLP,EQ,154.0,153.0,155.5,153.0,,155.5,154.25,200,3085000000.0,,,
1996-05-07,GODFRYPHLP,EQ,155.5,155.5,155.0,153.5,,153.5,154.1,500,7705000000.0,,,
1996-05-08,GODFRYPHLP,EQ,153.5,152.0,155.0,152.0,,155.0,153.97,300,4619000000.0,,,
1996-05-09,GODFRYPHLP,EQ,155.0,156.0,156.0,156.0,,156.0,156.0,100,1560000000.0,,,
1996-05-10,GODFRYPHLP,EQ,156.0,150.05,150.05,145.0,,145.0,148.02,500,7401000000.0,,,
1996-05-13,GODFRYPHLP,EQ,145.0,147.1,149.0,147.1,,149.0,148.03,300,4441000000.0,,,
1996-05-14,GODFRYPHLP,EQ,149.0,145.0,148.0,145.0,,147.7,147.03,800,11762500000.0,,,
1996-05-15,GODFRYPHLP,EQ,147.7,152.0,156.0,152.0,,155.95,154.12,1100,16953500000.0,,,
1996-05-16,GODFRYPHLP,EQ,155.95,155.95,160.9,155.0,,156.3,158.25,1100,17408000000.0,,,
1996-05-17,GODFRYPHLP,EQ,156.3,156.3,157.95,155.0,,157.95,155.98,300,4679500000.0,,,
1996-05-21,GODFRYPHLP,EQ,157.95,157.95,150.0,143.0,,143.1,147.42,1100,16216500000.0,,,
1996-05-22,GODFRYPHLP,EQ,143.1,143.1,148.0,148.0,,148.0,148.0,100,1480000000.0,,,
