Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,GOODYEAR,EQ,61.0,61.5,61.5,61.5,,61.5,61.5,100,615000000.0,,,
1996-01-03,GOODYEAR,EQ,61.5,60.0,60.0,60.0,,60.0,60.0,400,2400000000.0,,,
1996-01-04,GOODYEAR,EQ,60.0,60.0,61.0,60.0,,61.0,60.65,1500,9097500000.0,,,
1996-01-05,GOODYEAR,EQ,61.0,61.0,61.0,61.0,,61.0,61.0,500,3050000000.0,,,
1996-01-08,GOODYEAR,EQ,61.0,60.0,61.0,60.0,,60.25,60.53,1000,6053000000.0,,,
1996-01-09,GOODYEAR,EQ,60.25,60.95,61.0,60.0,,61.0,60.72,3700,22465000000.0,,,
1996-01-10,GOODYEAR,EQ,61.0,61.0,61.0,61.0,,61.0,61.0,400,2440000000.0,,,
1996-01-11,GOODYEAR,EQ,61.0,60.2,60.2,60.0,,60.0,60.09,800,4807000000.0,,,
1996-01-12,GOODYEAR,EQ,60.0,60.0,61.0,61.0,,61.0,61.0,200,1220000000.0,,,
1996-01-16,GOODYEAR,EQ,61.0,61.0,61.0,60.25,,60.25,60.57,700,4240000000.0,,,
1996-01-17,GOODYEAR,EQ,60.25,62.0,62.0,62.0,,62.0,62.0,300,1860000000.0,,,
1996-01-18,GOODYEAR,EQ,62.0,62.0,64.0,60.05,,64.0,62.02,600,3721000000.0,,,
1996-01-19,GOODYEAR,EQ,64.0,63.0,64.5,61.1,,63.9,62.61,2200,13774500000.0,,,
1996-02-02,GOODYEAR,EQ,63.9,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-02-06,GOODYEAR,EQ,65.0,67.0,67.0,65.2,,65.2,66.82,1300,8687000000.0,,,
1996-02-07,GOODYEAR,EQ,65.2,65.2,65.0,64.0,,64.0,64.5,400,2580000000.0,,,
1996-02-09,GOODYEAR,EQ,64.0,65.0,68.0,65.0,,68.0,67.7,1000,6770000000.0,,,
1996-02-12,GOODYEAR,EQ,68.0,71.0,71.0,71.0,,71.0,71.0,200,1420000000.0,,,
1996-02-13,GOODYEAR,EQ,71.0,73.95,75.0,73.95,,75.0,74.23,400,2969000000.0,,,
1996-02-14,GOODYEAR,EQ,75.0,75.0,76.0,75.0,,76.0,75.56,900,6800000000.0,,,
1996-02-15,GOODYEAR,EQ,76.0,76.5,77.0,76.05,,76.05,76.68,600,4600500000.0,,,
1996-02-19,GOODYEAR,EQ,76.05,76.05,75.0,73.95,,75.0,74.72,1800,13449000000.0,,,
1996-02-20,GOODYEAR,EQ,75.0,75.0,82.0,77.0,,80.0,78.62,1200,9434500000.0,,,
1996-02-22,GOODYEAR,EQ,80.0,80.0,83.0,80.0,,83.0,81.84,1300,10639500000.0,,,
1996-02-23,GOODYEAR,EQ,83.0,85.0,85.0,83.5,,84.0,84.28,1500,12642000000.0,,,
1996-02-26,GOODYEAR,EQ,84.0,84.0,87.0,84.0,,85.05,85.44,700,5980500000.0,,,
1996-02-27,GOODYEAR,EQ,85.05,85.05,89.0,86.5,,86.7,87.13,2200,19169500000.0,,,
1996-02-28,GOODYEAR,EQ,86.7,86.7,89.0,87.0,,88.25,88.19,1800,15875000000.0,,,
1996-02-29,GOODYEAR,EQ,88.25,88.25,88.5,86.5,,87.5,87.47,1800,15744000000.0,,,
1996-03-01,GOODYEAR,EQ,87.5,87.5,87.0,84.5,,86.0,85.89,2300,19754000000.0,,,
1996-03-04,GOODYEAR,EQ,86.0,85.5,88.0,85.5,,88.0,86.95,1400,12173500000.0,,,
