Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-08,GREENPOWER,EQ,47.0,45.7,46.65,38.1,45.0,44.7,43.44,39364686,171012211680000.0,,10777884,0.2738
2010-10-11,GREENPOWER,EQ,44.7,45.45,47.25,44.1,44.5,44.45,46.11,3636387,16767208355000.002,,1444517,0.3972
2010-10-12,GREENPOWER,EQ,44.45,44.5,44.8,41.8,43.25,42.9,42.84,788742,3379277504999.9995,,393638,0.4991
2010-10-13,GREENPOWER,EQ,42.9,43.2,44.5,42.6,44.15,44.15,43.61,554744,2419152470000.0,,202486,0.365
2010-10-14,GREENPOWER,EQ,44.15,44.2,44.2,42.0,43.05,43.15,42.32,1372974,5810189005000.0,,1166981,0.85
2010-10-15,GREENPOWER,EQ,43.15,44.0,44.0,41.5,42.0,42.55,42.45,654566,2778738695000.0,,428889,0.6552
2010-10-18,GREENPOWER,EQ,42.55,42.45,42.45,40.85,40.85,41.15,41.61,713570,2968833680000.0,,641212,0.8986000000000001
2010-10-19,GREENPOWER,EQ,41.15,41.3,42.4,40.0,41.0,41.25,41.12,549226,2258537000000.0,,235671,0.4291
2010-10-20,GREENPOWER,EQ,41.25,40.7,42.0,40.15,40.8,40.8,41.13,538453,2214878495000.0,,318078,0.5907
2010-10-21,GREENPOWER,EQ,40.8,40.9,44.7,40.6,42.4,42.2,43.34,1200163,5200981160000.0,,384715,0.32060000000000005
2010-10-22,GREENPOWER,EQ,42.2,42.25,43.05,41.3,41.5,41.55,42.1,345141,1453158340000.0,,147219,0.4265
2010-10-25,GREENPOWER,EQ,41.55,41.95,43.7,41.7,41.8,41.95,42.53,232230,987705540000.0,,49262,0.2121
2010-10-26,GREENPOWER,EQ,41.95,41.95,42.9,41.5,41.7,41.65,42.06,125050,525978730000.0,,48701,0.3895
2010-10-27,GREENPOWER,EQ,41.65,41.8,42.2,40.6,40.7,40.8,41.41,121323,502389175000.0,,69532,0.5731
2010-10-28,GREENPOWER,EQ,40.8,42.0,42.25,40.6,40.65,40.7,41.48,5990524,24849157985000.0,,5714280,0.9539
2010-10-29,GREENPOWER,EQ,40.7,41.25,41.25,39.05,39.8,39.8,40.15,191996,770775760000.0,,119757,0.6237
2010-11-01,GREENPOWER,EQ,39.8,40.2,40.65,39.6,39.6,39.75,40.11,82162,329563300000.0,,59083,0.7191
2010-11-02,GREENPOWER,EQ,39.75,39.95,39.95,39.5,39.55,39.65,39.73,49625,197142735000.0,,28633,0.5770000000000001
2010-11-03,GREENPOWER,EQ,39.65,39.75,39.9,38.35,38.8,38.5,39.06,136821,534455950000.0,,99565,0.7277
2010-11-04,GREENPOWER,EQ,38.5,38.7,39.2,37.2,38.45,37.8,37.97,178320,677019095000.0,,119399,0.6696
2010-11-05,GREENPOWER,EQ,37.8,39.0,40.5,38.6,39.1,39.05,39.23,55788,218845229999.99997,,38802,0.6955
2010-11-08,GREENPOWER,EQ,39.05,39.0,40.5,38.5,39.0,38.8,39.3,150383,591000460000.0,,87259,0.5802
2010-11-09,GREENPOWER,EQ,38.8,38.8,39.3,38.1,38.4,38.25,38.58,118585,457542105000.0,,83220,0.7018000000000001
2010-11-10,GREENPOWER,EQ,38.25,38.35,39.8,38.15,38.55,38.55,38.97,282876,1102381935000.0,,165696,0.5858
2010-11-11,GREENPOWER,EQ,38.55,39.1,39.95,38.4,38.6,38.6,38.81,356257,1382789625000.0,,251213,0.7051000000000001
2010-11-12,GREENPOWER,EQ,38.6,38.45,38.8,37.6,37.7,37.85,38.24,104141,398270610000.0,,74341,0.7138
2010-11-15,GREENPOWER,EQ,37.85,38.2,38.2,36.0,36.25,36.4,36.88,119305,440014790000.00006,,91963,0.7708
2010-11-16,GREENPOWER,EQ,36.4,36.5,36.5,29.4,33.2,33.25,31.32,2045889,6407050230000.0,,1181625,0.5776
2010-11-18,GREENPOWER,EQ,33.25,33.9,34.0,32.0,33.0,33.2,33.11,205883,681637710000.0,,123982,0.6022
2010-11-19,GREENPOWER,EQ,33.2,33.8,33.8,32.5,33.0,33.0,32.95,143157,471714970000.0,,116483,0.8137000000000001
