Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-05-29,GSCLCEMENT,EQ,21.8,17.6,24.4,17.55,22.55,22.5,21.32,207696,442734280000.0,1083,91651,0.4413
2013-05-30,GSCLCEMENT,EQ,22.5,22.5,24.85,22.25,24.0,24.15,23.48,142140,333711635000.0,835,43541,0.3063
2013-05-31,GSCLCEMENT,EQ,24.15,23.3,25.0,23.0,23.55,23.65,23.62,85772,202599870000.0,502,46471,0.5418000000000001
2013-06-03,GSCLCEMENT,EQ,23.65,23.5,24.0,22.75,23.15,23.45,23.27,55118,128282655000.0,447,28293,0.5133
2013-06-04,GSCLCEMENT,EQ,23.45,23.45,23.95,22.95,23.05,23.25,23.3,38784,90347820000.0,245,24347,0.6278
2013-06-05,GSCLCEMENT,EQ,23.25,22.1,23.1,22.1,22.35,22.45,22.56,9685,21847945000.0,105,5704,0.589
2013-06-06,GSCLCEMENT,EQ,22.45,22.15,22.4,21.4,21.4,21.5,21.75,78919,171644120000.0,403,42169,0.5343
2013-06-07,GSCLCEMENT,EQ,21.5,21.25,21.55,20.6,20.6,20.7,20.91,48354,101106375000.0,309,28303,0.5853
2013-06-10,GSCLCEMENT,EQ,20.7,20.1,20.8,20.0,20.1,20.2,20.32,43571,88535870000.0,354,23544,0.5404
2013-06-11,GSCLCEMENT,EQ,20.2,19.9,20.45,19.15,19.65,19.6,19.71,47680,93973955000.0,327,28540,0.5986
2013-06-12,GSCLCEMENT,EQ,19.6,19.25,19.75,18.1,18.5,18.6,18.97,34117,64721790000.0,281,24727,0.7248
2013-06-13,GSCLCEMENT,EQ,18.6,18.1,18.5,17.25,17.4,17.4,17.93,52144,93516420000.0,354,34655,0.6646
2013-06-14,GSCLCEMENT,EQ,17.4,17.15,19.4,17.15,18.1,18.0,18.01,39586,71312685000.0,217,23826,0.6019
2013-06-17,GSCLCEMENT,EQ,18.0,18.0,18.65,18.0,18.4,18.35,18.35,19927,36575190000.0,127,14744,0.7399
2013-06-18,GSCLCEMENT,EQ,18.35,18.05,18.45,18.05,18.2,18.25,18.32,33608,61571490000.0,170,18977,0.5647
2013-06-19,GSCLCEMENT,EQ,18.25,18.25,18.25,17.75,17.9,17.9,17.95,40902,73419785000.0,233,26640,0.6513
2013-06-20,GSCLCEMENT,EQ,17.9,17.1,19.85,17.1,18.95,18.75,18.71,84018,157203655000.0,474,59791,0.7116
2013-06-21,GSCLCEMENT,EQ,18.75,18.2,18.85,18.0,18.15,18.15,18.34,28434,52146565000.0,221,16147,0.5679
2013-06-24,GSCLCEMENT,EQ,18.15,18.0,18.15,16.6,17.5,17.1,17.25,40677,70167390000.0,268,27751,0.6822
2013-06-25,GSCLCEMENT,EQ,17.1,17.5,17.5,16.25,16.25,16.55,16.74,21697,36315595000.0,161,16284,0.7505
2013-06-26,GSCLCEMENT,EQ,16.55,16.2,17.0,15.95,16.05,16.05,16.18,28951,46833950000.0,175,22789,0.7872
2013-06-27,GSCLCEMENT,EQ,16.05,16.65,17.05,15.95,15.95,16.5,16.4,44787,73429345000.0,318,27223,0.6078
2013-06-28,GSCLCEMENT,EQ,16.5,17.0,17.0,16.5,16.95,16.8,16.73,30205,50546150000.0,190,23866,0.7901
2013-07-01,GSCLCEMENT,EQ,16.8,16.6,18.3,16.4,17.9,17.85,17.56,35301,61993560000.0,208,22891,0.6485
2013-07-02,GSCLCEMENT,EQ,17.85,17.75,18.0,17.55,17.55,17.7,17.78,9742,17323295000.0,107,5649,0.5799000000000001
2013-07-03,GSCLCEMENT,EQ,17.7,17.15,18.45,17.0,17.9,17.65,17.59,17878,31454665000.000004,125,11025,0.6167
2013-07-04,GSCLCEMENT,EQ,17.65,17.45,17.8,17.25,17.6,17.55,17.67,10196,18015575000.0,116,8709,0.8542000000000001
2013-07-05,GSCLCEMENT,EQ,17.55,17.15,18.2,17.15,17.3,17.35,17.48,36768,64258650000.0,177,25199,0.6854000000000001
2013-07-08,GSCLCEMENT,EQ,17.35,17.0,17.15,16.55,17.1,16.95,16.92,21621,36589795000.0,147,13212,0.6111
2013-07-09,GSCLCEMENT,EQ,16.95,17.25,17.85,16.8,17.4,17.4,17.42,20565,35820150000.0,93,8054,0.39159999999999995
2013-07-10,GSCLCEMENT,EQ,17.4,17.1,17.65,17.1,17.55,17.45,17.53,16127,28266200000.0,78,14973,0.9284
2013-07-11,GSCLCEMENT,EQ,17.45,17.6,17.8,17.25,17.3,17.3,17.54,26602,46652295000.0,148,17267,0.6491
2013-07-12,GSCLCEMENT,EQ,17.3,17.9,17.9,17.0,17.3,17.25,17.21,37974,65357594999.99999,205,26166,0.6890999999999999
2013-07-15,GSCLCEMENT,EQ,17.25,17.65,18.45,17.1,18.1,18.05,17.87,39540,70648415000.0,194,21411,0.5415
