Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-05-18,GTNTEX,EQ,10.0,66.0,80.0,43.0,43.2,46.55,59.11,423971,2505977470000.0,,81925,0.1932
2006-05-19,GTNTEX,EQ,46.55,48.0,55.0,38.1,39.45,39.05,43.68,126623,553114440000.0,,38131,0.3011
2006-05-22,GTNTEX,EQ,39.05,44.5,44.5,31.25,34.0,32.55,33.52,37179,124640005000.0,,21006,0.5650000000000001
2006-05-23,GTNTEX,EQ,32.55,36.0,36.0,30.25,32.55,32.3,32.19,25128,80889895000.0,,9666,0.3847
2006-05-24,GTNTEX,EQ,32.3,33.0,37.0,31.65,35.0,35.55,35.31,39656,140039645000.0,,18056,0.45530000000000004
2006-05-25,GTNTEX,EQ,35.55,32.0,36.8,32.0,36.8,34.45,33.98,13629,46313285000.0,,6465,0.4744
2006-05-26,GTNTEX,EQ,34.45,36.8,37.8,34.45,34.95,34.7,35.37,11883,42035300000.0,,6406,0.5391
2006-05-29,GTNTEX,EQ,34.7,34.5,35.9,32.3,33.0,32.8,34.2,12899,44119840000.0,,10112,0.7839
2006-05-30,GTNTEX,EQ,32.8,33.5,33.5,32.25,33.2,32.75,33.0,6542,21586305000.0,,5307,0.8112
2006-05-31,GTNTEX,EQ,32.75,32.05,32.05,29.5,31.25,30.7,30.58,13186,40324655000.0,,8078,0.6126
2006-06-01,GTNTEX,EQ,30.7,32.0,32.0,29.35,29.35,29.5,29.86,7836,23399925000.0,,5751,0.7339
2006-06-02,GTNTEX,EQ,29.5,27.5,32.5,26.35,28.1,29.2,28.34,20521,58160260000.0,,7936,0.38670000000000004
2006-06-05,GTNTEX,EQ,29.2,29.7,29.7,26.1,26.2,26.55,27.65,6696,18513715000.0,,4657,0.6955
2006-06-06,GTNTEX,EQ,26.55,25.3,27.75,24.3,26.95,26.15,25.34,18764,47546880000.0,,11845,0.6313000000000001
2006-06-07,GTNTEX,EQ,26.15,25.0,26.0,23.5,23.55,24.0,25.0,9405,23513975000.0,,7055,0.7501000000000001
2006-06-08,GTNTEX,EQ,24.0,21.35,21.9,19.2,20.0,19.4,20.41,16384,33437120000.0,,11543,0.7045
2006-06-09,GTNTEX,EQ,19.4,18.05,22.95,18.05,22.0,22.2,22.04,17166,37832240000.0,,10959,0.6384000000000001
2006-06-12,GTNTEX,EQ,22.2,22.95,24.9,21.1,23.7,22.65,22.62,13177,29800690000.000004,,10820,0.8211
2006-06-13,GTNTEX,EQ,22.65,22.0,23.0,20.3,21.45,21.25,21.82,11573,25247930000.0,,7720,0.6670999999999999
2006-06-14,GTNTEX,EQ,21.25,20.7,21.85,18.5,19.0,19.4,20.01,8376,16761575000.0,,4892,0.584
2006-06-15,GTNTEX,EQ,19.4,22.0,22.0,19.8,21.95,21.75,20.88,6242,13033605000.0,,4683,0.7502
2006-06-16,GTNTEX,EQ,21.75,22.0,24.5,21.1,21.2,21.25,22.67,8452,19159150000.0,,6237,0.7379000000000001
2006-06-19,GTNTEX,EQ,21.25,20.1,22.0,20.0,20.55,20.65,20.83,13535,28194215000.000004,,11207,0.828
2006-06-20,GTNTEX,EQ,20.65,20.5,21.0,19.5,19.5,19.75,20.01,12505,25027430000.0,,9232,0.7383
2006-06-21,GTNTEX,EQ,19.75,20.35,21.25,20.0,21.25,21.1,20.62,14921,30765820000.0,,12322,0.8258
2006-06-22,GTNTEX,EQ,21.1,21.2,22.5,21.2,22.4,22.15,22.17,8884,19697170000.0,,7411,0.8342
2006-06-23,GTNTEX,EQ,22.15,22.0,23.75,21.75,23.3,23.0,23.04,17442,40179280000.0,,12473,0.7151000000000001
2006-06-25,GTNTEX,EQ,23.0,23.5,23.7,22.95,23.7,23.55,23.57,622,1465790000.0,,450,0.7234999999999999
2006-06-26,GTNTEX,EQ,23.55,22.6,23.35,21.65,22.3,21.8,22.44,4193,9409200000.0,,3310,0.7894
2006-06-27,GTNTEX,EQ,21.8,21.1,21.85,20.7,20.9,21.0,21.18,2540,5380755000.0,,1948,0.7669
2006-06-28,GTNTEX,EQ,21.0,18.6,21.7,18.6,21.0,20.75,20.94,2996,6273515000.0,,2579,0.8608
2006-06-29,GTNTEX,EQ,20.75,23.45,23.45,20.5,20.65,20.6,20.9,4379,9152320000.0,,3879,0.8858
2006-06-30,GTNTEX,EQ,20.6,20.75,21.45,20.3,20.8,21.0,20.87,3128,6527560000.0,,2274,0.7270000000000001
2006-07-03,GTNTEX,EQ,21.0,21.95,23.0,20.1,22.5,22.7,22.1,7993,17663805000.0,,6294,0.7874
2006-07-04,GTNTEX,EQ,22.7,23.45,23.5,21.1,22.0,21.9,21.99,12261,26965709999.999996,,7048,0.5748
2006-07-05,GTNTEX,EQ,21.9,22.0,22.35,21.7,22.0,22.0,22.09,975,2153500000.0,,775,0.7948999999999999
2006-07-06,GTNTEX,EQ,22.0,21.5,22.0,21.5,21.9,21.65,21.68,1036,2245975000.0,,784,0.7568000000000001
2006-07-07,GTNTEX,EQ,21.65,21.55,21.65,20.6,20.7,21.0,21.32,4620,9848900000.0,,4580,0.9913
2006-07-10,GTNTEX,EQ,21.0,20.75,22.0,20.25,21.1,20.85,21.21,6495,13775525000.0,,5368,0.8265000000000001
2006-07-11,GTNTEX,EQ,20.85,20.75,21.95,20.65,21.5,21.55,21.16,1943,4111715000.0,,1468,0.7555
2006-07-12,GTNTEX,EQ,21.55,21.0,21.2,20.5,21.1,21.05,20.84,1530,3188085000.0,,775,0.5065
2006-07-13,GTNTEX,EQ,21.05,21.05,21.8,20.3,20.9,20.85,20.82,3406,7091430000.0,,2287,0.6715000000000001
2006-07-14,GTNTEX,EQ,20.85,20.9,21.95,20.6,21.0,21.15,21.1,2518,5312670000.0,,1818,0.7220000000000001
2006-07-17,GTNTEX,EQ,21.15,21.0,21.4,20.85,20.85,20.85,21.1,1321,2786955000.0,,1245,0.9425
2006-07-18,GTNTEX,EQ,20.85,20.15,21.3,19.75,20.3,20.6,20.48,3284,6726650000.0,,1654,0.5037
2006-07-19,GTNTEX,EQ,20.6,20.05,21.0,19.55,19.9,19.7,20.27,2534,5137655000.0,,2232,0.8808
2006-07-20,GTNTEX,EQ,19.7,18.65,20.0,18.65,20.0,20.0,19.58,4397,8608935000.0,,2805,0.6379
2006-07-21,GTNTEX,EQ,20.0,18.8,19.0,18.3,18.85,18.85,18.67,4795,8953425000.0,,3330,0.6945
2006-07-24,GTNTEX,EQ,18.85,18.6,19.5,18.0,19.3,18.65,18.4,3534,6503770000.0,,3276,0.927
2006-07-25,GTNTEX,EQ,18.65,18.05,19.5,18.05,18.9,19.05,18.94,4002,7578100000.0,,3484,0.8706
2006-07-26,GTNTEX,EQ,19.05,18.2,19.25,18.15,18.9,18.65,18.69,3700,6915970000.0,,2587,0.6992
2006-07-27,GTNTEX,EQ,18.65,18.9,19.15,18.4,18.6,18.6,18.83,1259,2371105000.0,,1071,0.8506999999999999
2006-07-28,GTNTEX,EQ,18.6,19.2,20.0,18.5,20.0,18.75,19.24,4944,9513665000.0,,3910,0.7909
2006-07-31,GTNTEX,EQ,18.75,20.95,20.95,18.8,19.8,19.65,19.42,5418,10524275000.0,,5169,0.9540000000000001
2006-08-01,GTNTEX,EQ,19.65,18.2,19.55,18.2,19.45,19.1,19.13,3527,6746125000.0,,2940,0.8336
2006-08-02,GTNTEX,EQ,19.1,19.55,19.55,18.35,18.55,18.65,18.7,7256,13566545000.000002,,5934,0.8178000000000001
2006-08-03,GTNTEX,EQ,18.65,19.4,20.5,18.05,18.9,19.1,19.36,8504,16461715000.0,,6017,0.7075
2006-08-04,GTNTEX,EQ,19.1,18.2,20.9,18.15,19.9,19.4,19.42,4950,9614875000.0,,3338,0.6743000000000001
2006-08-07,GTNTEX,EQ,19.4,19.0,19.2,18.75,19.0,19.0,18.98,2858,5424325000.0,,2494,0.8726
2006-08-08,GTNTEX,EQ,19.0,18.8,19.85,18.8,19.85,19.8,19.28,967,1864820000.0,,967,1.0
2006-08-09,GTNTEX,EQ,19.8,19.8,20.0,19.5,19.95,19.95,19.88,4877,9695745000.0,,4649,0.9531999999999999
2006-08-10,GTNTEX,EQ,19.95,19.3,20.0,19.3,20.0,20.0,19.92,3426,6824450000.0,,2966,0.8656999999999999
2006-08-11,GTNTEX,EQ,20.0,19.15,20.75,19.15,20.0,20.0,19.96,6299,12571980000.0,,3869,0.6142000000000001
2006-08-14,GTNTEX,EQ,20.0,20.0,20.8,20.0,20.8,20.6,20.54,4544,9331455000.0,,3980,0.8759
2006-08-16,GTNTEX,EQ,20.6,22.4,24.4,20.5,20.75,20.75,20.93,7329,15338725000.0,,6110,0.8337000000000001
2006-08-17,GTNTEX,EQ,20.75,21.5,21.5,20.4,20.6,20.65,20.73,11516,23877555000.0,,8849,0.7684000000000001
2006-08-18,GTNTEX,EQ,20.65,20.75,21.0,20.4,20.6,20.85,20.8,5196,10807460000.0,,4566,0.8788
2006-08-21,GTNTEX,EQ,20.85,21.0,21.25,19.75,20.0,20.0,20.2,15434,31174320000.0,,13460,0.8721
2006-08-22,GTNTEX,EQ,20.0,21.0,21.0,19.85,20.0,20.0,20.0,9578,19159085000.0,,7125,0.7439
2006-08-23,GTNTEX,EQ,20.0,20.5,21.0,19.05,19.7,19.8,20.06,9079,18210660000.0,,6445,0.7099
2006-08-24,GTNTEX,EQ,19.8,19.5,19.8,19.3,19.5,19.55,19.51,9020,17595820000.0,,7660,0.8492000000000001
2006-08-25,GTNTEX,EQ,19.55,19.65,19.9,19.5,19.9,19.85,19.72,7575,14940670000.000002,,6095,0.8046
2006-08-28,GTNTEX,EQ,19.85,19.95,20.45,19.85,20.2,20.2,20.14,4423,8909410000.0,,4223,0.9548000000000001
2006-08-29,GTNTEX,EQ,20.2,19.8,20.3,19.5,19.7,19.6,19.84,6436,12767540000.0,,5180,0.8048000000000001
2006-08-30,GTNTEX,EQ,19.6,19.75,20.3,19.7,20.3,20.2,20.16,6859,13830120000.000002,,6102,0.8896
2006-08-31,GTNTEX,EQ,20.2,19.7,20.1,19.25,19.55,19.4,19.7,3253,6408290000.0,,2828,0.8694
2006-09-01,GTNTEX,EQ,19.4,19.6,19.7,19.0,19.3,19.2,19.31,5133,9909670000.0,,3833,0.7467
2006-09-04,GTNTEX,EQ,19.2,19.25,20.2,19.2,20.0,19.95,19.61,3072,6022825000.0,,2680,0.8724
2006-09-05,GTNTEX,EQ,19.95,19.5,20.0,19.5,19.55,19.7,19.83,1775,3519590000.0,,1216,0.6851
2006-09-06,GTNTEX,EQ,19.7,19.95,20.5,19.05,20.5,20.4,19.79,8273,16371865000.0,,6889,0.8327
2006-09-07,GTNTEX,EQ,20.4,20.0,21.45,19.8,20.5,20.8,20.68,8875,18350080000.0,,7876,0.8874
2006-09-08,GTNTEX,EQ,20.8,21.35,21.5,20.6,20.6,20.75,21.07,14923,31446680000.0,,9011,0.6038
2006-09-11,GTNTEX,EQ,20.75,21.05,21.3,19.7,20.0,19.85,20.31,6148,12488005000.0,,4508,0.7332
2006-09-12,GTNTEX,EQ,19.85,19.0,20.1,19.0,19.25,19.25,19.43,6359,12357130000.0,,5767,0.9069
2006-09-13,GTNTEX,EQ,19.25,19.8,20.2,19.45,19.6,19.55,19.72,4423,8723625000.0,,3111,0.7034
2006-09-14,GTNTEX,EQ,19.55,20.35,20.5,19.5,19.75,20.2,19.94,5038,10046815000.0,,2407,0.4778
2006-09-15,GTNTEX,EQ,20.2,19.8,20.0,19.05,19.7,19.6,19.56,4034,7891180000.0,,2529,0.6269
2006-09-18,GTNTEX,EQ,19.6,19.45,20.0,19.4,19.4,19.5,19.55,2714,5306135000.0,,2257,0.8316
2006-09-19,GTNTEX,EQ,19.5,19.2,19.85,19.0,19.0,19.05,19.14,4655,8907635000.0,,3404,0.7313
2006-09-20,GTNTEX,EQ,19.05,19.75,19.9,19.2,19.45,19.45,19.52,2917,5693110000.0,,1982,0.6795
2006-09-21,GTNTEX,EQ,19.45,19.8,19.8,18.8,18.8,19.15,19.37,6629,12840630000.0,,5471,0.8253
2006-09-22,GTNTEX,EQ,19.15,19.1,19.3,19.0,19.0,19.05,19.09,4153,7929835000.000001,,3995,0.9620000000000001
2006-09-25,GTNTEX,EQ,19.05,18.7,19.7,18.7,19.45,19.45,19.34,5411,10462805000.0,,4165,0.7697
2006-09-26,GTNTEX,EQ,19.45,19.25,19.65,19.2,19.45,19.45,19.36,5006,9690175000.0,,4717,0.9423
2006-09-27,GTNTEX,EQ,19.45,19.45,19.75,18.25,19.6,19.6,19.34,6360,12300250000.0,,4425,0.6958
