Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-28,GULPOLY,EQ,224.0,227.9,240.0,222.0,223.1,227.4,228.42,16583,378784995000.0,166,11121,0.6706000000000001
2015-01-29,GULPOLY,EQ,227.4,220.0,230.0,215.05,215.05,215.05,223.98,5117,114611480000.0,57,4007,0.7831
2015-01-30,GULPOLY,EQ,215.05,211.05,213.0,211.05,211.15,211.15,211.58,200,4231675000.0,4,200,1.0
2015-02-02,GULPOLY,EQ,211.15,212.3,225.0,212.3,220.0,220.0,216.31,530,11464390000.0,17,328,0.6189
2015-02-03,GULPOLY,EQ,220.0,223.5,230.0,222.1,229.9,228.6,227.84,1762,40145770000.0,38,1715,0.9733
2015-02-04,GULPOLY,EQ,228.6,223.15,231.0,223.15,231.0,230.95,229.26,4347,99660820000.0,48,3897,0.8965000000000001
2015-02-05,GULPOLY,EQ,230.95,230.95,236.0,229.2,236.0,234.2,232.29,1613,37467845000.0,47,1533,0.9504000000000001
2015-02-06,GULPOLY,EQ,234.2,224.25,230.0,219.05,220.0,220.0,221.69,2846,63093260000.0,43,2845,0.9995999999999999
2015-02-09,GULPOLY,EQ,220.0,206.0,235.0,206.0,212.05,212.45,215.52,2593,55883600000.0,26,2159,0.8326000000000001
2015-02-10,GULPOLY,EQ,212.45,213.5,216.0,208.0,210.0,210.0,212.04,3223,68339490000.0,49,2859,0.8871
2015-02-11,GULPOLY,EQ,210.0,210.0,221.3,210.0,221.0,221.05,218.22,1574,34347220000.0,20,1165,0.7402
2015-02-12,GULPOLY,EQ,221.05,224.0,224.0,210.3,223.9,223.9,219.77,1118,24570830000.0,17,1073,0.9597
2015-02-13,GULPOLY,EQ,223.9,220.0,220.0,215.0,215.2,216.55,217.79,926,20167090000.0,28,719,0.7765000000000001
2015-02-16,GULPOLY,EQ,216.55,230.0,249.0,230.0,239.0,235.35,238.81,17953,428729365000.00006,384,13182,0.7343000000000001
2015-02-18,GULPOLY,EQ,235.35,248.5,277.45,240.0,270.0,265.65,254.23,35966,914365225000.0,891,21825,0.6068
