Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-05,HEMIPROP,EQ,64.3,62.7,62.85,54.4,58.5,58.4,58.51,6198675,36268829515000.0,27958,3041551,0.4907
2020-11-06,HEMIPROP,EQ,58.4,59.0,68.6,58.35,64.6,64.75,64.44,5133633,33083502960000.004,23000,2303657,0.4487
2020-11-09,HEMIPROP,EQ,64.75,65.8,66.7,63.4,65.3,65.3,65.17,1369302,8924027115000.0,6954,799861,0.5841
2020-11-10,HEMIPROP,EQ,65.3,65.0,65.35,60.0,61.4,61.35,62.49,891481,5571292665000.0,5230,574863,0.6448
2020-11-11,HEMIPROP,EQ,61.35,61.6,64.0,61.5,62.0,61.7,62.56,790511,4945127695000.0,4428,430728,0.5449
2020-11-12,HEMIPROP,EQ,61.7,62.35,64.25,61.8,62.8,63.0,63.16,604249,3816421325000.0,2813,280754,0.4646
2020-11-13,HEMIPROP,EQ,63.0,62.45,64.0,62.45,63.4,62.9,63.24,312357,1975448689999.9998,2111,176793,0.5660000000000001
2020-11-14,HEMIPROP,EQ,62.9,64.5,65.8,64.1,65.6,65.5,65.07,386916,2517472830000.0,2017,288076,0.7445
2020-11-17,HEMIPROP,EQ,65.5,66.95,66.95,63.6,64.05,63.95,64.44,784011,5051798110000.0,3057,568382,0.725
2020-11-18,HEMIPROP,EQ,63.95,64.25,71.6,63.55,67.8,67.3,68.24,3212792,21924315750000.0,13024,1577052,0.49090000000000006
2020-11-19,HEMIPROP,EQ,67.3,67.95,70.85,66.0,66.55,66.85,68.63,1820774,12496319195000.0,8006,980916,0.5387
2020-11-20,HEMIPROP,EQ,66.85,67.7,68.0,64.5,65.3,65.35,65.83,785949,5173512990000.0,3747,453574,0.5771000000000001
2020-11-23,HEMIPROP,EQ,65.35,66.5,66.5,64.5,64.9,64.85,64.97,529633,3440834375000.0,2992,366170,0.6914
2020-11-24,HEMIPROP,EQ,64.85,66.0,66.0,63.6,63.75,63.8,64.22,447726,2875179290000.0,2423,321528,0.7181000000000001
