Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-05,HERANBA,EQ,627.0,900.0,945.0,796.55,826.0,812.6,869.56,16523452,1436805032970000.0,756818,4791820,0.29
2021-03-08,HERANBA,EQ,812.6,826.0,836.95,736.0,747.1,749.5,771.47,4061558,313338989265000.0,201531,1046946,0.25780000000000003
2021-03-09,HERANBA,EQ,749.5,756.05,798.0,731.2,784.1,788.0,772.84,2938791,227121142515000.0,141282,585258,0.1991
2021-03-10,HERANBA,EQ,788.0,789.0,801.95,770.25,787.2,789.75,785.77,1298178,102006665545000.0,60284,291458,0.2245
2021-03-12,HERANBA,EQ,789.75,800.0,804.0,758.1,760.9,761.75,777.4,652564,50730220045000.0,30736,257719,0.39490000000000003
2021-03-15,HERANBA,EQ,761.75,760.9,763.65,705.5,707.9,707.5,718.81,868864,62454734104999.99,50309,407496,0.469
2021-03-16,HERANBA,EQ,707.5,714.8,724.8,695.35,697.0,699.85,711.29,525679,37391237300000.0,27557,145542,0.27690000000000003
2021-03-17,HERANBA,EQ,699.85,694.0,697.2,653.05,656.95,660.05,670.26,706047,47323709455000.0,46097,272123,0.3854
2021-03-18,HERANBA,EQ,660.05,662.8,672.0,627.05,634.0,634.85,642.99,791769,50910323730000.0,32792,247804,0.313
2021-03-19,HERANBA,EQ,634.85,629.8,649.9,627.5,637.9,639.4,637.56,776461,49504368320000.0,31007,170811,0.22
2021-03-22,HERANBA,EQ,639.4,640.0,668.65,633.05,640.0,642.05,652.35,474231,30936424930000.0,27469,125959,0.2656
2021-03-23,HERANBA,EQ,642.05,646.05,660.95,640.0,643.3,642.5,647.63,370317,23982701180000.0,15482,100887,0.2724
2021-03-24,HERANBA,EQ,642.5,635.0,647.0,631.65,632.5,633.35,637.46,369566,23558228730000.0,17394,133889,0.36229999999999996
2021-03-25,HERANBA,EQ,633.35,630.2,640.9,627.0,628.0,628.95,632.07,504307,31875635895000.0,22838,148566,0.29460000000000003
2021-03-26,HERANBA,EQ,628.95,638.0,641.0,628.2,630.7,630.35,634.08,293864,18633268505000.0,18418,94101,0.32020000000000004
2021-03-30,HERANBA,EQ,630.35,637.0,649.0,627.2,629.8,630.45,636.44,359233,22862865900000.0,17088,122250,0.3403
2021-03-31,HERANBA,EQ,630.45,631.75,645.0,630.0,630.5,631.2,635.39,425879,27059848695000.0,18913,97101,0.228
2021-04-01,HERANBA,EQ,631.2,635.8,647.2,631.0,631.45,632.15,637.83,387094,24689990205000.0,12302,215614,0.557
2021-04-05,HERANBA,EQ,632.15,632.0,636.2,620.1,622.8,624.6,626.11,333226,20863695875000.0,15883,125144,0.37560000000000004
2021-04-06,HERANBA,EQ,624.6,624.0,624.0,602.1,605.0,604.8,610.01,741336,45221998215000.0,33301,383409,0.5172
2021-04-07,HERANBA,EQ,604.8,606.0,689.0,606.0,663.95,663.25,655.46,1546227,101348804540000.0,61056,457797,0.2961
2021-04-08,HERANBA,EQ,663.25,664.65,683.25,661.0,665.45,665.35,671.51,474468,31861066264999.996,15339,215406,0.454
2021-04-09,HERANBA,EQ,665.35,667.0,672.25,654.0,654.0,658.0,661.34,213971,14150664790000.0,8725,84762,0.3961
2021-04-12,HERANBA,EQ,658.0,640.0,657.4,627.1,635.0,637.75,639.64,416594,26647021420000.0,16022,124711,0.2994
2021-04-13,HERANBA,EQ,637.75,641.0,662.4,641.0,645.9,646.4,650.38,334959,21785141225000.0,13423,130767,0.3904
2021-04-15,HERANBA,EQ,646.4,645.95,647.9,632.65,638.15,639.3,638.72,178700,11413851420000.0,9110,70958,0.3971
2021-04-16,HERANBA,EQ,639.3,642.5,657.5,638.15,644.65,645.85,648.9,223288,14489177075000.0,8134,97739,0.43770000000000003
2021-04-19,HERANBA,EQ,645.85,627.1,636.95,620.1,626.0,625.0,626.98,349838,21934251210000.0,16021,105975,0.3029
2021-04-20,HERANBA,EQ,625.0,642.0,645.0,621.25,622.8,623.55,630.58,214109,13501337230000.002,9489,70229,0.32799999999999996
2021-04-22,HERANBA,EQ,623.55,625.0,703.0,620.05,664.55,668.5,673.67,1226176,82603875605000.0,43807,313552,0.2557
2021-04-23,HERANBA,EQ,668.5,672.0,694.0,653.2,658.8,659.65,674.46,857620,57843024254999.99,29251,266864,0.31120000000000003
2021-04-26,HERANBA,EQ,659.65,668.0,682.0,661.95,669.5,669.65,671.93,306250,20577745505000.0,12369,95698,0.3125
2021-04-27,HERANBA,EQ,669.65,670.0,692.0,670.0,682.0,682.7,683.89,381872,26115861805000.0,14667,117276,0.30710000000000004
2021-04-28,HERANBA,EQ,682.7,685.5,728.0,685.0,709.1,711.0,710.9,1100849,78258844775000.0,35476,313350,0.2846
2021-04-29,HERANBA,EQ,711.0,716.0,722.7,692.0,700.0,700.35,705.51,413373,29163998775000.0,12616,109464,0.26480000000000004
2021-04-30,HERANBA,EQ,700.35,696.5,727.7,691.85,715.5,715.1,714.22,727618,51968152680000.0,20697,193427,0.2658
2021-05-03,HERANBA,EQ,715.1,710.5,742.0,706.25,728.0,731.05,731.81,612106,44794776920000.0,15437,168235,0.2748
2021-05-04,HERANBA,EQ,731.05,736.0,738.0,706.25,710.0,710.0,722.34,314389,22709439180000.0,11070,108056,0.3437
2021-05-05,HERANBA,EQ,710.0,716.4,724.0,702.55,720.5,718.5,713.46,343350,24496795060000.0,11631,94135,0.2742
2021-05-06,HERANBA,EQ,718.5,721.05,734.0,705.0,707.0,706.9,716.69,238336,17081391655000.002,7419,91478,0.38380000000000003
2021-05-07,HERANBA,EQ,706.9,713.75,729.0,703.0,707.0,708.15,715.46,551134,39431167590000.0,16669,136442,0.24760000000000001
2021-05-10,HERANBA,EQ,708.15,714.9,725.4,708.0,710.45,709.75,716.02,263611,18875186930000.0,8995,89014,0.33770000000000006
2021-05-11,HERANBA,EQ,709.75,704.0,722.0,702.8,715.1,713.9,712.65,272085,19390138785000.0,8314,83730,0.30770000000000003
2021-05-12,HERANBA,EQ,713.9,716.0,719.8,703.0,706.0,706.75,710.26,272609,19362351740000.0,7645,118707,0.4354
2021-05-14,HERANBA,EQ,706.75,711.0,744.0,705.0,731.1,732.8,727.41,760162,55294907500000.0,21443,267528,0.3519
2021-05-17,HERANBA,EQ,732.8,740.0,769.8,737.1,753.0,756.65,754.94,938771,70871217955000.0,30686,213390,0.2273
2021-05-18,HERANBA,EQ,756.65,753.9,765.0,736.55,737.05,740.45,749.79,338631,25390081025000.0,11909,87648,0.2588
2021-05-19,HERANBA,EQ,740.45,740.0,767.0,736.65,749.0,750.65,755.63,361769,27336476764999.996,11370,129899,0.3591
2021-05-20,HERANBA,EQ,750.65,752.0,758.0,724.0,724.15,727.3,741.4,263407,19529016940000.0,8390,102402,0.38880000000000003
2021-05-21,HERANBA,EQ,727.3,730.0,738.1,716.35,727.55,724.2,724.52,420470,30463845035000.004,24978,138969,0.33049999999999996
2021-05-24,HERANBA,EQ,724.2,729.0,737.2,722.25,726.45,726.9,729.52,309099,22549261675000.0,7763,74431,0.2408
2021-05-25,HERANBA,EQ,726.9,727.0,744.7,727.0,734.0,735.85,735.52,319997,23536280845000.0,9108,102235,0.3195
2021-05-26,HERANBA,EQ,735.85,740.0,740.0,730.1,732.0,733.2,735.36,175280,12889305350000.0,4942,56129,0.32020000000000004
2021-05-27,HERANBA,EQ,733.2,733.05,736.75,719.2,723.6,723.5,728.06,159136,11586089180000.0,6445,86976,0.5466
2021-05-28,HERANBA,EQ,723.5,721.6,733.4,713.0,730.0,728.05,723.46,396129,28658334145000.0,11733,143615,0.3625
2021-05-31,HERANBA,EQ,728.05,735.0,744.0,727.0,727.0,729.3,734.22,294819,21646277495000.0,9135,94838,0.32170000000000004
2021-06-01,HERANBA,EQ,729.3,731.0,742.7,721.9,731.8,730.6,731.79,207149,15158930644999.998,5789,76019,0.36700000000000005
2021-06-02,HERANBA,EQ,730.6,731.4,777.9,728.55,775.0,772.9,759.49,1051516,79861096300000.0,37229,431904,0.4107
2021-06-03,HERANBA,EQ,772.9,782.0,789.8,752.1,758.9,758.0,769.38,601984,46315495900000.0,19016,264899,0.44
2021-06-04,HERANBA,EQ,758.0,760.0,775.5,753.4,767.9,767.15,764.63,331758,25367374360000.0,9792,131114,0.39520000000000005
2021-06-07,HERANBA,EQ,767.15,774.0,787.85,765.1,779.85,780.7,778.83,531057,41360387990000.0,17246,215294,0.4054
2021-06-08,HERANBA,EQ,780.7,784.95,791.95,766.0,771.5,771.65,775.81,328595,25492793410000.0,11669,170100,0.5177
2021-06-09,HERANBA,EQ,771.65,777.9,799.0,765.1,772.0,772.25,784.14,642584,50387510655000.0,16269,268718,0.4182
2021-06-10,HERANBA,EQ,772.25,773.0,814.5,773.0,810.0,808.15,800.49,991712,79385484030000.0,24114,404708,0.4081
2021-06-11,HERANBA,EQ,808.15,816.0,822.9,760.0,768.85,768.95,787.73,1731440,136391300134999.98,45271,597667,0.34520000000000006
2021-06-14,HERANBA,EQ,768.95,775.15,789.8,751.45,775.25,779.3,771.44,583688,45028212625000.0,16269,238419,0.40850000000000003
2021-06-15,HERANBA,EQ,779.3,784.9,789.0,765.5,768.0,769.85,776.83,374714,29108998230000.0,11896,175683,0.46880000000000005
2021-06-16,HERANBA,EQ,769.85,772.0,773.75,750.0,750.2,752.35,758.86,294235,22328394245000.0,11043,126825,0.43100000000000005
2021-06-17,HERANBA,EQ,752.35,748.0,758.8,730.0,731.0,731.8,743.23,233230,17334372055000.002,8400,116313,0.4987
2021-06-18,HERANBA,EQ,731.8,735.0,740.0,687.65,712.05,712.9,709.79,344315,24439233215000.0,21493,140175,0.4071
2021-06-21,HERANBA,EQ,712.9,703.45,723.55,696.95,713.9,713.65,711.62,186725,13287681050000.0,12166,65091,0.3486
2021-06-22,HERANBA,EQ,713.65,720.15,729.0,706.65,708.0,708.5,717.91,199720,14338049060000.0,9090,95559,0.47850000000000004
2021-06-23,HERANBA,EQ,708.5,711.5,714.5,698.0,699.7,699.9,704.5,139446,9823909555000.0,7662,74848,0.5368
2021-06-24,HERANBA,EQ,699.9,702.25,705.0,686.2,687.7,688.0,693.68,148841,10324814480000.0,10052,86322,0.58
2021-06-25,HERANBA,EQ,688.0,695.5,709.0,687.0,702.0,702.65,700.38,147268,10314359965000.0,6934,59288,0.4026
2021-06-28,HERANBA,EQ,702.65,704.95,709.8,687.05,688.0,690.15,696.6,173423,12080644685000.0,9511,101641,0.5861
2021-06-29,HERANBA,EQ,690.15,690.6,697.35,689.35,691.0,691.8,693.15,77061,5341498930000.0,3872,41037,0.5325
2021-06-30,HERANBA,EQ,691.8,695.85,703.7,692.0,695.0,694.6,698.79,169457,11841409700000.0,5230,107096,0.632
2021-07-01,HERANBA,EQ,694.6,694.6,695.3,686.2,690.0,689.1,691.04,99053,6844915600000.0,4401,51459,0.5195000000000001
