Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-05-10,HINDCOMPOS,EQ,0.0,31.0,31.0,31.0,,31.0,31.0,100,310000000.0,,,
1996-06-26,HINDCOMPOS,EQ,31.0,34.1,34.1,34.1,,34.1,34.1,50,170500000.0,,,
1997-01-24,HINDCOMPOS,EQ,34.1,31.8,31.8,31.8,,31.8,31.8,50,159000000.0,,,
1997-01-27,HINDCOMPOS,EQ,31.8,28.7,28.7,28.7,,28.7,28.7,50,143500000.0,,,
1997-01-28,HINDCOMPOS,EQ,28.7,26.0,26.0,26.0,,26.0,26.0,50,130000000.0,,,
1997-01-29,HINDCOMPOS,EQ,26.0,26.0,26.0,23.5,,23.5,24.13,400,965000000.0,,,
1997-01-30,HINDCOMPOS,EQ,23.5,25.0,25.0,25.0,,25.0,25.0,200,500000000.0,,,
1997-02-07,HINDCOMPOS,EQ,25.0,27.45,27.45,27.45,,27.45,27.45,50,137250000.0,,,
1997-03-04,HINDCOMPOS,EQ,27.45,29.0,29.0,29.0,,29.0,29.0,200,580000000.0,,,
1997-03-10,HINDCOMPOS,EQ,29.0,27.5,28.0,27.5,,28.0,27.75,1000,2775000000.0,,,
1997-03-11,HINDCOMPOS,EQ,28.0,26.0,26.0,26.0,,26.0,26.0,100,260000000.0,,,
1997-03-12,HINDCOMPOS,EQ,26.0,26.0,26.0,26.0,,26.0,26.0,1300,3380000000.0,,,
1997-03-13,HINDCOMPOS,EQ,26.0,26.0,27.5,26.0,,27.5,26.38,400,1055000000.0,,,
1997-03-14,HINDCOMPOS,EQ,27.5,27.0,27.0,27.0,,27.0,27.0,300,810000000.0,,,
1997-03-17,HINDCOMPOS,EQ,27.0,27.5,27.5,27.25,,27.25,27.45,500,1372500000.0,,,
1997-03-18,HINDCOMPOS,EQ,27.25,27.25,27.5,27.25,,27.5,27.38,100,273750000.0,,,
1997-03-21,HINDCOMPOS,EQ,27.5,25.0,25.0,25.0,,25.0,25.0,150,375000000.0,,,
1997-03-25,HINDCOMPOS,EQ,25.0,25.5,25.5,25.5,,25.5,25.5,150,382500000.0,,,
1997-04-02,HINDCOMPOS,EQ,25.5,27.0,27.0,27.0,,27.0,27.0,150,405000000.0,,,
1997-04-03,HINDCOMPOS,EQ,27.0,29.3,29.3,29.3,,29.3,29.3,50,146500000.0,,,
1997-04-11,HINDCOMPOS,EQ,29.3,31.75,31.75,31.75,,31.75,31.75,50,158750000.0,,,
1997-04-21,HINDCOMPOS,EQ,31.75,34.25,34.25,34.25,,34.25,34.25,50,171250000.0,,,
1997-04-22,HINDCOMPOS,EQ,34.25,36.75,36.75,36.75,,36.75,36.75,300,1102500000.0,,,
1997-04-23,HINDCOMPOS,EQ,36.75,35.05,40.0,35.05,,40.0,39.02,5000,19509750000.0,,,
1997-04-24,HINDCOMPOS,EQ,40.0,42.0,44.0,42.0,,43.95,43.73,7650,33452000000.0,,,
1997-04-25,HINDCOMPOS,EQ,43.95,44.75,44.75,42.0,,42.0,42.58,4300,18308000000.0,,,
1997-04-28,HINDCOMPOS,EQ,42.0,42.5,43.0,42.5,,42.5,42.52,3000,12755500000.0,,,
1997-04-29,HINDCOMPOS,EQ,42.5,42.0,42.0,39.55,,39.55,40.07,950,3806750000.0,,,
1997-04-30,HINDCOMPOS,EQ,39.55,39.6,39.6,39.6,,39.6,39.6,600,2376000000.0,,,
1997-05-02,HINDCOMPOS,EQ,39.6,40.0,40.0,39.6,,39.65,39.88,600,2392500000.0,,,
1997-05-05,HINDCOMPOS,EQ,39.65,39.0,39.0,39.0,,39.0,39.0,2400,9360000000.0,,,
1997-05-06,HINDCOMPOS,EQ,39.0,38.0,38.5,38.0,,38.0,38.03,1650,6275000000.0,,,
1997-05-08,HINDCOMPOS,EQ,38.0,37.25,37.25,37.25,,37.25,37.25,250,931250000.0,,,
1997-05-13,HINDCOMPOS,EQ,37.25,37.5,37.5,37.5,,37.5,37.5,800,3000000000.0,,,
1997-05-14,HINDCOMPOS,EQ,37.5,37.5,37.5,37.5,,37.5,37.5,500,1875000000.0,,,
1997-05-15,HINDCOMPOS,EQ,37.5,37.5,37.5,37.5,,37.5,37.5,2000,7500000000.0,,,
1997-05-16,HINDCOMPOS,EQ,37.5,37.5,37.5,37.5,,37.5,37.5,50,187500000.0,,,
1997-05-20,HINDCOMPOS,EQ,37.5,38.0,39.75,38.0,,38.0,38.03,3750,14261250000.0,,,
1997-05-21,HINDCOMPOS,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1997-05-22,HINDCOMPOS,EQ,38.0,38.5,38.5,38.5,,38.5,38.5,200,770000000.0,,,
1997-05-23,HINDCOMPOS,EQ,38.5,38.75,38.75,38.5,,38.5,38.54,650,2505000000.0,,,
1997-05-26,HINDCOMPOS,EQ,38.5,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1997-05-27,HINDCOMPOS,EQ,38.0,35.05,35.05,35.05,,35.05,35.05,50,175250000.0,,,
1997-05-29,HINDCOMPOS,EQ,35.05,36.0,36.0,36.0,,36.0,36.0,150,540000000.0,,,
1997-05-30,HINDCOMPOS,EQ,36.0,36.0,36.0,36.0,,36.0,36.0,450,1620000000.0,,,
1997-06-02,HINDCOMPOS,EQ,36.0,35.0,35.05,35.0,,35.0,35.01,200,700250000.0,,,
1997-06-03,HINDCOMPOS,EQ,35.0,34.05,34.05,34.0,,34.0,34.01,500,1700500000.0,,,
1997-06-09,HINDCOMPOS,EQ,34.0,32.5,32.5,32.5,,32.5,32.5,500,1625000000.0,,,
1997-06-12,HINDCOMPOS,EQ,32.5,31.5,31.5,31.5,,31.5,31.5,100,315000000.0,,,
1997-06-16,HINDCOMPOS,EQ,31.5,30.0,30.0,30.0,,30.0,30.0,100,300000000.0,,,
1997-06-17,HINDCOMPOS,EQ,30.0,30.0,31.25,30.0,,31.25,30.83,150,462500000.0,,,
1997-06-18,HINDCOMPOS,EQ,31.25,32.0,34.0,32.0,,34.0,32.67,300,980000000.0,,,
1997-06-20,HINDCOMPOS,EQ,34.0,30.6,33.55,30.6,,33.55,33.23,700,2325750000.0,,,
1997-06-23,HINDCOMPOS,EQ,33.55,34.05,34.05,34.05,,34.05,34.05,100,340500000.0,,,
1997-06-24,HINDCOMPOS,EQ,34.05,30.65,37.0,30.65,,37.0,34.88,150,523250000.0,,,
1997-07-03,HINDCOMPOS,EQ,37.0,34.9,39.95,34.9,,39.95,35.35,700,2474250000.0,,,
1997-07-04,HINDCOMPOS,EQ,39.95,37.0,37.0,37.0,,37.0,37.0,200,740000000.0,,,
1997-07-07,HINDCOMPOS,EQ,37.0,35.1,35.1,35.0,,35.0,35.01,350,1225500000.0,,,
1997-07-08,HINDCOMPOS,EQ,35.0,35.0,35.0,35.0,,35.0,35.0,1300,4550000000.0,,,
1997-07-09,HINDCOMPOS,EQ,35.0,35.0,35.0,31.6,,31.6,33.3,100,333000000.0,,,
1997-07-11,HINDCOMPOS,EQ,31.6,34.75,34.75,34.75,,34.75,34.75,50,173750000.0,,,
1997-07-16,HINDCOMPOS,EQ,34.75,37.0,37.0,37.0,,37.0,37.0,50,185000000.0,,,
1997-07-17,HINDCOMPOS,EQ,37.0,37.0,37.0,37.0,,37.0,37.0,350,1295000000.0,,,
1997-07-21,HINDCOMPOS,EQ,37.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1997-07-22,HINDCOMPOS,EQ,38.0,37.05,37.05,37.05,,37.05,37.05,100,370500000.0,,,
1997-07-23,HINDCOMPOS,EQ,37.05,38.0,38.0,38.0,,38.0,38.0,50,190000000.0,,,
1997-07-24,HINDCOMPOS,EQ,38.0,34.25,41.4,34.25,,37.8,37.83,4200,15886500000.0,,,
1997-07-28,HINDCOMPOS,EQ,37.8,37.0,37.0,37.0,,37.0,37.0,50,185000000.0,,,
1997-07-29,HINDCOMPOS,EQ,37.0,37.5,37.5,37.0,,37.0,37.2,250,930000000.0,,,
1997-07-30,HINDCOMPOS,EQ,37.0,38.0,39.0,37.5,,37.5,38.13,400,1525000000.0,,,
1997-07-31,HINDCOMPOS,EQ,37.5,37.5,37.5,37.5,,37.5,37.5,50,187500000.0,,,
1997-08-01,HINDCOMPOS,EQ,37.5,37.55,38.0,37.55,,38.0,37.73,250,943250000.0,,,
1997-08-04,HINDCOMPOS,EQ,38.0,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1997-08-05,HINDCOMPOS,EQ,39.0,38.0,38.0,38.0,,38.0,38.0,150,570000000.0,,,
1997-08-06,HINDCOMPOS,EQ,38.0,39.0,39.0,39.0,,39.0,39.0,50,195000000.0,,,
1997-08-07,HINDCOMPOS,EQ,39.0,40.0,40.0,40.0,,40.0,40.0,2000,8000000000.0,,,
