Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-05,HISARMETAL,EQ,26.1,28.7,28.7,28.3,28.7,28.7,28.66,6683,19154310000.0,34,5031,0.7528
2017-01-06,HISARMETAL,EQ,28.7,30.9,30.95,28.05,29.4,30.2,29.68,22988,68228335000.0,177,9629,0.4189
2017-01-09,HISARMETAL,EQ,30.2,30.9,31.3,29.15,30.3,31.1,30.5,7453,22728750000.0,76,4765,0.6393
2017-01-10,HISARMETAL,EQ,31.1,31.0,32.35,29.65,32.1,31.65,31.62,19163,60590855000.00001,87,10235,0.5341
2017-01-11,HISARMETAL,EQ,31.65,32.0,33.2,31.55,33.2,33.2,32.55,12045,39206925000.0,62,7438,0.6175
2017-01-12,HISARMETAL,EQ,33.2,34.0,34.85,34.0,34.85,34.85,34.66,14340,49703070000.0,105,13750,0.9589
2017-01-13,HISARMETAL,EQ,34.85,36.0,36.55,36.0,36.55,36.55,36.36,12592,45784845000.0,108,11761,0.934
2017-01-16,HISARMETAL,EQ,36.55,37.9,38.35,37.05,38.35,37.95,37.88,30422,115225685000.00002,207,23558,0.7744
2017-01-17,HISARMETAL,EQ,37.95,36.5,39.8,36.5,39.8,39.5,39.55,21025,83163525000.0,168,12976,0.6172
2017-01-18,HISARMETAL,EQ,39.5,41.35,41.45,40.2,41.45,41.45,41.41,9338,38665655000.0,67,7178,0.7687
2017-01-19,HISARMETAL,EQ,41.45,43.5,43.5,41.65,43.5,43.5,43.38,14936,64797390000.0,72,12865,0.8613
2017-01-20,HISARMETAL,EQ,43.5,44.35,45.65,44.35,45.65,45.65,45.54,15527,70711385000.0,82,12738,0.8204000000000001
2017-01-23,HISARMETAL,EQ,45.65,47.85,47.9,46.05,46.05,47.6,47.76,29344,140152550000.0,167,21822,0.7437
2017-01-24,HISARMETAL,EQ,47.6,47.5,47.5,45.25,45.25,45.25,45.72,5566,25450090000.0,43,5528,0.9932
2017-01-25,HISARMETAL,EQ,45.25,43.0,43.0,43.0,43.0,43.0,43.0,665,2859500000.0,12,665,1.0
2017-01-27,HISARMETAL,EQ,43.0,41.0,41.0,40.85,40.85,40.85,40.87,825,3371775000.0,10,825,1.0
2017-01-30,HISARMETAL,EQ,40.85,38.85,38.85,38.85,38.85,38.85,38.85,2353,9141405000.0,15,2353,1.0
2017-01-31,HISARMETAL,EQ,38.85,36.95,36.95,36.95,36.95,36.95,36.95,2420,8941900000.0,14,2420,1.0
2017-02-01,HISARMETAL,EQ,36.95,35.15,38.75,35.15,38.75,38.75,37.44,34262,128279860000.00002,223,20059,0.5855
2017-02-02,HISARMETAL,EQ,38.75,39.5,40.65,37.1,37.9,37.8,39.47,23253,91787850000.0,230,12029,0.5173
2017-02-03,HISARMETAL,EQ,37.8,38.2,39.3,35.95,35.95,36.15,37.27,18461,68809385000.0,138,13499,0.7312000000000001
2017-02-06,HISARMETAL,EQ,36.15,36.55,36.55,34.35,35.4,34.6,35.08,14501,50863835000.0,143,8074,0.5568
2017-02-07,HISARMETAL,EQ,34.6,36.35,38.05,35.95,38.05,38.05,37.5,10155,38082395000.0,75,7127,0.7018000000000001
2017-02-08,HISARMETAL,EQ,38.05,40.0,41.85,38.0,41.85,41.85,40.45,16894,68333255000.00001,177,9448,0.5593
2017-02-09,HISARMETAL,EQ,41.85,45.4,45.4,39.25,42.5,42.8,43.52,19913,86656945000.0,187,12333,0.6193
2017-02-10,HISARMETAL,EQ,42.8,42.8,43.0,39.85,40.0,40.05,40.87,5406,22096835000.0,72,4213,0.7793000000000001
2017-02-13,HISARMETAL,EQ,40.05,40.0,43.0,38.1,39.85,39.35,40.86,18061,73792790000.0,347,10206,0.5651
2017-02-14,HISARMETAL,EQ,39.35,42.8,42.8,39.0,39.0,39.05,39.45,5371,21190985000.0,43,3996,0.7440000000000001
2017-02-15,HISARMETAL,EQ,39.05,38.0,38.0,36.5,37.35,37.7,37.33,4606,17194560000.0,44,2918,0.6335000000000001
2017-02-16,HISARMETAL,EQ,37.7,39.3,40.0,38.2,38.2,39.05,39.6,3814,15102150000.0,28,2359,0.6185
