Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,IDBI,EQ,105.25,105.25,105.8,104.75,,105.0,105.02,4400,46209000000.0,,,
1996-01-02,IDBI,EQ,105.0,105.0,105.5,103.05,,103.55,104.42,25600,267305500000.0,,,
1996-01-03,IDBI,EQ,103.55,103.55,105.0,103.6,,103.75,104.24,9800,102157500000.0,,,
1996-01-04,IDBI,EQ,103.75,103.75,103.25,101.65,,101.95,102.11,8400,85775000000.0,,,
1996-01-05,IDBI,EQ,101.95,101.95,102.9,101.8,,102.2,102.07,5300,54099500000.0,,,
1996-01-08,IDBI,EQ,102.2,102.2,101.45,99.85,,100.7,100.76,31200,314377000000.0,,,
1996-01-09,IDBI,EQ,100.7,100.7,100.75,99.25,,100.45,99.99,17900,178987500000.0,,,
1996-01-10,IDBI,EQ,100.45,100.45,99.95,99.05,,99.35,99.43,7700,76560000000.0,,,
1996-01-11,IDBI,EQ,99.35,99.35,99.4,98.7,,99.4,99.06,6200,61415500000.0,,,
1996-01-12,IDBI,EQ,99.4,99.4,100.0,99.1,,99.95,99.69,4700,46852500000.0,,,
1996-01-15,IDBI,EQ,99.95,99.95,100.0,99.6,,100.0,99.84,5200,51914500000.0,,,
1996-01-16,IDBI,EQ,100.0,100.0,99.5,97.05,,97.25,97.91,25400,248692000000.0,,,
1996-01-17,IDBI,EQ,97.25,97.25,98.45,96.0,,96.25,96.56,10700,103315500000.0,,,
1996-01-18,IDBI,EQ,96.25,96.25,95.0,94.0,,94.75,94.65,16500,156170500000.0,,,
1996-01-19,IDBI,EQ,94.75,94.75,93.75,92.15,,92.35,92.48,13900,128553500000.0,,,
1996-01-22,IDBI,EQ,92.35,92.35,92.5,90.05,,90.75,91.34,16800,153456500000.0,,,
1996-01-23,IDBI,EQ,90.75,90.75,92.0,90.05,,91.05,91.21,32400,295511500000.0,,,
1996-01-24,IDBI,EQ,91.05,91.05,90.75,89.25,,90.25,90.16,15400,138840000000.0,,,
1996-01-25,IDBI,EQ,90.25,90.25,91.25,90.0,,90.4,90.6,7300,66141500000.0,,,
1996-01-29,IDBI,EQ,90.4,90.4,90.95,89.85,,90.3,90.43,8800,79581000000.0,,,
1996-01-30,IDBI,EQ,90.3,90.3,92.9,90.65,,91.1,91.59,17900,163942500000.0,,,
1996-01-31,IDBI,EQ,91.1,91.1,92.5,91.0,,92.0,91.99,7200,66233000000.0,,,
1996-02-01,IDBI,EQ,92.0,92.0,92.5,91.55,,92.2,92.0,9900,91080000000.0,,,
1996-02-02,IDBI,EQ,92.2,92.2,97.0,93.0,,95.6,95.14,12100,115116000000.0,,,
1996-02-05,IDBI,EQ,95.6,95.6,99.95,95.05,,97.0,97.89,18800,184031000000.0,,,
1996-02-06,IDBI,EQ,97.0,97.0,102.0,96.3,,101.2,99.7,56500,563282500000.0,,,
1996-02-07,IDBI,EQ,101.2,101.2,103.0,99.0,,102.65,101.56,43300,439741000000.0,,,
1996-02-08,IDBI,EQ,102.65,102.65,108.35,102.1,,108.05,106.2,45300,481067000000.0,,,
1996-02-09,IDBI,EQ,108.05,108.05,129.0,111.0,,125.15,117.41,133500,1567486500000.0,,,
1996-02-12,IDBI,EQ,125.15,125.15,127.0,115.0,,117.6,122.39,198200,2425832500000.0,,,
1996-02-13,IDBI,EQ,117.6,117.6,121.5,114.0,,118.7,117.42,194200,2280238500000.0,,,
1996-02-14,IDBI,EQ,118.7,118.95,127.0,118.95,,121.95,123.12,105800,1302600500000.0,,,
1996-02-15,IDBI,EQ,121.95,121.95,122.0,119.1,,120.1,120.63,57800,697224000000.0,,,
1996-02-16,IDBI,EQ,120.1,120.1,119.55,116.1,,117.7,117.92,66000,778256500000.0,,,
1996-02-19,IDBI,EQ,117.7,117.7,118.7,116.2,,118.2,118.05,75700,893642000000.0,,,
1996-02-20,IDBI,EQ,118.2,118.2,118.0,110.05,,112.4,115.55,91300,1055002000000.0,,,
1996-02-22,IDBI,EQ,112.4,112.4,114.75,112.0,,113.95,113.82,32300,367645000000.0,,,
1996-02-23,IDBI,EQ,113.95,113.95,115.5,113.0,,113.45,113.83,54800,623763000000.0,,,
1996-02-26,IDBI,EQ,113.45,113.45,115.5,114.1,,115.1,114.86,39000,447957000000.0,,,
1996-02-27,IDBI,EQ,115.1,115.1,115.5,114.0,,114.65,114.58,52400,600388000000.0,,,
1996-02-28,IDBI,EQ,114.65,114.65,115.5,114.0,,114.4,114.52,57800,661903500000.0,,,
1996-02-29,IDBI,EQ,114.4,114.4,114.5,110.1,,111.25,112.24,65900,739658500000.0,,,
1996-03-01,IDBI,EQ,111.25,111.25,111.3,109.0,,110.7,110.7,30000,332096000000.0,,,
1996-03-04,IDBI,EQ,110.7,110.7,111.7,108.55,,108.95,109.49,41700,456567500000.0,,,
1996-03-06,IDBI,EQ,108.95,108.95,109.95,107.6,,108.4,108.46,12100,131233000000.0,,,
1996-03-07,IDBI,EQ,108.4,108.4,109.75,107.25,,107.35,108.84,13600,148022500000.0,,,
1996-03-08,IDBI,EQ,107.35,107.0,107.4,104.75,,106.05,105.76,8000,84607000000.0,,,
1996-03-11,IDBI,EQ,106.05,106.05,105.5,104.15,,105.4,104.85,63100,661590500000.0,,,
1996-03-12,IDBI,EQ,105.4,105.4,106.0,103.0,,103.15,104.27,27000,281522500000.0,,,
1996-03-13,IDBI,EQ,103.15,103.15,106.0,102.5,,105.75,104.76,25100,262946000000.0,,,
