Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-03-30,ILFSTRANS,EQ,258.0,266.6,299.0,266.6,274.3,274.65,280.92,26516883,744913011660000.0,,7043037,0.2656
2010-03-31,ILFSTRANS,EQ,274.65,275.0,282.0,272.1,281.55,278.35,277.71,3709711,103024207005000.0,,970093,0.2615
2010-04-01,ILFSTRANS,EQ,278.35,283.3,284.9,276.35,277.5,278.45,280.66,1635853,45912645910000.0,,610099,0.373
2010-04-05,ILFSTRANS,EQ,278.45,280.95,281.4,267.55,274.8,273.7,274.95,1346765,37029119270000.0,,773162,0.5740999999999999
2010-04-06,ILFSTRANS,EQ,273.7,275.0,281.0,269.0,277.5,278.9,276.24,1212940,33505808800000.0,,475904,0.3924
2010-04-07,ILFSTRANS,EQ,278.9,280.7,294.0,277.3,291.95,292.05,287.59,2987932,85931172320000.0,,973711,0.3259
2010-04-08,ILFSTRANS,EQ,292.05,293.0,297.0,280.55,281.55,282.15,288.97,1392312,40233755965000.0,,412167,0.29600000000000004
2010-04-09,ILFSTRANS,EQ,282.15,283.6,284.7,278.1,280.75,281.0,280.98,567999,15959473600000.0,,284053,0.5001
2010-04-12,ILFSTRANS,EQ,281.0,282.45,285.3,274.4,278.5,276.95,278.93,507750,14162802705000.002,,224855,0.4428
2010-04-13,ILFSTRANS,EQ,276.95,278.75,283.75,276.15,283.0,280.75,281.16,480216,13501611235000.0,,227191,0.4731
2010-04-15,ILFSTRANS,EQ,280.75,282.6,286.0,277.2,278.1,278.25,282.45,650382,18370192445000.0,,177549,0.273
2010-04-16,IL&FSTRANS,EQ,278.25,277.4,280.75,273.25,276.0,275.5,276.05,205294,5667113420000.0,,92858,0.4523
2010-04-19,IL&FSTRANS,EQ,275.5,270.0,274.0,268.0,272.1,272.0,271.0,253988,6883160420000.0,,119735,0.47140000000000004
2010-04-20,IL&FSTRANS,EQ,272.0,273.9,286.8,272.05,283.0,283.4,282.04,597650,16856341305000.002,,293497,0.4911
2010-04-21,IL&FSTRANS,EQ,283.4,285.65,296.5,284.55,294.7,294.7,291.41,1840020,53619847910000.0,,915380,0.4975
2010-04-22,IL&FSTRANS,EQ,294.7,281.0,300.0,281.0,291.1,290.4,294.57,775944,22856741980000.0,,326095,0.4203
2010-04-23,IL&FSTRANS,EQ,290.4,291.65,293.0,285.6,290.0,289.7,289.7,295966,8574093900000.0,,183948,0.6215
2010-04-26,IL&FSTRANS,EQ,289.7,290.4,293.6,286.0,287.8,288.3,290.55,260031,7555328700000.0,,156178,0.6006
2010-04-27,IL&FSTRANS,EQ,288.3,285.55,292.45,285.55,289.5,289.4,289.84,239559,6943266795000.0,,124721,0.5206000000000001
2010-04-28,IL&FSTRANS,EQ,289.4,286.0,288.8,281.75,283.5,282.85,284.87,133519,3803605350000.0,,91127,0.6825
2010-04-29,IL&FSTRANS,EQ,282.85,284.25,287.8,283.0,287.1,286.2,285.41,72910,2080930810000.0002,,44182,0.606
2010-04-30,IL&FSTRANS,EQ,286.2,288.7,290.0,283.25,284.2,284.5,287.97,183225,5276367185000.0,,143938,0.7856000000000001
2010-05-03,IL&FSTRANS,EQ,284.5,284.1,287.0,281.0,282.0,282.0,283.69,349979,9928610535000.0,,325407,0.9298000000000001
2010-05-04,IL&FSTRANS,EQ,282.0,283.75,289.9,283.15,284.95,284.25,286.47,582182,16677510710000.0,,308872,0.5305
2010-05-05,IL&FSTRANS,EQ,284.25,281.1,281.8,275.55,280.9,280.05,278.51,143169,3987370390000.0,,79011,0.5519
2010-05-06,IL&FSTRANS,EQ,280.05,281.0,283.0,276.05,278.9,279.2,279.66,50502,1412321320000.0,,23485,0.465
2010-05-07,IL&FSTRANS,EQ,279.2,270.0,283.0,270.0,280.2,280.3,279.09,102348,2856382640000.0,,58771,0.5742
2010-05-10,IL&FSTRANS,EQ,280.3,281.9,286.9,278.0,280.5,280.35,280.48,88855,2492215585000.0,,58100,0.6539
2010-05-11,IL&FSTRANS,EQ,280.35,281.9,282.45,276.6,277.0,277.9,279.03,71348,1990795664999.9998,,52798,0.74
