Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-05-15,INDNIPPON,EQ,0.0,280.0,280.0,280.0,,280.0,280.0,100,2800000000.0,,,
1997-05-19,INDNIPPON,EQ,280.0,280.0,280.0,280.0,,280.0,280.0,100,2800000000.0,,,
1997-05-20,INDNIPPON,EQ,280.0,280.0,280.05,280.0,,280.0,280.01,400,11200500000.0,,,
1997-05-21,INDNIPPON,EQ,280.0,280.1,295.0,280.1,,295.0,288.37,300,8651000000.0,,,
1997-05-22,INDNIPPON,EQ,295.0,300.0,310.0,300.0,,300.0,300.79,1400,42110000000.0,,,
1997-05-27,INDNIPPON,EQ,300.0,290.0,290.0,286.0,,290.0,288.8,500,14440000000.0,,,
1997-05-28,INDNIPPON,EQ,290.0,285.0,285.0,285.0,,285.0,285.0,100,2850000000.0,,,
1997-05-29,INDNIPPON,EQ,285.0,289.0,290.0,289.0,,289.5,289.5,200,5790000000.0,,,
1997-05-30,INDNIPPON,EQ,289.5,285.0,286.0,285.0,,285.5,285.5,200,5710000000.0,,,
1997-06-02,INDNIPPON,EQ,285.5,300.0,305.0,300.0,,305.0,301.89,900,27170500000.0,,,
1997-06-03,INDNIPPON,EQ,305.0,310.0,315.0,310.0,,315.0,313.33,300,9400000000.0,,,
1997-06-04,INDNIPPON,EQ,315.0,326.0,345.0,326.0,,337.9,337.25,1200,40470000000.0,,,
1997-06-05,INDNIPPON,EQ,337.9,350.0,371.5,347.1,,371.5,361.25,1300,46962000000.0,,,
1997-06-06,INDNIPPON,EQ,371.5,389.0,393.0,385.0,,393.0,391.63,1100,43079000000.0,,,
1997-06-09,INDNIPPON,EQ,393.0,384.0,384.0,380.0,,382.5,382.17,300,11465000000.0,,,
1997-06-10,INDNIPPON,EQ,382.5,375.0,375.95,372.0,,374.0,374.74,800,29979500000.0,,,
1997-06-11,INDNIPPON,EQ,374.0,375.0,380.0,373.0,,374.0,376.45,2800,105405000000.0,,,
1997-06-13,INDNIPPON,EQ,374.0,382.0,382.0,378.0,,378.5,379.29,600,22757500000.0,,,
1997-06-16,INDNIPPON,EQ,378.5,375.0,375.0,375.0,,375.0,375.0,800,30000000000.0,,,
1997-06-17,INDNIPPON,EQ,375.0,368.0,368.0,368.0,,368.0,368.0,100,3680000000.0,,,
1997-06-18,INDNIPPON,EQ,368.0,364.9,365.0,364.9,,365.0,364.95,200,7299000000.0,,,
1997-06-19,INDNIPPON,EQ,365.0,365.0,365.0,365.0,,365.0,365.0,500,18250000000.0,,,
1997-06-23,INDNIPPON,EQ,365.0,347.5,347.5,347.5,,347.5,347.5,300,10425000000.0,,,
1997-06-24,INDNIPPON,EQ,347.5,350.0,350.0,350.0,,350.0,350.0,100,3500000000.0,,,
1997-06-25,INDNIPPON,EQ,350.0,340.0,350.0,340.0,,350.0,346.67,300,10400000000.0,,,
1997-06-26,INDNIPPON,EQ,350.0,359.95,359.95,350.0,,350.0,354.98,200,7099500000.0,,,
1997-06-27,INDNIPPON,EQ,350.0,345.5,358.5,345.5,,358.5,352.0,10000,352000000000.0,,,
1997-06-30,INDNIPPON,EQ,358.5,342.0,369.0,342.0,,347.0,355.13,21100,749320000000.0,,,
1997-07-01,INDNIPPON,EQ,347.0,360.0,365.0,355.0,,362.35,359.44,900,32350000000.0,,,
1997-07-02,INDNIPPON,EQ,362.35,375.0,397.95,375.0,,376.3,378.45,3700,140027000000.0,,,
1997-07-03,INDNIPPON,EQ,376.3,378.0,380.0,372.0,,372.0,377.91,2300,86920000000.0,,,
1997-07-04,INDNIPPON,EQ,372.0,379.0,379.0,372.0,,372.05,373.43,600,22406000000.0,,,
1997-07-07,INDNIPPON,EQ,372.05,375.0,378.0,370.25,,375.0,375.27,1400,52538000000.0,,,
1997-07-08,INDNIPPON,EQ,375.0,380.0,382.5,370.0,,379.6,377.25,4300,162215500000.0,,,
1997-07-09,INDNIPPON,EQ,379.6,396.0,417.5,395.0,,417.5,407.62,1900,77447500000.0,,,
1997-07-10,INDNIPPON,EQ,417.5,426.0,456.0,425.0,,456.0,443.4,3200,141887500000.0,,,
1997-07-11,INDNIPPON,EQ,456.0,425.15,467.0,425.15,,464.3,448.39,3000,134516000000.0,,,
1997-07-14,INDNIPPON,EQ,464.3,461.0,464.0,441.5,,442.6,449.36,1800,80885000000.0,,,
1997-07-15,INDNIPPON,EQ,442.6,445.0,455.0,445.0,,454.0,451.33,300,13540000000.0,,,
1997-07-16,INDNIPPON,EQ,454.0,450.0,450.0,440.0,,440.85,443.21,700,31025000000.0,,,
1997-07-17,INDNIPPON,EQ,440.85,438.0,438.0,434.0,,437.0,437.09,900,39338500000.0,,,
1997-07-21,INDNIPPON,EQ,437.0,425.05,425.05,425.05,,425.05,425.05,100,4250500000.0,,,
1997-07-22,INDNIPPON,EQ,425.05,428.5,428.75,426.25,,426.25,427.83,300,12835000000.0,,,
1997-07-23,INDNIPPON,EQ,426.25,430.05,433.0,430.0,,433.0,431.81,500,21590500000.0,,,
1997-07-24,INDNIPPON,EQ,433.0,435.5,435.5,435.0,,435.0,435.28,900,39175000000.0,,,
1997-07-25,INDNIPPON,EQ,435.0,440.0,440.0,435.0,,435.0,436.67,600,26200000000.0,,,
1997-07-28,INDNIPPON,EQ,435.0,428.0,439.9,428.0,,432.5,434.15,800,34732000000.0,,,
1997-07-29,INDNIPPON,EQ,432.5,430.0,435.0,429.0,,435.0,431.25,600,25875000000.0,,,
1997-07-30,INDNIPPON,EQ,435.0,445.0,458.0,445.0,,454.7,451.85,1700,76814000000.0,,,
1997-07-31,INDNIPPON,EQ,454.7,462.35,462.35,456.0,,460.85,459.24,1500,68885500000.0,,,
1997-08-01,INDNIPPON,EQ,460.85,469.0,470.0,459.0,,459.5,464.25,800,37140000000.0,,,
1997-08-04,INDNIPPON,EQ,459.5,460.0,475.0,460.0,,473.1,470.14,2200,103430000000.0,,,
1997-08-05,INDNIPPON,EQ,473.1,475.0,480.0,473.0,,477.9,477.5,3400,162350000000.0,,,
1997-08-06,INDNIPPON,EQ,477.9,475.0,490.0,475.0,,486.95,484.02,2400,116165000000.0,,,
1997-08-07,INDNIPPON,EQ,486.95,495.0,505.0,486.0,,491.0,491.15,9700,476411000000.0,,,
1997-08-08,INDNIPPON,EQ,491.0,490.0,490.0,480.0,,482.0,485.13,800,38810000000.0,,,
1997-08-11,INDNIPPON,EQ,482.0,490.0,502.5,477.0,,488.0,489.65,12500,612060000000.0,,,
1997-08-12,INDNIPPON,EQ,488.0,473.5,489.5,473.15,,475.55,481.37,11300,543944000000.0,,,
