Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-11-02,INDOTHAI,EQ,74.0,76.0,98.9,18.85,22.4,23.15,58.48,49399207,288900523155000.0,578433,2715301,0.055
2011-11-03,INDOTHAI,EQ,23.15,21.15,23.0,18.55,22.5,20.9,21.22,6966688,14783010640000.0,40669,474791,0.06820000000000001
2011-11-04,INDOTHAI,EQ,20.9,22.65,22.9,21.0,22.15,22.15,22.02,2363545,5203712695000.0,14042,238245,0.1008
2011-11-08,INDOTHAI,EQ,22.15,21.75,22.4,21.0,21.1,21.25,21.35,627411,1339281325000.0,3616,151444,0.2414
2011-11-09,INDOTHAI,EQ,21.25,21.25,21.4,18.9,19.3,19.2,19.93,692360,1379657715000.0,4710,283771,0.40990000000000004
2011-11-11,INDOTHAI,EQ,19.2,19.1,19.2,16.3,16.8,16.7,17.41,624650,1087652935000.0,3875,240262,0.3846
2011-11-14,INDOTHAI,EQ,16.7,17.0,17.0,14.0,14.9,14.75,15.4,477879,735951825000.0,3090,169030,0.35369999999999996
2011-11-15,INDOTHAI,EQ,14.75,14.25,14.45,13.4,13.6,13.6,13.97,306571,428267525000.0,2060,113767,0.3711
2011-11-16,INDOTHAI,EQ,13.6,14.0,14.0,13.1,13.6,13.45,13.48,208456,281076835000.0,1738,78657,0.37729999999999997
2011-11-17,INDOTHAI,EQ,13.45,13.15,13.75,12.25,12.4,12.4,12.91,256837,331510440000.0,1536,137516,0.5354
2011-11-18,INDOTHAI,EQ,12.4,11.55,13.5,11.55,13.5,13.3,12.57,320061,402309860000.0,1826,139341,0.4354
2011-11-21,INDOTHAI,EQ,13.3,12.75,13.3,12.2,12.4,12.3,12.71,86276,109666910000.00002,684,52759,0.6115
2011-11-22,INDOTHAI,EQ,12.3,12.0,12.3,11.95,12.1,12.0,12.06,86799,104720410000.0,522,61048,0.7033
2011-11-23,INDOTHAI,EQ,12.0,12.0,12.0,11.55,11.8,11.7,11.67,88986,103818690000.0,464,50410,0.5665
2011-11-24,INDOTHAI,EQ,11.7,11.5,12.05,10.9,12.05,11.75,11.49,83289,95709400000.0,416,54380,0.6529
2011-11-25,INDOTHAI,EQ,11.75,10.6,12.2,10.6,11.7,11.65,11.77,58762,69166105000.0,393,34956,0.5949
2011-11-28,INDOTHAI,EQ,11.65,11.7,12.4,11.55,12.15,11.9,11.92,53184,63382455000.00001,323,31874,0.5993
2011-11-29,INDOTHAI,EQ,11.9,12.8,12.8,11.75,11.9,11.9,12.02,28023,33675505000.0,249,16627,0.5933
2011-11-30,INDOTHAI,EQ,11.9,11.45,11.85,11.45,11.75,11.6,11.63,35547,41337220000.0,155,27286,0.7676000000000001
2011-12-01,INDOTHAI,EQ,11.6,11.75,11.95,10.6,11.25,11.35,11.25,210012,236186804999.99997,616,148863,0.7088
2011-12-02,INDOTHAI,EQ,11.35,11.6,11.6,11.05,11.15,11.25,11.28,30035,33892840000.000004,250,14921,0.4968
2011-12-05,INDOTHAI,EQ,11.25,10.8,11.45,10.8,11.45,11.4,11.33,45892,52017750000.0,212,24314,0.5297999999999999
2011-12-07,INDOTHAI,EQ,11.4,11.4,11.55,11.0,11.3,11.2,11.38,33929,38609910000.0,232,21600,0.6365999999999999
2011-12-08,INDOTHAI,EQ,11.2,11.05,11.45,11.0,11.0,11.05,11.17,78819,88067920000.0,332,54736,0.6945
2011-12-09,INDOTHAI,EQ,11.05,10.8,11.3,10.75,11.25,11.2,11.08,61437,68096435000.0,272,42581,0.6931
2011-12-12,INDOTHAI,EQ,11.2,11.25,11.25,10.9,11.0,11.0,11.0,95672,105256710000.00002,286,72586,0.7587
2011-12-13,INDOTHAI,EQ,11.0,10.2,11.35,10.2,11.0,11.05,10.94,36712,40180395000.0,171,26579,0.7240000000000001
2011-12-14,INDOTHAI,EQ,11.05,10.5,11.1,10.5,10.75,10.9,10.93,46183,50494095000.0,133,43703,0.9462999999999999
2011-12-15,INDOTHAI,EQ,10.9,10.6,11.2,10.2,11.0,10.75,10.58,68052,72017120000.0,320,28797,0.4232
2011-12-16,INDOTHAI,EQ,10.75,11.3,11.6,10.75,10.85,10.75,10.81,37298,40327490000.0,244,29525,0.7916
2011-12-19,INDOTHAI,EQ,10.75,10.5,11.2,10.5,10.7,10.6,10.61,33915,35984260000.0,192,27791,0.8194
2011-12-20,INDOTHAI,EQ,10.6,10.6,10.85,10.5,10.7,10.6,10.61,41321,43838110000.0,231,31647,0.7659
2011-12-21,INDOTHAI,EQ,10.6,10.65,10.95,10.5,10.9,10.8,10.69,35110,37516510000.0,228,22983,0.6546
2011-12-22,INDOTHAI,EQ,10.8,10.6,11.15,10.6,10.85,10.9,10.87,22550,24507285000.0,119,16312,0.7234
2011-12-23,INDOTHAI,EQ,10.9,10.9,11.0,10.65,11.0,10.85,10.81,13829,14943215000.0,96,9974,0.7212000000000001
2011-12-26,INDOTHAI,EQ,10.85,10.6,11.1,10.6,10.75,10.85,10.88,53141,57794405000.00001,106,28828,0.5425
2011-12-27,INDOTHAI,EQ,10.85,10.65,10.95,10.65,10.75,10.75,10.78,13241,14276765000.0,55,10852,0.8196
2011-12-28,INDOTHAI,EQ,10.75,10.65,10.9,10.55,10.65,10.65,10.76,44462,47845130000.0,121,39171,0.881
2011-12-29,INDOTHAI,EQ,10.65,9.7,10.6,9.7,10.35,10.35,10.49,23100,24239260000.0,144,17468,0.7562000000000001
2011-12-30,INDOTHAI,EQ,10.35,10.35,10.7,10.1,10.5,10.45,10.39,59098,61408560000.0,167,44652,0.7556
2012-01-02,INDOTHAI,EQ,10.45,10.65,10.65,10.3,10.6,10.5,10.38,18466,19159035000.0,90,12973,0.7025
2012-01-03,INDOTHAI,EQ,10.5,10.1,10.75,10.1,10.7,10.55,10.55,14133,14913745000.000002,97,11546,0.8170000000000001
2012-01-04,INDOTHAI,EQ,10.55,10.3,10.65,10.25,10.55,10.4,10.47,6625,6939045000.0,66,4063,0.6133
2012-01-05,INDOTHAI,EQ,10.4,10.3,10.65,10.25,10.6,10.5,10.42,35205,36699670000.0,132,17860,0.5073
2012-01-06,INDOTHAI,EQ,10.5,10.3,10.8,10.25,10.6,10.5,10.48,19451,20385230000.0,124,8561,0.4401
2012-01-07,INDOTHAI,EQ,10.5,11.0,11.15,10.4,10.8,10.85,10.83,26171,28330890000.000004,45,24685,0.9431999999999999
2012-01-09,INDOTHAI,EQ,10.85,11.2,11.5,10.0,10.75,10.75,10.65,16021,17060254999.999998,70,9949,0.621
2012-01-10,INDOTHAI,EQ,10.75,10.95,11.3,10.55,11.0,11.0,11.03,38082,42015705000.0,150,30645,0.8047
2012-01-11,INDOTHAI,EQ,11.0,11.0,11.35,10.8,11.3,11.3,11.14,24195,26951400000.0,117,13600,0.5621
2012-01-12,INDOTHAI,EQ,11.3,11.0,11.5,11.0,11.15,11.4,11.3,10095,11407940000.0,76,8725,0.8643000000000001
2012-01-13,INDOTHAI,EQ,11.4,11.05,11.8,11.0,11.6,11.6,11.57,31794,36797455000.0,133,17235,0.5421
2012-01-16,INDOTHAI,EQ,11.6,9.55,13.0,9.55,12.0,11.85,11.5,8406,9670965000.0,81,5563,0.6618
2012-01-17,INDOTHAI,EQ,11.85,11.5,12.0,11.5,11.7,11.75,11.85,17899,21208870000.0,120,10048,0.5614
2012-01-18,INDOTHAI,EQ,11.75,11.6,12.25,11.6,12.2,12.0,11.95,22813,27265430000.0,126,13082,0.5734
2012-01-19,INDOTHAI,EQ,12.0,12.5,13.0,11.8,13.0,12.9,12.69,52330,66426755000.00001,244,41866,0.8
2012-01-20,INDOTHAI,EQ,12.9,13.5,13.5,12.55,12.8,12.85,12.84,49239,63202765000.0,186,31603,0.6418
2012-01-23,INDOTHAI,EQ,12.85,13.0,15.3,12.8,13.15,12.95,13.13,60706,79683465000.0,274,46496,0.7659
2012-01-24,INDOTHAI,EQ,12.95,12.8,13.5,12.6,12.6,12.7,12.83,24479,31394609999.999996,129,19095,0.7801
