Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-02-23,INOXLEISUR,EQ,120.0,172.0,194.8,167.05,179.9,175.25,181.19,26861677,486708295600000.0,,5856953,0.218
2006-02-24,INOXLEISUR,EQ,175.25,177.0,190.3,177.0,187.0,187.3,184.86,8792512,162541352545000.0,,884421,0.10060000000000001
2006-02-27,INOXLEISUR,EQ,187.3,189.0,189.0,178.55,178.8,179.55,182.22,2595793,47300860095000.0,,622314,0.2397
2006-02-28,INOXLEISUR,EQ,179.55,180.75,180.75,171.55,172.55,172.45,174.45,1148234,20030544580000.0,,342751,0.29850000000000004
2006-03-01,INOXLEISUR,EQ,172.45,172.45,177.5,164.25,169.0,167.35,171.36,1462594,25062920930000.0,,419174,0.2866
2006-03-02,INOXLEISUR,EQ,167.35,170.0,184.3,166.7,175.4,177.0,178.54,2908684,51932264365000.0,,603655,0.20750000000000002
2006-03-03,INOXLEISUR,EQ,177.0,176.7,186.0,172.15,182.1,181.05,182.53,3502569,63931529640000.0,,765236,0.21850000000000003
2006-03-06,INOXLEISUR,EQ,181.05,183.15,197.25,183.0,190.7,191.45,191.4,3986733,76304348030000.0,,754660,0.1893
2006-03-07,INOXLEISUR,EQ,191.45,192.0,196.2,186.5,193.5,192.75,191.96,2036846,39099108020000.0,,521757,0.25620000000000004
2006-03-08,INOXLEISUR,EQ,192.75,193.4,202.8,188.25,190.25,191.6,195.24,3278797,64015249554999.99,,714100,0.21780000000000002
2006-03-09,INOXLEISUR,EQ,191.6,191.0,196.5,188.9,195.6,195.7,193.62,1460663,28281055980000.0,,428633,0.29350000000000004
2006-03-10,INOXLEISUR,EQ,195.7,196.8,210.7,195.6,205.25,207.25,203.3,2619400,53252494625000.0,,620629,0.23690000000000003
2006-03-13,INOXLEISUR,EQ,207.25,208.0,213.45,207.5,211.2,211.6,210.52,1563895,32922512630000.0,,442849,0.2832
2006-03-14,INOXLEISUR,EQ,211.6,212.0,224.2,206.9,219.85,220.85,217.59,3065890,66711204120000.01,,494507,0.1613
2006-03-16,INOXLEISUR,EQ,220.85,222.0,222.4,207.15,207.5,207.9,214.41,931157,19964914000000.0,,319353,0.34299999999999997
2006-03-17,INOXLEISUR,EQ,207.9,207.5,211.95,198.0,200.4,199.95,203.57,605284,12321814515000.0,,211548,0.34950000000000003
2006-03-20,INOXLEISUR,EQ,199.95,200.4,209.7,196.5,206.5,207.1,205.45,748975,15387718475000.0,,189263,0.2527
2006-03-21,INOXLEISUR,EQ,207.1,208.7,208.7,199.6,200.0,200.6,202.74,262951,5330988565000.0,,127262,0.484
2006-03-22,INOXLEISUR,EQ,200.6,200.95,204.0,192.5,197.05,195.95,197.7,310320,6134948770000.0,,139780,0.4504
2006-03-23,INOXLEISUR,EQ,195.95,198.2,204.25,194.4,195.15,195.75,199.04,291182,5795765710000.0,,86684,0.2977
2006-03-24,INOXLEISUR,EQ,195.75,197.0,203.4,196.0,196.35,197.6,199.84,356534,7124858859999.999,,104521,0.2932
2006-03-27,INOXLEISUR,EQ,197.6,199.7,203.6,198.0,200.0,199.25,200.31,338762,6785853425000.0,,160424,0.4736
2006-03-28,INOXLEISUR,EQ,199.25,201.0,206.5,199.0,200.0,199.55,202.64,477045,9667048935000.0,,146313,0.30670000000000003
2006-03-29,INOXLEISUR,EQ,199.55,202.0,210.75,201.5,209.25,208.25,205.82,622202,12806456380000.0,,277256,0.44560000000000005
2006-03-30,INOXLEISUR,EQ,208.25,210.0,216.8,203.1,205.0,205.65,211.03,481446,10159801035000.0,,163057,0.3387
2006-03-31,INOXLEISUR,EQ,205.65,208.0,214.4,205.5,213.0,211.8,210.93,353899,7464764115000.001,,152362,0.4305
2006-04-03,INOXLEISUR,EQ,211.8,213.65,220.75,207.05,212.0,215.5,215.49,730367,15738869155000.002,,242994,0.33270000000000005
2006-04-04,INOXLEISUR,EQ,215.5,216.25,216.25,209.4,210.5,210.45,211.89,222597,4716718590000.0,,107428,0.4826
2006-04-05,INOXLEISUR,EQ,210.45,211.9,220.7,211.1,217.0,217.65,217.26,485684,10551986390000.0,,206403,0.425
2006-04-07,INOXLEISUR,EQ,217.65,218.95,234.5,218.85,222.1,221.3,226.97,936921,21265739710000.0,,311709,0.33270000000000005
2006-04-10,INOXLEISUR,EQ,221.3,222.8,229.5,210.25,213.0,213.3,219.16,300375,6582964110000.0,,144480,0.48100000000000004
2006-04-12,INOXLEISUR,EQ,213.3,215.0,253.0,213.2,220.85,219.6,232.98,1941176,45225071680000.0,,432939,0.223
2006-04-13,INOXLEISUR,EQ,219.6,221.7,240.0,215.0,232.0,229.2,227.78,1356911,30907173914999.996,,246817,0.1819
2006-04-17,INOXLEISUR,EQ,229.2,233.0,243.4,229.5,238.5,237.8,237.55,1248266,29652978314999.996,,260535,0.20870000000000002
2006-04-18,INOXLEISUR,EQ,237.8,240.75,245.0,236.0,239.0,240.7,240.52,765689,18416062340000.0,,293907,0.38380000000000003
2006-04-19,INOXLEISUR,EQ,240.7,240.0,242.0,232.05,232.15,234.45,237.69,368562,8760277640000.001,,125163,0.3396
2006-04-20,INOXLEISUR,EQ,234.45,234.4,235.5,226.1,229.0,229.9,232.54,375467,8731244555000.0,,209617,0.5583
