Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-12-13,IOB,EQ,10.0,10.7,10.75,9.6,10.0,9.9,10.09,180712,182400620000.0,,,
2000-12-14,IOB,EQ,9.9,10.1,10.2,9.9,9.9,9.95,10.0,86167,86157650000.0,,,
2000-12-15,IOB,EQ,9.95,9.75,10.0,9.6,9.7,9.75,9.8,47250,46282605000.0,,,
2000-12-18,IOB,EQ,9.75,8.2,9.5,8.2,9.35,9.3,9.31,28561,26578595000.0,,,
2000-12-19,IOB,EQ,9.3,9.8,9.8,9.0,9.0,9.05,9.23,74931,69130795000.0,,,
2000-12-20,IOB,EQ,9.05,8.65,10.7,8.65,9.35,9.35,9.22,29600,27296355000.0,,,
2000-12-21,IOB,EQ,9.35,9.05,9.4,9.05,9.25,9.2,9.15,18211,16657570000.000002,,,
2000-12-22,IOB,EQ,9.2,9.15,9.3,9.05,9.1,9.15,9.19,15900,14611250000.0,,,
2000-12-26,IOB,EQ,9.15,9.05,9.2,9.0,9.0,9.05,9.08,18270,16593325000.0,,,
2000-12-27,IOB,EQ,9.05,9.35,9.4,9.05,9.2,9.3,9.25,11050,10216150000.0,,,
2000-12-28,IOB,EQ,9.3,9.4,9.4,9.1,9.2,9.2,9.23,7175,6624125000.0,,,
2000-12-29,IOB,EQ,9.2,9.15,9.3,9.1,9.2,9.2,9.22,10400,9587000000.0,,,
2001-01-01,IOB,EQ,9.2,9.2,9.2,9.0,9.1,9.1,9.12,20780,18948900000.0,,,
2001-01-02,IOB,EQ,9.1,9.1,9.2,9.05,9.2,9.2,9.13,9100,8304400000.0,,,
2001-01-03,IOB,EQ,9.2,9.2,9.35,9.2,9.3,9.3,9.24,54675,50535610000.0,,,
2001-01-04,IOB,EQ,9.3,9.3,9.4,9.1,9.2,9.15,9.25,24349,22532070000.0,,,
2001-01-05,IOB,EQ,9.15,9.2,9.25,9.0,9.2,9.2,9.13,15375,14039250000.0,,,
2001-01-08,IOB,EQ,9.2,9.0,9.2,9.0,9.0,9.0,9.08,17500,15894500000.0,,,
2001-01-09,IOB,EQ,9.0,9.0,9.15,8.95,9.0,9.0,9.07,37870,34346970000.0,,,
2001-01-10,IOB,EQ,9.0,9.3,9.3,8.95,9.0,9.0,9.03,17360,15676250000.0,,,
2001-01-11,IOB,EQ,9.0,9.15,9.15,9.0,9.05,9.05,9.06,6310,5719100000.0,,,
2001-01-12,IOB,EQ,9.05,9.15,9.15,8.9,8.95,9.0,8.99,12400,11144000000.0,,,
2001-01-15,IOB,EQ,9.0,8.9,9.0,8.8,8.95,8.95,8.92,11200,9992000000.0,,,
2001-01-16,IOB,EQ,8.95,9.0,9.0,8.8,8.95,8.9,8.93,19397,17320680000.0,,,
2001-01-17,IOB,EQ,8.9,9.1,9.15,9.0,9.1,9.1,9.07,4225,3833250000.0,,,
2001-01-18,IOB,EQ,9.1,9.05,9.15,8.85,8.85,8.9,9.01,13220,11914875000.0,,,
2001-01-19,IOB,EQ,8.9,9.0,9.1,8.9,8.95,8.95,8.98,10810,9703500000.0,,,
2001-01-22,IOB,EQ,8.95,8.9,9.0,8.8,8.85,8.85,8.91,8600,7665500000.0,,,
2001-01-23,IOB,EQ,8.85,8.85,9.0,8.65,8.7,8.65,8.78,26061,22888375000.0,,,
2001-01-24,IOB,EQ,8.65,8.9,9.1,8.65,8.9,8.85,8.92,33660,30032000000.0,,,
2001-01-25,IOB,EQ,8.85,9.05,9.05,8.85,8.9,8.85,8.92,20428,18227930000.0,,,
2001-01-29,IOB,EQ,8.85,8.8,8.9,8.75,8.8,8.75,8.8,11170,9833150000.0,,,
2001-01-30,IOB,EQ,8.75,8.85,8.85,8.65,8.65,8.65,8.72,14071,12272610000.0,,,
2001-01-31,IOB,EQ,8.65,8.9,9.0,8.8,8.85,8.85,8.9,19651,17479900000.0,,,
2001-02-01,IOB,EQ,8.85,8.95,9.1,8.7,8.7,8.75,8.91,32442,28892345000.0,,,
2001-02-02,IOB,EQ,8.75,8.65,8.85,8.6,8.8,8.75,8.78,14450,12682000000.0,,,
2001-02-05,IOB,EQ,8.75,8.7,8.85,8.65,8.8,8.75,8.75,10701,9365865000.0,,,
2001-02-06,IOB,EQ,8.75,8.75,8.85,8.65,8.75,8.7,8.75,12068,10562765000.0,,,
2001-02-07,IOB,EQ,8.7,9.0,9.15,8.85,8.95,8.95,8.95,27425,24552875000.0,,,
2001-02-08,IOB,EQ,8.95,8.9,9.0,8.25,8.55,8.5,8.55,147600,126259050000.0,,,
2001-02-09,IOB,EQ,8.5,8.35,9.4,8.35,9.1,9.15,9.01,140633,126743230000.0,,,
