Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-11-20,JAINSTUDIO,EQ,0.0,92.5,92.5,92.5,,92.5,92.5,100,925000000.0,,,
1997-11-21,JAINSTUDIO,EQ,92.5,93.95,93.95,93.95,,93.95,93.95,100,939500000.0,,,
1997-11-27,JAINSTUDIO,EQ,93.95,92.5,92.5,90.0,,90.0,91.25,200,1825000000.0,,,
1997-11-28,JAINSTUDIO,EQ,90.0,88.0,88.0,88.0,,88.0,88.0,100,880000000.0,,,
1997-12-02,JAINSTUDIO,EQ,88.0,86.5,86.5,86.5,,86.5,86.5,100,865000000.0,,,
1998-01-15,JAINSTUDIO,EQ,86.5,86.25,86.3,86.15,,86.25,86.22,20000,172440000000.0,,,
1998-01-16,JAINSTUDIO,EQ,86.25,85.9,85.95,85.8,,85.85,85.88,20000,171755000000.0,,,
1998-01-20,JAINSTUDIO,EQ,85.85,86.2,86.3,86.1,,86.1,86.19,20000,172370000000.0,,,
1998-01-21,JAINSTUDIO,EQ,86.1,86.35,86.35,86.25,,86.25,86.29,21200,182943000000.0,,,
1998-01-22,JAINSTUDIO,EQ,86.25,86.25,86.25,86.2,,86.25,86.22,21000,181055000000.0,,,
1998-01-23,JAINSTUDIO,EQ,86.25,86.3,86.3,86.2,,86.2,86.24,21800,187998000000.0,,,
1998-01-27,JAINSTUDIO,EQ,86.2,86.3,86.3,86.2,,86.2,86.24,20600,177657500000.0,,,
1998-01-28,JAINSTUDIO,EQ,86.2,86.2,86.2,86.2,,86.2,86.2,3500,30170000000.0,,,
1998-02-03,JAINSTUDIO,EQ,86.2,86.1,86.1,86.1,,86.1,86.1,3500,30135000000.0,,,
1998-02-19,JAINSTUDIO,EQ,86.1,78.1,78.1,78.1,,78.1,78.1,100,781000000.0,,,
1998-02-20,JAINSTUDIO,EQ,78.1,85.0,85.0,70.5,,70.5,77.75,200,1555000000.0,,,
1998-02-23,JAINSTUDIO,EQ,70.5,72.9,72.9,72.9,,72.9,72.9,100,729000000.0,,,
1998-02-25,JAINSTUDIO,EQ,72.9,69.0,69.0,69.0,,69.0,69.0,100,690000000.0,,,
1998-02-26,JAINSTUDIO,EQ,69.0,62.15,62.15,62.15,,62.15,62.15,100,621500000.0,,,
1998-02-27,JAINSTUDIO,EQ,62.15,65.55,65.9,62.05,,62.05,64.41,25300,162959500000.0,,,
1998-03-03,JAINSTUDIO,EQ,62.05,56.05,63.95,56.05,,63.95,60.0,12000,72000000000.0,,,
1998-03-04,JAINSTUDIO,EQ,63.95,70.0,70.0,64.0,,64.0,65.51,400,2620500000.0,,,
1998-03-17,JAINSTUDIO,EQ,64.0,58.1,68.9,58.1,,68.9,63.49,9400,59676000000.0,,,
