Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,JBCHEPHARM,EQ,170.0,163.0,168.0,163.0,,168.0,163.83,600,9830000000.0,,,
1996-01-09,JBCHEPHARM,EQ,168.0,160.0,160.0,160.0,,160.0,160.0,100,1600000000.0,,,
1996-01-11,JBCHEPHARM,EQ,160.0,146.0,146.0,146.0,,146.0,146.0,100,1460000000.0,,,
1996-01-15,JBCHEPHARM,EQ,146.0,145.05,159.95,145.0,,150.0,148.75,400,5950000000.0,,,
1996-01-24,JBCHEPHARM,EQ,150.0,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
1996-02-05,JBCHEPHARM,EQ,155.0,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
1996-02-19,JBCHEPHARM,EQ,155.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-02-20,JBCHEPHARM,EQ,140.0,146.0,147.0,146.0,,147.0,146.25,400,5850000000.0,,,
1996-03-07,JBCHEPHARM,EQ,147.0,149.95,149.95,149.95,,149.95,149.95,100,1499500000.0,,,
1996-03-08,JBCHEPHARM,EQ,149.95,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-03-22,JBCHEPHARM,EQ,150.0,142.0,142.0,142.0,,142.0,142.0,100,1420000000.0,,,
1996-04-04,JBCHEPHARM,EQ,142.0,135.0,135.0,130.0,,130.0,133.75,400,5350000000.0,,,
1996-04-08,JBCHEPHARM,EQ,130.0,134.75,134.75,134.75,,134.75,134.75,100,1347500000.0,,,
1996-04-09,JBCHEPHARM,EQ,134.75,134.75,134.75,134.75,,134.75,134.75,100,1347500000.0,,,
1996-04-12,JBCHEPHARM,EQ,134.75,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-04-15,JBCHEPHARM,EQ,125.0,135.0,135.0,135.0,,135.0,135.0,200,2700000000.0,,,
1996-04-16,JBCHEPHARM,EQ,135.0,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-04-17,JBCHEPHARM,EQ,125.0,128.0,128.0,128.0,,128.0,128.0,100,1280000000.0,,,
1996-04-18,JBCHEPHARM,EQ,128.0,128.0,135.0,128.0,,135.0,131.5,200,2630000000.0,,,
1996-04-19,JBCHEPHARM,EQ,135.0,140.0,140.0,135.1,,135.1,137.55,200,2751000000.0,,,
1996-04-22,JBCHEPHARM,EQ,135.1,123.1,124.1,123.1,,124.1,123.6,200,2472000000.0,,,
1996-04-23,JBCHEPHARM,EQ,124.1,130.0,132.0,130.0,,132.0,131.0,200,2620000000.0,,,
1996-04-24,JBCHEPHARM,EQ,132.0,137.9,137.9,137.9,,137.9,137.9,100,1379000000.0,,,
1996-04-25,JBCHEPHARM,EQ,137.9,135.0,135.0,135.0,,135.0,135.0,100,1350000000.0,,,
1996-04-26,JBCHEPHARM,EQ,135.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-04-30,JBCHEPHARM,EQ,140.0,135.0,135.0,132.0,,132.0,133.25,400,5330000000.0,,,
1996-05-01,JBCHEPHARM,EQ,132.0,133.0,133.0,132.0,,132.0,132.5,200,2650000000.0,,,
1996-05-02,JBCHEPHARM,EQ,132.0,130.0,130.0,125.0,,125.0,127.5,200,2550000000.0,,,
1996-05-03,JBCHEPHARM,EQ,125.0,125.0,126.0,126.0,,126.0,126.0,200,2520000000.0,,,
1996-05-06,JBCHEPHARM,EQ,126.0,122.0,122.0,122.0,,122.0,122.0,100,1220000000.0,,,
1996-05-07,JBCHEPHARM,EQ,122.0,123.0,123.0,123.0,,123.0,123.0,100,1230000000.0,,,
1996-05-08,JBCHEPHARM,EQ,123.0,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-05-16,JBCHEPHARM,EQ,125.0,132.0,132.0,132.0,,132.0,132.0,100,1320000000.0,,,
1996-05-21,JBCHEPHARM,EQ,132.0,120.0,120.0,120.0,,120.0,120.0,100,1200000000.0,,,
1996-05-22,JBCHEPHARM,EQ,120.0,124.0,124.0,118.0,,118.7,120.0,400,4800000000.0,,,
1996-05-24,JBCHEPHARM,EQ,118.7,118.0,118.0,118.0,,118.0,118.0,100,1180000000.0,,,
1996-05-27,JBCHEPHARM,EQ,118.0,118.0,115.0,105.8,,105.8,111.3,1200,13356500000.0,,,
1996-05-28,JBCHEPHARM,EQ,105.8,105.25,110.0,104.0,,110.0,106.05,500,5302500000.0,,,
1996-05-29,JBCHEPHARM,EQ,110.0,106.0,107.0,106.0,,107.0,106.5,200,2130000000.0,,,
1996-05-30,JBCHEPHARM,EQ,107.0,109.0,109.0,107.0,,107.1,107.73,300,3232000000.0,,,
1996-05-31,JBCHEPHARM,EQ,107.1,107.1,102.0,100.0,,100.0,100.99,400,4039500000.0,,,
1996-06-04,JBCHEPHARM,EQ,100.0,108.0,110.0,108.0,,110.0,109.25,400,4370000000.0,,,
1996-06-05,JBCHEPHARM,EQ,110.0,110.0,110.0,110.0,,110.0,110.0,100,1100000000.0,,,
1996-06-06,JBCHEPHARM,EQ,110.0,115.0,115.0,115.0,,115.0,115.0,200,2300000000.0,,,
1996-06-10,JBCHEPHARM,EQ,115.0,118.5,120.0,118.5,,119.5,119.17,300,3575000000.0,,,
1996-06-11,JBCHEPHARM,EQ,119.5,126.0,126.0,115.05,,116.8,119.95,700,8396500000.0,,,
1996-06-12,JBCHEPHARM,EQ,116.8,119.0,120.0,119.0,,120.0,119.75,400,4790000000.0,,,
1996-06-13,JBCHEPHARM,EQ,120.0,122.5,122.5,122.5,,122.5,122.5,100,1225000000.0,,,
1996-06-14,JBCHEPHARM,EQ,122.5,125.0,127.0,122.0,,127.0,125.01,800,10000500000.0,,,
1996-06-17,JBCHEPHARM,EQ,127.0,130.0,135.05,130.0,,135.0,132.88,1500,19931500000.0,,,
1996-06-18,JBCHEPHARM,EQ,135.0,135.0,135.0,135.0,,135.0,135.0,100,1350000000.0,,,
1996-06-19,JBCHEPHARM,EQ,135.0,140.0,142.0,136.0,,138.85,139.54,2300,32094500000.0,,,
1996-06-20,JBCHEPHARM,EQ,138.85,132.0,132.0,132.0,,132.0,132.0,100,1320000000.0,,,
1996-06-27,JBCHEPHARM,EQ,132.0,121.0,122.0,121.0,,121.95,121.65,300,3649500000.0,,,
1996-06-28,JBCHEPHARM,EQ,121.95,121.25,121.25,121.0,,121.0,121.06,400,4842500000.0,,,
1996-07-01,JBCHEPHARM,EQ,121.0,120.0,122.0,120.0,,122.0,120.8,500,6040000000.0,,,
1996-07-02,JBCHEPHARM,EQ,122.0,122.0,123.0,122.0,,122.25,122.3,500,6115000000.0,,,
1996-07-03,JBCHEPHARM,EQ,122.25,120.0,121.9,120.0,,121.9,120.95,200,2419000000.0,,,
