Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-11-26,JIKIND,EQ,2.95,6.45,10.25,6.45,10.25,10.25,8.48,8446,7164005000.0,,8181,0.9686
2008-11-28,JIKIND,EQ,10.25,12.3,12.3,10.0,12.3,12.3,12.24,41573,50890575000.0,,13850,0.3331
2008-12-01,JIKIND,EQ,12.3,14.6,14.6,12.6,13.4,13.15,13.62,39022,53166210000.0,,19302,0.49460000000000004
2008-12-02,JIKIND,EQ,13.15,10.75,12.75,10.55,10.55,10.6,11.44,21492,24588655000.0,,10163,0.4729
2008-12-03,JIKIND,EQ,10.6,10.5,10.9,10.1,10.15,10.2,10.54,29742,31353665000.000004,,16962,0.5703
2008-12-04,JIKIND,EQ,10.2,10.0,10.6,9.6,10.3,10.3,10.18,19746,20102550000.0,,10847,0.5493
2008-12-05,JIKIND,EQ,10.3,9.65,10.45,9.65,10.2,10.15,10.12,3779,3824060000.0,,2379,0.6295000000000001
2008-12-08,JIKIND,EQ,10.15,10.0,11.4,9.75,10.2,10.2,10.56,9435,9960135000.0,,5221,0.5534
2008-12-10,JIKIND,EQ,10.2,10.0,12.25,9.8,10.05,9.95,10.38,17060,17706590000.0,,3764,0.2206
2008-12-11,JIKIND,EQ,9.95,9.8,10.2,9.5,10.2,10.15,9.86,3996,3939275000.0,,2649,0.6629
2008-12-12,JIKIND,EQ,10.15,10.0,12.2,10.0,11.95,11.85,11.54,9387,10832955000.0,,8554,0.9113
2008-12-15,JIKIND,EQ,11.85,12.25,13.8,11.7,12.4,12.3,12.55,8711,10932765000.0,,6320,0.7255
2008-12-16,JIKIND,EQ,12.3,11.55,12.7,11.55,12.25,12.25,12.34,6048,7463305000.0,,4328,0.7156
2008-12-17,JIKIND,EQ,12.25,12.0,12.5,11.75,12.1,12.1,12.14,4864,5904800000.0,,3805,0.7823000000000001
2008-12-18,JIKIND,EQ,12.1,12.0,12.9,11.75,12.55,12.6,12.6,1985,2501075000.0,,1285,0.6474
2008-12-19,JIKIND,EQ,12.6,12.3,13.2,12.2,12.2,12.2,12.57,1622,2039290000.0000002,,1142,0.7041
2008-12-22,JIKIND,EQ,12.2,14.15,14.2,12.15,12.15,12.35,12.82,1684,2159470000.0,,1167,0.693
2008-12-23,JIKIND,EQ,12.35,12.0,12.25,11.4,11.4,11.4,12.01,671,805640000.0,,451,0.6720999999999999
2008-12-24,JIKIND,EQ,11.4,11.45,11.45,11.45,11.45,11.45,11.45,4,4580000.0,,4,1.0
2008-12-26,JIKIND,EQ,11.45,11.3,12.7,10.5,10.55,10.55,11.27,869,979620000.0000001,,779,0.8964
2008-12-29,JIKIND,EQ,10.55,10.0,11.0,10.0,11.0,10.9,10.46,528,552550000.0,,303,0.5739
2008-12-30,JIKIND,EQ,10.9,11.0,12.4,11.0,11.35,11.35,11.59,332,384705000.0,,246,0.741
2008-12-31,JIKIND,EQ,11.35,11.0,12.0,11.0,12.0,12.0,11.8,1750,2064465000.0000002,,1743,0.996
2009-01-01,JIKIND,EQ,12.0,11.0,12.7,11.0,11.4,11.4,12.33,137,168940000.0,,131,0.9562
2009-01-02,JIKIND,EQ,11.4,12.7,13.7,12.0,12.05,12.05,12.69,2827,3586140000.0,,1918,0.6785
2009-01-05,JIKIND,EQ,12.05,11.4,12.55,11.4,11.9,12.0,11.98,1376,1648984999.9999998,,1105,0.8031
2009-01-06,JIKIND,EQ,12.0,12.45,12.45,11.2,11.25,11.25,11.4,82,93520000.0,,70,0.8537
2009-01-07,JIKIND,EQ,11.25,10.75,10.75,9.25,10.0,10.0,10.42,951,991354999.9999999,,855,0.8991
2009-01-09,JIKIND,EQ,10.0,9.15,9.3,9.15,9.25,9.25,9.23,1061,979804999.9999999,,1061,1.0
2009-01-12,JIKIND,EQ,9.25,9.1,10.65,9.05,10.65,10.2,10.15,3996,4055600000.0,,2852,0.7137000000000001
2009-01-13,JIKIND,EQ,10.2,10.5,11.15,10.25,10.4,11.0,10.61,1168,1239275000.0,,902,0.7723000000000001
2009-01-14,JIKIND,EQ,11.0,10.25,11.55,10.25,11.35,11.35,10.84,61,66129999.99999999,,47,0.7705
2009-01-15,JIKIND,EQ,11.35,11.2,11.75,10.0,10.0,10.9,10.92,1415,1545050000.0,,1055,0.7456
2009-01-16,JIKIND,EQ,10.9,10.4,10.75,10.4,10.45,10.7,10.62,1757,1866330000.0,,1257,0.7154
2009-01-19,JIKIND,EQ,10.7,10.0,10.9,10.0,10.85,10.85,10.77,676,727965000.0,,610,0.9024
2009-01-20,JIKIND,EQ,10.85,10.05,11.9,10.05,10.35,10.45,10.89,705,767700000.0,,325,0.461
2009-01-21,JIKIND,EQ,10.45,10.0,10.9,10.0,10.5,10.5,10.45,825,862375000.0,,800,0.9697
2009-01-22,JIKIND,EQ,10.5,10.0,10.95,10.0,10.7,10.7,10.53,1007,1060485000.0,,947,0.9404000000000001
2009-01-23,JIKIND,EQ,10.7,10.1,10.15,9.45,10.15,9.85,10.03,2135,2141665000.0000002,,2129,0.9972
2009-01-27,JIKIND,EQ,9.85,9.0,10.0,9.0,10.0,10.0,9.98,205,204500000.0,,205,1.0
2009-01-28,JIKIND,EQ,10.0,10.0,10.65,10.0,10.65,10.65,10.4,367,381555000.0,,255,0.6948000000000001
2009-01-29,JIKIND,EQ,10.65,9.55,11.9,9.05,10.65,10.15,10.25,3246,3326294999.9999995,,1134,0.3494
2009-01-30,JIKIND,EQ,10.15,11.45,12.2,9.15,10.9,10.45,11.12,4517,5021440000.0,,1530,0.3387
2009-02-02,JIKIND,EQ,10.45,10.0,10.5,10.0,10.0,10.1,10.38,2375,2465005000.0,,2201,0.9267000000000001
2009-02-03,JIKIND,EQ,10.1,10.5,10.75,9.65,10.75,10.75,10.28,1332,1369025000.0,,1310,0.9834999999999999
2009-02-04,JIKIND,EQ,10.75,10.5,10.5,9.8,9.8,9.8,10.17,1762,1792115000.0000002,,1706,0.9682
2009-02-05,JIKIND,EQ,9.8,9.35,10.35,9.35,9.75,9.75,9.85,247,243365000.0,,242,0.9798000000000001
2009-02-06,JIKIND,EQ,9.75,10.1,10.15,9.3,9.9,9.9,9.95,1505,1497120000.0,,1319,0.8764000000000001
2009-02-09,JIKIND,EQ,9.9,9.0,10.6,9.0,10.45,9.7,9.91,628,622480000.0,,342,0.5446
2009-02-10,JIKIND,EQ,9.7,9.05,9.75,9.05,9.65,9.65,9.66,607,586350000.0,,573,0.9440000000000001
2009-02-11,JIKIND,EQ,9.65,9.0,10.4,9.0,10.4,10.4,10.18,352,358460000.0,,327,0.929
2009-02-12,JIKIND,EQ,10.4,9.25,10.4,9.25,9.7,10.2,9.72,1492,1449815000.0,,612,0.41020000000000006
2009-02-13,JIKIND,EQ,10.2,9.75,10.5,9.75,10.5,10.5,10.35,410,424260000.00000006,,360,0.878
2009-02-16,JIKIND,EQ,10.5,9.6,10.85,9.6,10.85,10.85,9.61,101,97085000.0,,100,0.9901000000000001
2009-02-17,JIKIND,EQ,10.85,9.6,10.1,9.6,9.8,9.8,9.87,1950,1924105000.0,,521,0.2672
2009-02-18,JIKIND,EQ,9.8,9.0,10.25,9.0,10.05,10.05,9.78,52,50840000.0,,24,0.4615
2009-02-19,JIKIND,EQ,10.05,9.55,9.55,9.55,9.55,9.55,9.55,10,9550000.0,,10,1.0
2009-02-20,JIKIND,EQ,9.55,9.0,10.95,7.65,9.4,9.4,9.37,374,350310000.0,,163,0.43579999999999997
