Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-04-06,JUBLINGREA,EQ,286.25,306.25,343.5,301.0,343.5,343.5,330.3,3641770,120288874559999.98,46522,1442764,0.3962
2021-04-07,JUBLINGREA,EQ,343.5,343.0,349.9,319.6,331.5,330.6,334.9,1610389,53931318085000.0,30890,783492,0.4865
2021-04-08,JUBLINGREA,EQ,330.6,335.0,341.1,321.5,324.9,323.35,331.07,521383,17261573890000.0,13246,325599,0.6245
2021-04-09,JUBLINGREA,EQ,323.35,322.1,339.9,313.1,334.0,333.85,329.8,704343,23229535490000.0,11020,390676,0.5547
2021-04-12,JUBLINGREA,EQ,333.85,323.0,327.2,302.55,309.0,309.0,313.47,603548,18919478350000.0,13455,379115,0.6281
2021-04-13,JUBLINGREA,EQ,309.0,311.0,324.0,306.8,316.75,317.8,315.55,319966,10096605775000.0,8039,202282,0.6322
2021-04-15,JUBLINGREA,EQ,317.8,322.0,322.0,305.25,312.3,311.1,312.13,288127,8993350580000.0,12579,189339,0.6570999999999999
2021-04-16,JUBLINGREA,EQ,311.1,304.9,315.65,297.0,302.85,301.05,306.26,577405,17683330365000.0,13861,425865,0.7375
2021-04-19,JUBLINGREA,EQ,301.05,302.0,329.0,295.5,313.2,313.9,313.49,1202262,37689802315000.0,25392,665867,0.5538000000000001
2021-04-20,JUBLINGREA,EQ,313.9,317.5,325.75,311.0,315.5,316.6,320.16,569326,18227820045000.0,16951,330469,0.5805
2021-04-22,JUBLINGREA,EQ,316.6,318.0,344.7,313.45,335.0,335.85,333.03,1102639,36721216295000.0,23119,649469,0.589
2021-04-23,JUBLINGREA,EQ,335.85,338.2,340.95,323.2,332.1,330.3,333.7,400051,13349668690000.0,7701,249560,0.6238
2021-04-26,JUBLINGREA,EQ,330.3,343.5,343.5,325.0,329.0,328.2,331.01,523268,17320633265000.0,10519,381186,0.7284999999999999
2021-04-27,JUBLINGREA,EQ,328.2,328.8,337.0,322.0,325.65,326.1,327.93,609651,19992553080000.0,9663,434231,0.7123
2021-04-28,JUBLINGREA,EQ,326.1,320.25,339.5,320.25,331.5,331.65,331.74,2084800,69161413040000.0,17613,1385447,0.6645000000000001
2021-04-29,JUBLINGREA,EQ,331.65,338.0,384.4,328.0,376.0,376.4,356.16,3772871,134374647870000.0,40866,1512957,0.401
2021-04-30,JUBLINGREA,EQ,376.4,371.0,432.0,370.0,415.0,410.15,409.29,4805983,196704093495000.0,102136,1399613,0.2912
2021-05-03,JUBLINGREA,EQ,410.15,415.0,449.7,411.3,434.5,433.6,435.47,2332322,101565127640000.0,70232,811844,0.3481
2021-05-04,JUBLINGREA,EQ,433.6,444.0,456.75,392.65,415.45,408.55,425.54,1768388,75251265105000.0,45176,841325,0.4758
2021-05-05,JUBLINGREA,EQ,408.55,415.0,428.0,397.4,418.0,418.35,417.63,1047432,43743425650000.0,12628,775033,0.7399
2021-05-06,JUBLINGREA,EQ,418.35,420.95,429.9,412.1,417.85,418.35,418.57,593610,24846903150000.0,9494,392588,0.6614
2021-05-07,JUBLINGREA,EQ,418.35,425.0,425.0,415.0,417.0,416.7,420.21,441798,18564760890000.0,8892,309372,0.7003
2021-05-10,JUBLINGREA,EQ,416.7,424.0,432.7,405.6,423.0,421.15,421.48,941975,39702057625000.0,15408,651549,0.6917
2021-05-11,JUBLINGREA,EQ,421.15,415.55,459.5,413.55,439.25,439.15,441.32,864569,38154803420000.0,20138,461975,0.5343
2021-05-12,JUBLINGREA,EQ,439.15,440.0,463.7,429.05,445.0,441.55,446.87,1016524,45425838170000.0,20298,454932,0.4475
2021-05-14,JUBLINGREA,EQ,441.55,445.0,448.6,414.45,424.0,424.4,430.05,647034,27825866845000.0,17856,360615,0.5573
2021-05-17,JUBLINGREA,EQ,424.4,426.0,430.0,416.0,426.65,423.6,421.56,430937,18166496660000.0,10122,242283,0.5622
2021-05-18,JUBLINGREA,EQ,423.6,433.0,433.0,418.0,421.8,422.4,423.3,319258,13514165965000.0,10841,167755,0.5255
2021-05-19,JUBLINGREA,EQ,422.4,425.75,433.55,417.05,418.0,419.35,423.69,611215,25896707705000.0,12167,352367,0.5765
2021-05-20,JUBLINGREA,EQ,419.35,423.0,423.0,410.0,413.4,412.5,415.6,509590,21178805985000.0,10152,275969,0.5416
2021-05-21,JUBLINGREA,EQ,412.5,416.65,449.0,414.0,435.0,436.95,435.06,1070676,46580920685000.0,27502,561341,0.5243
2021-05-24,JUBLINGREA,EQ,436.95,440.0,493.7,436.75,491.9,484.25,469.06,1985360,93125381335000.0,40433,697416,0.35130000000000006
2021-05-25,JUBLINGREA,EQ,484.25,493.5,499.3,464.0,471.0,471.65,479.23,1354919,64931681790000.0,31180,668575,0.49340000000000006
2021-05-26,JUBLINGREA,EQ,471.65,472.0,503.7,462.2,488.0,484.6,486.89,1086601,52905873780000.0,27063,467005,0.42979999999999996
2021-05-27,JUBLINGREA,EQ,484.6,486.9,492.1,475.0,477.7,477.05,482.42,398914,19244458865000.0,11616,212345,0.5323
2021-05-28,JUBLINGREA,EQ,477.05,482.0,495.0,478.2,481.0,483.9,487.76,576746,28131548420000.0,13352,265975,0.4612
2021-05-31,JUBLINGREA,EQ,483.9,485.0,493.85,480.0,485.4,485.3,487.06,344233,16766345485000.0,9604,165169,0.4798
2021-06-01,JUBLINGREA,EQ,485.3,488.7,490.95,464.45,474.0,470.9,475.8,388392,18479509745000.0,9235,214805,0.5531
2021-06-02,JUBLINGREA,EQ,470.9,468.0,515.0,461.0,505.0,502.0,495.23,1436166,71123220170000.0,35477,563582,0.3924
2021-06-03,JUBLINGREA,EQ,502.0,508.0,529.9,499.95,525.0,521.85,516.76,1246978,64439374740000.0,29580,573573,0.46
2021-06-04,JUBLINGREA,EQ,521.85,528.8,600.0,527.95,571.0,571.85,562.91,3630077,204339600645000.0,74327,1275254,0.35130000000000006
2021-06-07,JUBLINGREA,EQ,571.85,579.8,596.9,556.25,579.95,589.45,579.54,2358385,136678489825000.0,46074,960760,0.40740000000000004
2021-06-08,JUBLINGREA,EQ,589.45,600.0,611.6,561.65,572.0,573.6,584.24,1828933,106854269135000.0,42421,850487,0.465
2021-06-09,JUBLINGREA,EQ,573.6,578.4,582.0,536.3,554.0,553.75,560.15,797784,44688237170000.0,23528,418055,0.524
2021-06-10,JUBLINGREA,EQ,553.75,558.5,591.9,558.5,584.9,581.1,580.89,1150997,66860571660000.0,26329,672727,0.5845
