Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-09-29,KILITCH,EQ,132.15,134.45,134.45,125.7,127.5,126.75,129.49,15325,198446880000.0,,4549,0.2968
2010-09-30,KILITCH,EQ,126.75,127.95,132.85,125.0,127.5,127.7,128.54,6777,87109020000.0,,3110,0.45890000000000003
2010-10-01,KILITCH,EQ,127.7,129.0,131.0,127.7,128.0,129.15,129.4,3923,50763940000.0,,2614,0.6663
2010-10-04,KILITCH,EQ,129.15,136.6,136.6,124.0,125.5,125.3,128.1,27392,350877835000.0,,23875,0.8715999999999999
2010-10-05,KILITCH,EQ,125.3,127.45,127.5,122.1,122.45,122.85,124.83,4799,59904680000.00001,,3741,0.7795000000000001
2010-10-06,KILITCH,EQ,122.85,128.0,128.0,122.75,123.6,123.6,123.66,4738,58591069999.99999,,2518,0.5314
2010-10-07,KILITCH,EQ,123.6,126.0,129.0,124.0,124.5,124.5,126.58,17404,220291275000.0,,12157,0.6985
2010-10-08,KILITCH,EQ,124.5,122.5,123.4,116.65,118.9,118.45,120.36,40760,490604775000.0,,25420,0.6237
2010-10-11,KILITCH,EQ,118.45,124.65,124.65,114.4,116.75,118.1,117.12,9265,108515785000.00002,,5859,0.6324000000000001
2010-10-12,KILITCH,EQ,118.1,114.6,117.4,112.05,114.55,115.9,114.57,9420,107926630000.0,,3774,0.4006
2010-10-13,KILITCH,EQ,115.9,115.0,123.5,113.85,120.5,121.2,118.04,15469,182594580000.0,,8357,0.5402
2010-10-14,KILITCH,EQ,121.2,120.85,123.0,116.4,116.5,117.75,120.15,10996,132117764999.99998,,7685,0.6989
2010-10-15,KILITCH,EQ,117.75,120.0,120.0,114.0,114.0,115.2,116.31,3772,43872850000.0,,2809,0.7447
2010-10-18,KILITCH,EQ,115.2,113.0,115.85,111.25,111.3,111.8,112.57,5728,64478935000.0,,3062,0.5346000000000001
2010-10-19,KILITCH,EQ,111.8,113.0,118.0,110.95,111.65,112.8,113.33,15229,172590545000.0,,12432,0.8163
2010-10-20,KILITCH,EQ,112.8,115.95,115.95,109.1,110.0,109.7,110.74,8816,97627710000.0,,6392,0.725
2010-10-21,KILITCH,EQ,109.7,110.2,112.75,109.0,109.0,109.2,110.15,7264,80011120000.0,,4553,0.6268
2010-10-22,KILITCH,EQ,109.2,110.5,110.5,107.55,108.0,107.9,108.8,8336,90692520000.0,,5773,0.6925
2010-10-25,KILITCH,EQ,107.9,108.1,111.0,107.1,108.0,108.35,109.09,6007,65528555000.00001,,4030,0.6709
2010-10-26,KILITCH,EQ,108.35,108.5,108.5,105.2,105.3,105.9,106.5,4848,51632200000.0,,2575,0.5311
2010-10-27,KILITCH,EQ,105.9,106.95,113.0,106.35,112.65,112.15,110.89,13816,153203075000.0,,7719,0.5587
2010-10-28,KILITCH,EQ,112.15,112.1,114.0,110.55,110.55,111.4,112.91,3541,39980085000.0,,3055,0.8628
2010-10-29,KILITCH,EQ,111.4,110.0,112.0,109.05,112.0,109.85,110.72,4581,50720075000.0,,3890,0.8492000000000001
2010-11-01,KILITCH,EQ,109.85,110.0,111.9,107.0,110.0,110.0,109.94,2810,30894355000.0,,2185,0.7776000000000001
2010-11-02,KILITCH,EQ,110.0,111.9,111.9,106.0,106.0,106.5,107.94,2655,28659370000.0,,1858,0.6998000000000001
2010-11-03,KILITCH,EQ,106.5,108.0,108.0,106.0,107.1,107.1,106.63,1952,20814740000.0,,1226,0.6281
2010-11-04,KILITCH,EQ,107.1,108.0,108.0,105.1,105.1,105.15,106.33,2561,27231100000.0,,2286,0.8926000000000001
2010-11-05,KILITCH,EQ,105.15,108.8,113.7,106.0,106.05,106.55,108.51,512,5555685000.0,,490,0.9570000000000001
2010-11-08,KILITCH,EQ,106.55,105.35,108.35,102.15,106.55,106.55,106.42,1101,11717160000.0,,927,0.8420000000000001
2010-11-09,KILITCH,EQ,106.55,105.35,108.5,105.35,107.9,106.7,107.48,2575,27675745000.0,,2245,0.8718000000000001
2010-11-10,KILITCH,EQ,106.7,106.7,109.9,105.65,106.0,106.6,107.89,5532,59683319999.99999,,3151,0.5696
2010-11-11,KILITCH,EQ,106.6,107.0,109.0,106.75,108.0,107.45,107.86,7433,80174095000.0,,6438,0.8661
2010-11-12,KILITCH,EQ,107.45,106.3,109.0,101.1,101.1,102.6,104.78,6714,70346245000.0,,4755,0.7081999999999999
2010-11-15,KILITCH,EQ,102.6,103.8,106.75,101.5,103.95,103.95,103.06,2991,30823865000.000004,,2078,0.6948000000000001
2010-11-16,KILITCH,EQ,103.95,102.55,102.55,98.25,100.2,100.1,100.68,1984,19974590000.0,,1472,0.7419
2010-11-18,KILITCH,EQ,100.1,98.05,102.55,96.0,99.5,98.55,98.15,1932,18963495000.0,,1415,0.7323999999999999
2010-11-19,KILITCH,EQ,98.55,99.0,100.8,91.3,93.0,94.35,96.98,5671,54999560000.0,,4283,0.7552
2010-11-22,KILITCH,EQ,94.35,98.0,98.0,92.5,94.5,95.0,93.84,1988,18655945000.0,,1144,0.5755
2010-11-23,KILITCH,EQ,95.0,93.0,97.85,93.0,93.5,94.1,95.06,7999,76042040000.0,,4648,0.5811000000000001
2010-11-24,KILITCH,EQ,94.1,96.0,100.0,94.0,95.0,94.75,95.73,4620,44228895000.0,,1636,0.35409999999999997
2010-11-25,KILITCH,EQ,94.75,94.15,97.0,93.0,97.0,95.75,94.62,6048,57224725000.0,,5162,0.8534999999999999
2010-11-26,KILITCH,EQ,95.75,95.0,95.0,85.3,89.0,89.2,89.93,6911,62150510000.0,,4135,0.5982999999999999
2010-11-29,KILITCH,EQ,89.2,92.25,92.25,88.45,89.35,90.05,90.0,1232,11088200000.0,,1092,0.8864000000000001
2010-11-30,KILITCH,EQ,90.05,90.4,90.5,88.25,89.05,89.85,88.94,9442,83972705000.0,,8192,0.8676
2010-12-01,KILITCH,EQ,89.85,93.8,93.85,91.0,92.75,92.5,93.66,122,1142610000.0,,108,0.8852
2010-12-02,KILITCH,EQ,92.5,92.0,92.8,89.1,90.0,90.75,91.65,3182,29162925000.0,,2052,0.6448999999999999
2010-12-03,KILITCH,EQ,90.75,92.0,92.0,89.0,89.0,89.5,90.77,12248,111174620000.0,,11893,0.971
2010-12-06,KILITCH,EQ,89.5,91.0,91.6,87.1,90.95,90.45,90.34,1880,16983725000.0,,1220,0.6489
2010-12-07,KILITCH,EQ,90.45,91.25,91.25,86.3,88.45,88.0,87.32,545,4758815000.0,,375,0.6881
2010-12-08,KILITCH,EQ,88.0,86.5,86.8,83.25,83.5,83.8,85.24,2110,17985650000.0,,2075,0.9834
2010-12-09,KILITCH,EQ,83.8,83.8,84.45,77.55,84.45,81.5,81.53,6386,52067790000.0,,5189,0.8126000000000001
2010-12-10,KILITCH,EQ,81.5,84.0,91.0,81.0,91.0,88.55,86.63,5826,50471145000.0,,5598,0.9609000000000001
2010-12-13,KILITCH,EQ,88.55,81.95,97.0,81.05,88.0,87.2,87.6,1924,16854350000.0,,1160,0.6029
2010-12-14,KILITCH,EQ,87.2,86.5,88.0,86.5,87.2,87.75,87.75,543,4764600000.0,,475,0.8748
2010-12-15,KILITCH,EQ,87.75,86.5,92.9,86.5,86.5,86.7,87.11,1410,12282175000.0,,1270,0.9007
2010-12-16,KILITCH,EQ,86.7,86.0,100.0,85.6,96.0,95.4,94.53,4070,38472185000.0,,2708,0.6654000000000001
2010-12-20,KILITCH,EQ,95.4,93.0,98.25,88.6,96.95,94.7,92.83,9487,88065695000.0,,4587,0.48350000000000004
2010-12-21,KILITCH,EQ,94.7,99.4,99.4,93.0,93.0,93.35,93.95,1561,14666315000.0,,1222,0.7828
2010-12-22,KILITCH,EQ,93.35,101.8,101.8,91.85,91.85,92.15,94.9,3151,29901705000.0,,1628,0.5167
2010-12-23,KILITCH,EQ,92.15,92.55,95.75,89.0,90.0,90.35,91.92,2333,21445195000.0,,1347,0.5774
2010-12-24,KILITCH,EQ,90.35,90.1,94.75,86.0,88.5,88.95,88.75,2440,21654155000.0,,1829,0.7495999999999999
2010-12-27,KILITCH,EQ,88.95,91.0,93.9,89.1,90.1,91.15,93.11,10116,94189940000.0,,8575,0.8477
2010-12-28,KILITCH,EQ,91.15,89.0,93.0,88.0,90.0,90.25,90.75,3347,30374634999.999996,,2416,0.7218000000000001
2010-12-29,KILITCH,EQ,90.25,93.85,93.85,88.15,91.0,89.1,89.76,1426,12799865000.0,,826,0.5792
2010-12-30,KILITCH,EQ,89.1,88.55,91.0,87.8,90.95,90.95,89.72,1826,16382460000.0,,1361,0.7453000000000001
2010-12-31,KILITCH,EQ,90.95,88.4,97.0,88.4,96.9,95.0,92.51,13471,124625114999.99998,,11615,0.8622
2011-01-03,KILITCH,EQ,95.0,97.0,97.75,92.95,93.0,93.0,93.85,2475,23227265000.0,,1938,0.783
