Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-04-13,KKCL,EQ,260.0,270.0,308.7,237.25,239.9,243.45,273.25,5023442,137267604955000.0,,681869,0.13570000000000002
2006-04-17,KKCL,EQ,243.45,240.0,292.15,240.0,281.4,281.25,277.12,3202719,88752372635000.0,,307618,0.096
2006-04-18,KKCL,EQ,281.25,282.0,285.75,269.1,273.2,272.95,276.49,1343096,37135476320000.0,,189640,0.1412
2006-04-19,KKCL,EQ,272.95,274.0,284.0,263.15,282.6,277.95,275.3,883327,24317620020000.0,,270341,0.306
2006-04-20,KKCL,EQ,277.95,281.3,315.95,275.6,305.0,306.85,305.5,1502644,45905454545000.0,,241103,0.1605
2006-04-21,KKCL,EQ,306.85,308.0,330.9,283.8,315.0,320.45,314.39,1658143,52130678640000.0,,108572,0.0655
2006-04-24,KKCL,EQ,320.45,317.9,337.8,308.0,316.5,318.55,327.0,779575,25491989375000.0,,69539,0.0892
2006-04-25,KKCL,EQ,318.55,320.0,326.0,305.55,308.0,308.5,316.1,251822,7960044375000.0,,89370,0.35490000000000005
2006-04-26,KKCL,EQ,308.5,309.4,322.0,308.0,311.2,312.35,314.48,180272,5669239940000.0,,29671,0.16460000000000002
2006-04-27,KKCL,EQ,312.35,314.4,359.0,314.4,338.0,335.55,342.39,746687,25565819720000.0,,116017,0.15539999999999998
2006-04-28,KKCL,EQ,335.55,271.0,343.0,270.0,340.0,340.05,332.42,257373,8555705875000.0,,48301,0.1877
2006-04-29,KKCL,EQ,340.05,343.0,350.35,339.0,344.95,344.4,346.16,88107,3049921475000.0,,20792,0.23600000000000002
2006-05-02,KKCL,EQ,344.4,348.7,364.0,342.5,344.95,347.3,351.76,96866,3407335870000.0005,,23113,0.2386
2006-05-03,KKCL,EQ,347.3,348.7,372.95,335.0,345.55,348.95,355.82,337110,11995042515000.0,,77058,0.2286
2006-05-04,KKCL,EQ,348.95,350.2,352.4,333.0,334.8,335.75,343.36,91683,3148013905000.0,,31387,0.3423
2006-05-05,KKCL,EQ,335.75,271.5,345.0,271.5,336.0,337.25,338.35,62604,2118210095000.0,,30659,0.4897
2006-05-08,KKCL,EQ,337.25,335.5,338.95,322.0,324.8,326.45,327.94,46959,1539957020000.0,,17000,0.36200000000000004
2006-05-09,KKCL,EQ,326.45,322.05,335.0,315.05,333.0,326.65,323.52,44735,1447246825000.0,,19055,0.42600000000000005
2006-05-10,KKCL,EQ,326.65,335.0,352.0,333.1,340.0,338.95,341.24,78478,2678002920000.0,,28872,0.3679
2006-05-11,KKCL,EQ,338.95,335.0,344.7,325.05,330.0,330.35,333.52,25207,840713694999.9999,,8522,0.3381
2006-05-12,KKCL,EQ,330.35,325.1,338.0,322.0,325.1,326.5,330.22,67496,2228833675000.0,,60086,0.8902
2006-05-15,KKCL,EQ,326.5,323.0,330.0,315.6,323.0,320.05,322.0,57125,1839406580000.0,,43386,0.7595000000000001
2006-05-16,KKCL,EQ,320.05,320.0,329.0,295.65,329.0,322.6,315.84,36875,1164646285000.0,,22216,0.6025
2006-05-17,KKCL,EQ,322.6,340.0,358.0,326.0,332.5,333.8,346.02,231998,8027670109999.999,,141908,0.6117
2006-05-18,KKCL,EQ,333.8,340.0,340.0,282.6,289.5,287.65,302.39,70658,2136648389999.9998,,39302,0.5562
2006-05-19,KKCL,EQ,287.65,295.0,298.85,245.0,260.0,256.5,266.33,170293,4535481145000.0,,109386,0.6423000000000001
2006-05-22,KKCL,EQ,256.5,262.25,262.25,216.15,216.15,222.05,236.36,33801,798919205000.0,,22262,0.6586
2006-05-23,KKCL,EQ,222.05,224.0,256.0,208.5,245.0,242.7,220.53,139957,3086534695000.0,,94388,0.6744
2006-05-24,KKCL,EQ,242.7,260.0,260.0,233.05,238.8,237.8,248.36,36305,901655580000.0001,,11210,0.3088
2006-05-25,KKCL,EQ,237.8,239.0,250.0,235.0,246.5,246.85,244.01,12166,296862535000.0,,4157,0.3417
2006-05-26,KKCL,EQ,246.85,241.0,259.75,224.0,239.1,241.2,247.04,15608,385575190000.0,,6694,0.4289
2006-05-29,KKCL,EQ,241.2,242.5,253.8,238.1,238.5,241.75,243.55,13007,316781030000.0,,7322,0.5629
2006-05-30,KKCL,EQ,241.75,243.95,252.0,240.0,240.0,241.15,244.8,11739,287370180000.0,,3735,0.3182
2006-05-31,KKCL,EQ,241.15,237.0,237.0,221.2,233.0,229.3,228.49,12816,292828510000.0,,6067,0.47340000000000004
2006-06-01,KKCL,EQ,229.3,232.0,239.5,224.0,227.1,225.95,230.77,7561,174482200000.0,,3255,0.4305
2006-06-02,KKCL,EQ,225.95,215.0,228.0,212.0,218.25,221.05,222.13,25481,566011580000.0,,14773,0.5798
2006-06-05,KKCL,EQ,221.05,220.0,223.9,212.0,215.0,212.7,216.69,7084,153506565000.0,,3928,0.5545
2006-06-06,KKCL,EQ,212.7,202.0,209.0,192.5,196.0,199.0,202.06,11861,239660400000.0,,6826,0.5755
2006-06-07,KKCL,EQ,199.0,203.0,204.0,172.5,188.0,182.1,185.55,24134,447813790000.00006,,15493,0.642
2006-06-08,KKCL,EQ,182.1,170.0,200.0,150.0,176.0,176.65,179.68,43564,782776805000.0,,17511,0.402
2006-06-09,KKCL,EQ,176.65,169.0,209.9,145.0,183.6,186.95,186.07,26329,489906245000.0,,13507,0.513
2006-06-12,KKCL,EQ,186.95,188.0,195.0,175.0,189.0,188.65,188.95,30696,579990555000.0,,19934,0.6494
2006-06-13,KKCL,EQ,188.65,180.0,185.0,172.1,179.0,175.65,177.72,8403,149338330000.0,,4132,0.4917
2006-06-14,KKCL,EQ,175.65,200.0,200.0,162.0,175.0,174.85,173.35,21037,364686200000.0,,8082,0.38420000000000004
2006-06-15,KKCL,EQ,174.85,178.0,180.0,170.0,177.0,177.6,177.26,11990,212533800000.0,,6114,0.5099
2006-06-16,KKCL,EQ,177.6,176.0,193.8,165.0,172.0,173.75,183.05,34475,631081410000.0,,18199,0.5279
2006-06-19,KKCL,EQ,173.75,175.0,176.0,170.0,171.0,171.5,173.1,5370,92952165000.0,,3179,0.5920000000000001
2006-06-20,KKCL,EQ,171.5,166.0,184.0,166.0,168.0,169.15,172.38,7658,132005605000.0,,3021,0.3945
2006-06-21,KKCL,EQ,169.15,174.7,179.95,173.0,176.0,176.65,176.8,9349,165294675000.0,,5214,0.5577000000000001
2006-06-22,KKCL,EQ,176.65,179.0,199.0,177.9,187.8,187.6,190.42,42325,805944635000.0,,8566,0.2024
2006-06-23,KKCL,EQ,187.6,178.5,202.0,178.5,200.9,198.9,195.28,26080,509281330000.0,,11109,0.42600000000000005
2006-06-25,KKCL,EQ,198.9,198.0,207.65,198.0,205.7,204.65,204.55,3592,73475150000.0,,1148,0.3196
2006-06-26,KKCL,EQ,204.65,205.75,213.0,183.1,189.0,186.7,199.17,11372,226495070000.00003,,5505,0.4841
2006-06-27,KKCL,EQ,186.7,193.6,193.6,180.0,185.0,185.55,183.55,4500,82596600000.0,,2149,0.47759999999999997
2006-06-28,KKCL,EQ,185.55,178.6,188.8,178.0,187.0,185.8,183.84,3173,58331360000.0,,1086,0.3423
2006-06-29,KKCL,EQ,185.8,187.0,190.0,181.0,182.0,183.65,186.17,1678,31239980000.0,,834,0.49700000000000005
2006-06-30,KKCL,EQ,183.65,187.5,193.0,184.5,187.0,188.35,188.27,5359,100895175000.0,,2110,0.3937
2006-07-03,KKCL,EQ,188.35,184.25,193.0,183.0,192.0,191.05,189.28,7542,142752960000.0,,3814,0.5057
