Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-08-20,MADRASFERT,EQ,0.0,15.0,15.0,13.5,,13.5,13.78,2300,3168500000.0,,,
1997-08-21,MADRASFERT,EQ,13.5,13.0,13.5,12.25,,12.5,12.99,3900,5065500000.0,,,
1997-08-22,MADRASFERT,EQ,12.5,13.35,13.6,12.8,,13.5,13.11,10600,13900000000.0,,,
1997-08-25,MADRASFERT,EQ,13.5,13.75,14.5,13.5,,14.15,13.98,5300,7411000000.0,,,
1997-08-26,MADRASFERT,EQ,14.15,14.45,14.85,14.0,,14.2,14.36,8600,12346000000.0,,,
1997-08-27,MADRASFERT,EQ,14.2,15.25,15.3,14.7,,15.1,15.12,11900,17993500000.0,,,
1997-08-28,MADRASFERT,EQ,15.1,15.2,15.2,14.4,,14.9,14.86,7700,11445500000.0,,,
1997-08-29,MADRASFERT,EQ,14.9,15.0,15.0,14.0,,14.0,14.28,4800,6856000000.0,,,
1997-09-01,MADRASFERT,EQ,14.0,13.9,13.9,13.3,,13.35,13.51,1000,1351000000.0,,,
1997-09-02,MADRASFERT,EQ,13.35,13.5,13.5,12.8,,12.9,13.18,7000,9224500000.0,,,
1997-09-03,MADRASFERT,EQ,12.9,13.25,13.5,13.15,,13.45,13.26,2100,2785000000.0,,,
1997-09-04,MADRASFERT,EQ,13.45,13.05,14.0,12.9,,12.95,13.11,2900,3803000000.0,,,
1997-09-05,MADRASFERT,EQ,12.95,13.0,13.0,13.0,,13.0,13.0,700,910000000.0,,,
1997-09-08,MADRASFERT,EQ,13.0,13.0,13.0,12.4,,12.4,12.71,1900,2414500000.0,,,
1997-09-09,MADRASFERT,EQ,12.4,13.0,13.25,12.45,,12.6,12.87,5600,7205000000.0,,,
1997-09-10,MADRASFERT,EQ,12.6,12.75,12.9,12.6,,12.6,12.74,2100,2676000000.0,,,
1997-09-11,MADRASFERT,EQ,12.6,13.0,13.25,12.7,,13.05,13.0,3400,4420500000.0,,,
1997-09-12,MADRASFERT,EQ,13.05,13.0,13.0,12.9,,12.9,12.99,2700,3507000000.0,,,
1997-09-15,MADRASFERT,EQ,12.9,13.25,13.25,12.75,,12.75,12.84,3000,3852000000.0,,,
1997-09-16,MADRASFERT,EQ,12.75,12.8,12.85,12.5,,12.7,12.68,5400,6848000000.0,,,
1997-09-17,MADRASFERT,EQ,12.7,12.2,12.2,12.2,,12.2,12.2,300,366000000.0,,,
