Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-09-14,MANUGRAPH,EQ,213.15,245.0,245.5,228.1,231.0,231.6,238.2,20270,482825315000.00006,,7112,0.35090000000000005
2006-09-15,MANUGRAPH,EQ,231.6,230.15,241.9,228.1,237.85,237.4,232.84,9375,218285275000.0,,3480,0.3712
2006-09-18,MANUGRAPH,EQ,237.4,240.0,252.9,238.0,248.0,245.55,246.59,26245,647174575000.0,,15120,0.5761000000000001
2006-09-19,MANUGRAPH,EQ,245.55,243.6,243.95,221.0,225.0,225.25,234.03,10560,247138035000.0,,8090,0.7661
2006-09-20,MANUGRAPH,EQ,225.25,234.0,234.0,222.65,224.0,226.15,228.37,3581,81779365000.0,,2754,0.7691
2006-09-21,MANUGRAPH,EQ,226.15,225.1,227.8,220.1,221.05,220.55,221.96,2520,55933700000.0,,2108,0.8365
2006-09-22,MANUGRAPH,EQ,220.55,220.5,238.8,220.25,230.0,230.1,230.1,16615,382319355000.0,,13551,0.8156
2006-09-25,MANUGRAPH,EQ,230.1,234.9,234.9,224.1,228.0,226.1,228.54,20002,457125834999.99994,,19674,0.9836
2006-09-26,MANUGRAPH,EQ,226.1,230.0,236.7,221.0,233.0,234.15,229.9,29636,681335120000.0,,27148,0.9159999999999999
2006-09-27,MANUGRAPH,EQ,234.15,230.2,242.0,229.1,236.9,235.8,234.89,6365,149510630000.0,,4280,0.6724
2006-09-28,MANUGRAPH,EQ,235.8,237.0,238.0,227.75,230.0,230.2,232.17,21200,492208145000.0,,20253,0.9553
2006-09-29,MANUGRAPH,EQ,230.2,253.25,253.25,228.85,236.25,239.45,237.13,15144,359108500000.0,,13270,0.8763
2006-10-03,MANUGRAPH,EQ,239.45,250.0,250.7,235.0,235.1,236.15,239.74,11937,286176570000.0,,10425,0.8733
2006-10-04,MANUGRAPH,EQ,236.15,236.0,240.25,229.0,231.75,230.4,231.75,8645,200348610000.0,,7005,0.8103
