Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-10-06,MBECL,EQ,101.3,111.0,111.7,108.0,111.7,111.7,111.09,2216,24618100000.0,,1801,0.8127
2006-10-09,MBECL,EQ,111.7,114.0,117.3,112.5,117.3,117.3,116.99,25590,299389985000.0,,20647,0.8068000000000001
2006-10-10,MBECL,EQ,117.3,121.0,123.0,113.6,115.6,114.9,119.82,19961,239168245000.00003,,13998,0.7012999999999999
2006-10-11,MBECL,EQ,114.9,115.5,116.0,109.15,109.15,109.15,111.35,4046,45052575000.0,,3535,0.8737
2006-10-12,MBECL,EQ,109.15,108.1,111.35,106.7,107.3,108.45,109.18,1169,12763310000.0,,260,0.2224
2006-10-13,MBECL,EQ,108.45,108.15,109.95,104.0,104.1,104.65,104.97,7920,83140020000.0,,7150,0.9028
2006-10-16,MBECL,EQ,104.65,108.65,109.9,107.5,107.5,109.85,108.81,4324,47049955000.0,,2790,0.6452
2006-10-17,MBECL,EQ,109.85,108.1,113.5,107.0,110.65,109.7,108.88,5467,59522080000.00001,,2996,0.5479999999999999
2006-10-18,MBECL,EQ,109.7,108.0,110.25,107.5,108.0,107.8,109.6,4122,45177405000.0,,3396,0.8239000000000001
2006-10-19,MBECL,EQ,107.8,105.0,110.0,105.0,107.8,107.4,107.71,5407,58239575000.0,,3258,0.6026
2006-10-20,MBECL,EQ,107.4,108.2,108.2,105.15,105.15,105.45,105.88,7438,78749910000.0,,6261,0.8418000000000001
2006-10-21,MBECL,EQ,105.45,109.05,110.25,109.0,110.25,110.25,109.65,285,3124950000.0,,275,0.9649
2006-10-23,MBECL,EQ,110.25,109.0,115.8,106.5,111.0,112.1,112.44,11805,132738245000.0,,7731,0.6548999999999999
2006-10-26,MBECL,EQ,112.1,111.05,116.0,111.05,112.85,113.3,114.28,6574,75127420000.0,,4206,0.6398
2006-10-27,MBECL,EQ,113.3,113.5,113.5,110.0,111.55,111.75,112.01,7166,80269355000.0,,6422,0.8962000000000001
2006-10-30,MBECL,EQ,111.75,113.1,113.1,108.15,110.8,108.95,110.26,8189,90295705000.0,,6084,0.7429000000000001
2006-10-31,MBECL,EQ,108.95,112.1,112.1,105.8,106.25,106.1,108.58,22187,240899960000.0,,16835,0.7587999999999999
2006-11-01,MBECL,EQ,106.1,106.25,108.0,102.0,102.5,102.95,104.06,6499,67628660000.0,,5304,0.8161
2006-11-02,MBECL,EQ,102.95,106.0,108.1,104.3,108.1,108.1,106.03,5175,54871625000.0,,2655,0.513
2006-11-03,MBECL,EQ,108.1,111.0,113.55,108.1,113.55,113.45,112.81,24544,276889315000.0,,13696,0.5579999999999999
2006-11-06,MBECL,EQ,113.45,111.0,114.65,109.1,110.5,110.5,111.27,8046,89531775000.0,,5479,0.6809999999999999
2006-11-07,MBECL,EQ,110.5,114.4,114.8,108.0,111.0,112.4,112.67,17833,200930665000.0,,7417,0.41590000000000005
