Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,MRPL,EQ,29.85,29.85,29.95,29.5,,29.6,29.72,16300,48440000000.0,,,
1996-01-02,MRPL,EQ,29.6,29.6,30.0,29.25,,29.95,29.52,38700,114238500000.0,,,
1996-01-03,MRPL,EQ,29.95,29.95,29.95,29.55,,29.7,29.71,21700,64462000000.0,,,
1996-01-04,MRPL,EQ,29.7,29.7,29.85,29.5,,29.85,29.65,20700,61371500000.0,,,
1996-01-05,MRPL,EQ,29.85,29.85,30.45,29.5,,29.75,29.76,42300,125869500000.0,,,
1996-01-08,MRPL,EQ,29.75,29.75,29.8,29.4,,29.55,29.57,34800,102918000000.0,,,
1996-01-09,MRPL,EQ,29.55,29.55,29.6,29.1,,29.35,29.4,31600,92901000000.0,,,
1996-01-10,MRPL,EQ,29.35,29.35,29.6,29.05,,29.3,29.34,27900,81872000000.0,,,
1996-01-11,MRPL,EQ,29.3,29.3,29.5,28.85,,29.3,29.13,21500,62640000000.0,,,
1996-01-12,MRPL,EQ,29.3,29.3,29.7,29.3,,29.55,29.51,19500,57549000000.0,,,
1996-01-15,MRPL,EQ,29.55,29.55,29.6,29.3,,29.45,29.43,17700,52092000000.0,,,
1996-01-16,MRPL,EQ,29.45,29.45,29.7,29.1,,29.1,29.38,45900,134840500000.0,,,
1996-01-17,MRPL,EQ,29.1,29.1,29.5,28.5,,28.7,28.92,59700,172626000000.0,,,
1996-01-18,MRPL,EQ,28.7,28.7,28.75,27.9,,28.0,28.11,39700,111598000000.0,,,
1996-01-19,MRPL,EQ,28.0,28.0,28.05,27.05,,27.35,27.64,28000,77399000000.0,,,
1996-01-22,MRPL,EQ,27.35,27.35,27.75,27.0,,27.15,27.4,19700,53973000000.0,,,
1996-01-23,MRPL,EQ,27.15,27.15,27.5,27.0,,27.05,27.16,30600,83100000000.0,,,
1996-01-24,MRPL,EQ,27.05,27.0,27.0,25.55,,26.0,26.44,20900,55251000000.0,,,
1996-01-25,MRPL,EQ,26.0,25.5,26.5,25.35,,25.65,25.87,23100,59748500000.0,,,
1996-01-29,MRPL,EQ,25.65,27.0,27.0,25.0,,25.7,25.37,29700,75350000000.0,,,
1996-01-30,MRPL,EQ,25.7,25.7,27.05,25.75,,26.1,26.44,31700,83824500000.0,,,
1996-01-31,MRPL,EQ,26.1,26.1,27.25,26.25,,26.35,26.54,25200,66892500000.0,,,
1996-02-01,MRPL,EQ,26.35,26.35,27.0,26.35,,26.6,26.66,50400,134370000000.0,,,
1996-02-02,MRPL,EQ,26.6,27.0,28.3,27.0,,28.05,27.96,37800,105673500000.0,,,
1996-02-05,MRPL,EQ,28.05,28.05,30.9,28.25,,29.15,29.11,59900,174380500000.0,,,
1996-02-06,MRPL,EQ,29.15,29.15,29.8,28.25,,28.6,28.89,50600,146180500000.0,,,
1996-02-07,MRPL,EQ,28.6,28.55,29.0,27.5,,27.7,28.31,32600,92301500000.0,,,
1996-02-08,MRPL,EQ,27.7,27.7,28.35,27.6,,27.85,27.87,64000,178372000000.0,,,
1996-02-09,MRPL,EQ,27.85,27.85,29.0,28.0,,28.65,28.55,82100,234415000000.0,,,
1996-02-12,MRPL,EQ,28.65,28.65,31.7,28.5,,30.75,30.89,85300,263477000000.0,,,
1996-02-13,MRPL,EQ,30.75,30.75,31.0,30.0,,30.6,30.51,58000,176955500000.0,,,
1996-02-14,MRPL,EQ,30.6,30.6,33.65,32.1,,32.5,32.58,100900,328771000000.0,,,
1996-02-15,MRPL,EQ,32.5,32.5,33.25,31.5,,32.35,32.43,117300,380347000000.0,,,
1996-02-16,MRPL,EQ,32.35,32.35,32.3,31.35,,31.6,31.74,63700,202164500000.0,,,
1996-02-19,MRPL,EQ,31.6,31.6,31.75,31.0,,31.2,31.3,66000,206576000000.0,,,
1996-02-20,MRPL,EQ,31.2,31.2,31.0,30.0,,30.2,30.39,61900,188107000000.0,,,
1996-02-22,MRPL,EQ,30.2,30.2,31.0,29.9,,30.7,30.56,56500,172655000000.0,,,
1996-02-23,MRPL,EQ,30.7,30.7,31.5,29.85,,30.0,30.13,62800,189235500000.0,,,
1996-02-26,MRPL,EQ,30.0,30.0,30.5,29.5,,30.0,30.13,36900,111187000000.0,,,
1996-02-27,MRPL,EQ,30.0,30.0,30.2,29.5,,29.65,29.72,46700,138810000000.0,,,
1996-02-28,MRPL,EQ,29.65,29.65,30.7,29.75,,29.85,30.16,41800,126082500000.0,,,
1996-02-29,MRPL,EQ,29.85,29.8,29.8,27.75,,27.9,28.48,81900,233246500000.0,,,
1996-03-01,MRPL,EQ,27.9,27.9,28.75,28.0,,28.25,28.28,60400,170841000000.0,,,
1996-03-04,MRPL,EQ,28.25,28.25,28.75,28.05,,28.35,28.37,47600,135063000000.0,,,
1996-03-06,MRPL,EQ,28.35,28.35,28.45,27.7,,27.8,27.92,46400,129528500000.0,,,
1996-03-07,MRPL,EQ,27.8,27.8,28.4,27.6,,27.7,27.93,49700,138795000000.0,,,
1996-03-08,MRPL,EQ,27.7,27.7,28.0,27.0,,27.6,27.49,80500,221305000000.0,,,
1996-03-11,MRPL,EQ,27.6,27.6,27.75,27.15,,27.5,27.45,32400,88950500000.0,,,
1996-03-12,MRPL,EQ,27.5,27.5,27.7,27.05,,27.2,27.28,56400,153840000000.0,,,
1996-03-13,MRPL,EQ,27.2,27.2,27.75,27.25,,27.65,27.54,45500,125308000000.0,,,
1996-03-14,MRPL,EQ,27.65,27.65,28.0,27.35,,27.5,27.66,35600,98462000000.0,,,
1996-03-15,MRPL,EQ,27.5,27.5,27.9,27.35,,27.45,27.49,36600,100608000000.0,,,
1996-03-18,MRPL,EQ,27.45,27.45,27.6,27.1,,27.2,27.32,45000,122953500000.0,,,
1996-03-19,MRPL,EQ,27.2,27.2,27.25,26.75,,27.05,27.08,49700,134563000000.0,,,
1996-03-21,MRPL,EQ,27.05,27.25,27.65,27.1,,27.25,27.37,42200,115499000000.0,,,
1996-03-22,MRPL,EQ,27.25,27.25,27.5,27.0,,27.25,27.3,20800,56776000000.0,,,
1996-03-25,MRPL,EQ,27.25,27.1,27.5,27.0,,27.15,27.24,40600,110602000000.0,,,
1996-03-26,MRPL,EQ,27.15,27.15,27.5,27.0,,27.25,27.25,67200,183136000000.0,,,
1996-03-27,MRPL,EQ,27.25,27.25,27.6,27.2,,27.35,27.39,18500,50667500000.0,,,
1996-03-28,MRPL,EQ,27.35,27.35,27.75,27.25,,27.55,27.52,20500,56420000000.0,,,
1996-03-29,MRPL,EQ,27.55,27.55,27.95,27.35,,27.5,27.55,31900,87873000000.0,,,
1996-04-01,MRPL,EQ,27.5,27.5,30.4,27.95,,30.4,29.27,73000,213693000000.0,,,
1996-04-02,MRPL,EQ,30.4,30.4,32.75,31.0,,31.9,31.95,95800,306087500000.0,,,
1996-04-03,MRPL,EQ,31.9,31.9,34.9,32.5,,32.6,33.14,134500,445747000000.0,,,
1996-04-04,MRPL,EQ,32.6,32.6,32.0,31.0,,31.95,31.67,71600,226777000000.0,,,
1996-04-08,MRPL,EQ,31.95,31.95,32.9,32.0,,32.25,32.36,85500,276708500000.0,,,
1996-04-09,MRPL,EQ,32.25,32.25,32.6,31.55,,31.9,32.28,97400,314437000000.0,,,
1996-04-10,MRPL,EQ,31.9,31.9,32.85,32.0,,32.15,32.3,49100,158576500000.0,,,
1996-04-11,MRPL,EQ,32.15,32.15,32.0,31.1,,31.75,31.66,41200,130457000000.0,,,
