Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-04-08,NAVBARFERO,EQ,0.0,48.0,48.0,48.0,,48.0,48.0,500,2400000000.0,,,
1996-04-18,NAVBARFERO,EQ,48.0,52.75,52.75,52.75,,52.75,52.75,100,527500000.0,,,
1996-05-02,NAVBARFERO,EQ,52.75,47.75,47.75,47.75,,47.75,47.75,1000,4775000000.0,,,
1996-05-06,NAVBARFERO,EQ,47.75,44.0,44.0,44.0,,44.0,44.0,100,440000000.0,,,
1996-05-07,NAVBARFERO,EQ,44.0,48.0,48.0,48.0,,48.0,48.0,500,2400000000.0,,,
1996-05-13,NAVBARFERO,EQ,48.0,49.0,49.0,49.0,,49.0,49.0,500,2450000000.0,,,
1996-05-14,NAVBARFERO,EQ,49.0,44.0,44.0,44.0,,44.0,44.0,100,440000000.0,,,
1996-05-17,NAVBARFERO,EQ,44.0,48.25,48.4,48.25,,48.4,48.33,100,483250000.0,,,
1996-05-22,NAVBARFERO,EQ,48.4,46.0,46.0,46.0,,46.0,46.0,1000,4600000000.0,,,
1996-05-23,NAVBARFERO,EQ,46.0,44.0,44.0,44.0,,44.0,44.0,300,1320000000.0,,,
1996-05-24,NAVBARFERO,EQ,44.0,46.0,46.0,46.0,,46.0,46.0,300,1380000000.0,,,
1996-05-27,NAVBARFERO,EQ,46.0,46.0,49.0,46.0,,49.0,46.6,250,1165000000.0,,,
1996-05-28,NAVBARFERO,EQ,49.0,49.0,52.0,44.5,,44.55,47.01,350,1645250000.0,,,
1996-05-29,NAVBARFERO,EQ,44.55,44.55,49.25,43.05,,44.8,47.37,3950,18710750000.0,,,
1996-05-30,NAVBARFERO,EQ,44.8,44.8,46.0,46.0,,46.0,46.0,150,690000000.0,,,
1996-05-31,NAVBARFERO,EQ,46.0,44.5,44.5,44.5,,44.5,44.5,500,2225000000.0,,,
1996-06-03,NAVBARFERO,EQ,44.5,45.0,45.05,44.5,,45.0,44.85,1600,7175500000.0,,,
1996-06-04,NAVBARFERO,EQ,45.0,42.0,44.75,42.0,,44.75,44.36,350,1552500000.0,,,
1996-06-05,NAVBARFERO,EQ,44.75,43.25,43.25,43.0,,43.0,43.08,150,646250000.0,,,
1996-06-06,NAVBARFERO,EQ,43.0,40.0,40.0,40.0,,40.0,40.0,100,400000000.0,,,
1996-06-07,NAVBARFERO,EQ,40.0,41.95,41.95,41.5,,41.9,41.89,700,2932000000.0,,,
1996-06-10,NAVBARFERO,EQ,41.9,40.8,41.0,40.8,,41.0,40.92,500,2046000000.0,,,
1996-06-11,NAVBARFERO,EQ,41.0,44.0,44.0,39.0,,41.1,41.65,2450,10203750000.0,,,
1996-06-12,NAVBARFERO,EQ,41.1,41.25,41.5,41.0,,41.0,41.27,1600,6602500000.0,,,
1996-06-13,NAVBARFERO,EQ,41.0,41.0,41.5,41.0,,41.5,41.2,1000,4120000000.0,,,
1996-06-14,NAVBARFERO,EQ,41.5,42.0,43.0,42.0,,43.0,42.71,700,2990000000.0,,,
1996-06-18,NAVBARFERO,EQ,43.0,42.5,42.5,42.5,,42.5,42.5,500,2125000000.0,,,
1996-06-19,NAVBARFERO,EQ,42.5,40.5,40.5,38.5,,38.5,39.5,200,790000000.0,,,
1996-06-21,NAVBARFERO,EQ,38.5,35.0,35.0,35.0,,35.0,35.0,50,175000000.0,,,
1996-06-25,NAVBARFERO,EQ,35.0,37.75,37.75,37.75,,37.75,37.75,50,188750000.0,,,
1996-06-27,NAVBARFERO,EQ,37.75,37.5,37.5,37.5,,37.5,37.5,50,187500000.0,,,
1996-06-28,NAVBARFERO,EQ,37.5,38.0,38.0,36.25,,36.25,36.83,150,552500000.0,,,
1996-07-01,NAVBARFERO,EQ,36.25,37.0,37.0,37.0,,37.0,37.0,200,740000000.0,,,
1996-07-02,NAVBARFERO,EQ,37.0,37.0,38.25,37.0,,38.25,37.83,750,2837000000.0,,,
1996-07-03,NAVBARFERO,EQ,38.25,38.0,38.0,38.0,,38.0,38.0,500,1900000000.0,,,
1996-07-04,NAVBARFERO,EQ,38.0,37.0,37.0,37.0,,37.0,37.0,500,1850000000.0,,,
1996-07-08,NAVBARFERO,EQ,44.0,37.0,38.0,35.0,,35.55,36.02,2400,8645000000.0,,,
1996-07-09,NAVBARFERO,EQ,35.55,34.0,34.0,34.0,,34.0,34.0,50,170000000.0,,,
1996-07-10,NAVBARFERO,EQ,34.0,35.0,36.85,34.5,,35.0,34.93,3600,12574500000.0,,,
1996-07-11,NAVBARFERO,EQ,35.0,37.5,38.5,35.25,,38.5,37.9,1300,4927500000.0,,,
1996-07-12,NAVBARFERO,EQ,38.5,38.0,38.0,37.0,,37.85,37.62,3050,11475000000.0,,,
1996-07-16,NAVBARFERO,EQ,37.85,38.25,38.25,34.0,,34.0,36.13,100,361250000.0,,,
1996-07-17,NAVBARFERO,EQ,34.0,36.5,36.5,36.0,,36.0,36.33,150,545000000.0,,,
1996-07-18,NAVBARFERO,EQ,36.0,36.0,36.0,36.0,,36.0,36.0,600,2160000000.0,,,
1996-07-23,NAVBARFERO,EQ,36.0,34.7,36.0,34.7,,36.0,35.39,600,2123500000.0,,,
1996-07-24,NAVBARFERO,EQ,36.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-07-25,NAVBARFERO,EQ,37.0,35.5,35.5,35.5,,35.5,35.5,200,710000000.0,,,
1996-07-26,NAVBARFERO,EQ,35.5,33.0,34.0,33.0,,34.0,33.8,250,845000000.0,,,
1996-07-30,NAVBARFERO,EQ,34.0,32.25,32.25,32.15,,32.15,32.18,150,482750000.0,,,
1996-07-31,NAVBARFERO,EQ,32.15,35.0,35.0,32.5,,35.0,34.89,1150,4012500000.0,,,
1996-08-02,NAVBARFERO,EQ,35.0,35.0,37.0,35.0,,36.85,36.63,1000,3663000000.0,,,
1996-08-05,NAVBARFERO,EQ,36.85,37.0,40.0,36.5,,37.05,37.15,1250,4643750000.0,,,
1996-08-06,NAVBARFERO,EQ,37.05,35.1,35.1,35.0,,35.0,35.01,450,1575500000.0,,,
1996-08-07,NAVBARFERO,EQ,35.0,32.0,36.5,32.0,,36.5,34.25,400,1370000000.0,,,
1996-08-08,NAVBARFERO,EQ,36.5,36.25,37.25,36.1,,37.15,36.72,1800,6609500000.0,,,
1996-08-09,NAVBARFERO,EQ,37.15,38.0,38.0,35.5,,35.5,37.0,500,1850000000.0,,,
1996-08-12,NAVBARFERO,EQ,35.5,35.5,37.25,35.5,,36.0,37.05,5200,19265000000.0,,,
1996-08-13,NAVBARFERO,EQ,36.0,35.25,35.25,34.6,,35.0,34.97,3900,13640000000.0,,,
1996-08-14,NAVBARFERO,EQ,35.0,32.05,34.5,32.0,,34.25,33.19,2200,7302500000.0,,,
1996-08-16,NAVBARFERO,EQ,34.25,34.0,34.5,34.0,,34.5,34.08,600,2045000000.0,,,
1996-08-19,NAVBARFERO,EQ,34.5,35.0,35.0,34.7,,34.7,34.95,1200,4194000000.0,,,
1996-08-20,NAVBARFERO,EQ,34.7,34.1,35.5,34.1,,35.0,35.0,2100,7350000000.0,,,
1996-08-21,NAVBARFERO,EQ,35.0,35.1,35.1,35.1,,35.1,35.1,500,1755000000.0,,,
1996-08-22,NAVBARFERO,EQ,35.1,35.1,35.1,35.0,,35.0,35.05,600,2103000000.0,,,
1996-08-23,NAVBARFERO,EQ,35.0,34.75,34.75,34.5,,34.5,34.67,300,1040000000.0,,,
1996-08-27,NAVBARFERO,EQ,34.5,35.5,35.5,34.5,,34.5,34.54,5200,17962500000.0,,,
1996-08-28,NAVBARFERO,EQ,34.5,34.0,35.0,34.0,,35.0,34.8,250,870000000.0,,,
1996-08-29,NAVBARFERO,EQ,35.0,35.5,38.5,35.5,,37.0,37.11,1650,6123750000.0,,,
1996-08-30,NAVBARFERO,EQ,37.0,40.5,40.5,39.0,,40.25,39.77,1900,7557000000.0,,,
1996-09-02,NAVBARFERO,EQ,40.25,42.7,43.0,41.5,,41.55,42.13,1200,5056000000.0,,,
1996-09-03,NAVBARFERO,EQ,41.55,41.9,42.0,38.0,,38.0,39.86,2000,7972000000.0,,,
1996-09-04,NAVBARFERO,EQ,38.0,38.0,38.0,37.5,,38.0,37.77,1100,4155000000.0,,,
1996-09-05,NAVBARFERO,EQ,38.0,38.55,40.0,38.0,,39.0,38.28,7200,27563500000.0,,,
1996-09-06,NAVBARFERO,EQ,39.0,41.85,41.9,37.9,,38.4,38.7,2950,11417750000.0,,,
1996-09-09,NAVBARFERO,EQ,38.4,38.5,39.0,37.6,,38.5,38.53,1100,4238500000.0,,,
1996-09-10,NAVBARFERO,EQ,38.5,37.5,38.25,37.0,,37.55,37.66,2200,8284250000.0,,,
1996-09-11,NAVBARFERO,EQ,37.55,38.7,38.75,37.0,,37.0,37.91,1200,4549500000.0,,,
1996-09-12,NAVBARFERO,EQ,37.0,37.6,37.9,37.6,,37.6,37.83,1100,4161000000.0,,,
1996-09-13,NAVBARFERO,EQ,37.6,37.05,37.05,37.05,,37.05,37.05,50,185250000.0,,,
1996-09-17,NAVBARFERO,EQ,37.05,37.0,37.0,36.1,,36.15,36.25,650,2356500000.0,,,
1996-09-18,NAVBARFERO,EQ,36.15,36.15,36.15,36.15,,36.15,36.15,50,180750000.0,,,
1996-09-19,NAVBARFERO,EQ,36.15,37.0,37.0,36.0,,36.0,36.41,850,3094500000.0,,,
1996-09-24,NAVBARFERO,EQ,36.0,34.0,34.0,34.0,,34.0,34.0,400,1360000000.0,,,
1996-09-27,NAVBARFERO,EQ,34.0,32.0,32.0,32.0,,32.0,32.0,150,480000000.0,,,
1996-09-30,NAVBARFERO,EQ,32.0,34.0,34.0,34.0,,34.0,34.0,400,1360000000.0,,,
1996-10-01,NAVBARFERO,EQ,34.0,33.5,33.5,30.9,,30.9,32.1,400,1284000000.0,,,
1996-10-04,NAVBARFERO,EQ,30.9,31.5,31.5,31.5,,31.5,31.5,100,315000000.0,,,
1996-10-07,NAVBARFERO,EQ,31.5,31.0,31.0,29.05,,29.05,30.35,150,455250000.0,,,
1996-10-10,NAVBARFERO,EQ,29.05,32.0,32.0,32.0,,32.0,32.0,100,320000000.0,,,
1996-10-11,NAVBARFERO,EQ,32.0,32.0,32.0,31.0,,31.0,31.75,200,635000000.0,,,
1996-10-14,NAVBARFERO,EQ,31.0,30.0,31.0,30.0,,30.15,30.63,1100,3369000000.0,,,
1996-10-16,NAVBARFERO,EQ,30.15,30.45,30.45,30.45,,30.45,30.45,200,609000000.0,,,
1996-10-17,NAVBARFERO,EQ,30.45,27.5,27.5,27.5,,27.5,27.5,50,137500000.0,,,
1996-10-18,NAVBARFERO,EQ,27.5,27.5,27.5,27.5,,27.5,27.5,300,825000000.0,,,
1996-10-22,NAVBARFERO,EQ,27.5,28.0,28.0,28.0,,28.0,28.0,100,280000000.0,,,
1996-10-23,NAVBARFERO,EQ,28.0,29.35,30.8,28.7,,30.5,30.18,750,2263250000.0,,,
1996-10-24,NAVBARFERO,EQ,30.5,31.0,31.5,31.0,,31.5,31.25,400,1250000000.0,,,
1996-10-25,NAVBARFERO,EQ,31.5,29.0,29.0,29.0,,29.0,29.0,100,290000000.0,,,
1996-10-29,NAVBARFERO,EQ,29.0,27.5,27.5,27.3,,27.3,27.47,1200,3296000000.0,,,
1996-10-31,NAVBARFERO,EQ,27.3,28.0,28.0,28.0,,28.0,28.0,1500,4200000000.0,,,
1996-11-01,NAVBARFERO,EQ,28.0,28.25,28.25,28.25,,28.25,28.25,100,282500000.0,,,
1996-11-04,NAVBARFERO,EQ,28.25,28.7,28.7,28.0,,28.0,28.34,250,708500000.0,,,
1996-11-05,NAVBARFERO,EQ,28.0,26.5,26.5,26.5,,26.5,26.5,100,265000000.0,,,
1996-11-06,NAVBARFERO,EQ,26.5,29.0,29.0,28.95,,28.95,28.97,150,434500000.0,,,
1996-11-07,NAVBARFERO,EQ,28.95,29.7,29.75,29.7,,29.75,29.75,500,1487250000.0,,,
1996-11-13,NAVBARFERO,EQ,29.75,30.0,30.0,30.0,,30.0,30.0,150,450000000.0,,,
1996-11-15,NAVBARFERO,EQ,30.0,28.0,28.0,28.0,,28.0,28.0,400,1120000000.0,,,
1996-11-19,NAVBARFERO,EQ,28.0,28.0,29.0,28.0,,29.0,28.5,200,570000000.0,,,
1996-11-21,NAVBARFERO,EQ,29.0,27.0,27.0,27.0,,27.0,27.0,100,270000000.0,,,
1996-11-22,NAVBARFERO,EQ,27.0,27.0,27.0,27.0,,27.0,27.0,300,810000000.0,,,
1996-11-26,NAVBARFERO,EQ,27.0,26.25,26.25,26.25,,26.25,26.25,400,1050000000.0,,,
1996-11-27,NAVBARFERO,EQ,26.25,26.25,28.75,26.25,,26.75,26.44,1600,4230000000.0,,,
1996-11-29,NAVBARFERO,EQ,26.75,28.75,28.75,28.75,,28.75,28.75,600,1725000000.0,,,
1996-12-02,NAVBARFERO,EQ,28.75,28.5,28.5,28.0,,28.0,28.33,300,850000000.0,,,
1996-12-03,NAVBARFERO,EQ,28.0,27.0,27.0,26.0,,26.0,26.17,600,1570000000.0,,,
1996-12-04,NAVBARFERO,EQ,26.0,26.5,27.6,26.5,,27.6,27.05,200,541000000.0,,,
1996-12-06,NAVBARFERO,EQ,27.6,26.5,26.5,26.5,,26.5,26.5,100,265000000.0,,,
1996-12-10,NAVBARFERO,EQ,26.5,28.0,28.0,28.0,,28.0,28.0,100,280000000.0,,,
1996-12-11,NAVBARFERO,EQ,28.0,28.25,28.45,27.0,,27.0,27.83,500,1391500000.0,,,
1996-12-12,NAVBARFERO,EQ,27.0,27.0,27.0,27.0,,27.0,27.0,500,1350000000.0,,,
1996-12-13,NAVBARFERO,EQ,27.0,28.9,28.9,28.9,,28.9,28.9,500,1445000000.0,,,
1996-12-16,NAVBARFERO,EQ,28.9,27.5,27.5,27.5,,27.5,27.5,200,550000000.0,,,
1996-12-17,NAVBARFERO,EQ,27.5,27.0,27.0,27.0,,27.0,27.0,100,270000000.0,,,
1996-12-18,NAVBARFERO,EQ,27.0,27.0,27.0,27.0,,27.0,27.0,500,1350000000.0,,,
1996-12-19,NAVBARFERO,EQ,27.0,27.0,27.0,27.0,,27.0,27.0,300,810000000.0,,,
1997-01-03,NAVBARFERO,EQ,27.0,27.0,27.0,27.0,,27.0,27.0,1300,3510000000.0,,,
1997-01-06,NAVBARFERO,EQ,27.0,27.5,27.5,27.5,,27.5,27.5,1000,2750000000.0,,,
1997-01-07,NAVBARFERO,EQ,27.5,29.0,29.0,29.0,,29.0,29.0,1000,2900000000.0,,,
1997-01-08,NAVBARFERO,EQ,29.0,29.05,29.05,29.0,,29.0,29.0,2800,8120500000.0,,,
1997-01-09,NAVBARFERO,EQ,29.0,31.75,31.75,31.75,,31.75,31.75,50,158750000.0,,,
1997-01-10,NAVBARFERO,EQ,31.75,34.5,34.5,34.5,,34.5,34.5,50,172500000.0,,,
1997-01-13,NAVBARFERO,EQ,34.5,34.0,34.0,32.5,,32.5,32.8,500,1640000000.0,,,
1997-01-14,NAVBARFERO,EQ,32.5,32.0,32.0,32.0,,32.0,32.0,50,160000000.0,,,
1997-01-15,NAVBARFERO,EQ,32.0,32.0,32.0,32.0,,32.0,32.0,100,320000000.0,,,
1997-01-16,NAVBARFERO,EQ,32.0,34.0,34.0,34.0,,34.0,34.0,100,340000000.0,,,
1997-01-17,NAVBARFERO,EQ,34.0,32.0,32.0,31.05,,31.05,31.62,500,1581000000.0,,,
1997-01-22,NAVBARFERO,EQ,31.05,30.75,30.75,30.5,,30.5,30.57,700,2140000000.0,,,
1997-01-24,NAVBARFERO,EQ,30.5,30.0,30.1,30.0,,30.1,30.05,1000,3005000000.0,,,
1997-01-27,NAVBARFERO,EQ,30.1,31.0,31.0,31.0,,31.0,31.0,100,310000000.0,,,
1997-01-28,NAVBARFERO,EQ,31.0,29.5,29.5,29.5,,29.5,29.5,400,1180000000.0,,,
1997-01-29,NAVBARFERO,EQ,29.5,31.0,31.0,30.0,,30.0,30.29,700,2120000000.0,,,
1997-01-30,NAVBARFERO,EQ,30.0,29.55,30.5,29.55,,30.0,30.13,1600,4820500000.0,,,
1997-01-31,NAVBARFERO,EQ,30.0,30.0,30.0,30.0,,30.0,30.0,1000,3000000000.0,,,
1997-02-03,NAVBARFERO,EQ,30.0,30.0,30.0,30.0,,30.0,30.0,800,2400000000.0,,,
1997-02-04,NAVBARFERO,EQ,30.0,30.0,30.0,30.0,,30.0,30.0,1150,3450000000.0,,,
1997-02-06,NAVBARFERO,EQ,30.0,30.5,30.5,30.0,,30.0,30.13,400,1205000000.0,,,
1997-02-07,NAVBARFERO,EQ,30.0,30.9,30.9,30.9,,30.9,30.9,50,154500000.0,,,
1997-02-10,NAVBARFERO,EQ,30.9,30.1,30.1,30.1,,30.1,30.1,300,903000000.0,,,
1997-02-12,NAVBARFERO,EQ,30.1,30.5,30.5,30.5,,30.5,30.5,100,305000000.0,,,
1997-02-13,NAVBARFERO,EQ,30.5,30.5,30.6,30.5,,30.5,30.56,850,2597500000.0,,,
1997-02-14,NAVBARFERO,EQ,30.5,30.1,30.5,30.1,,30.1,30.18,1350,4074500000.0,,,
1997-02-17,NAVBARFERO,EQ,30.1,30.0,30.0,30.0,,30.0,30.0,500,1500000000.0,,,
1997-02-19,NAVBARFERO,EQ,30.0,30.1,30.1,30.1,,30.1,30.1,500,1505000000.0,,,
1997-02-20,NAVBARFERO,EQ,30.1,30.1,30.1,30.1,,30.1,30.1,500,1505000000.0,,,
1997-02-21,NAVBARFERO,EQ,30.1,30.5,30.5,30.5,,30.5,30.5,100,305000000.0,,,
1997-02-24,NAVBARFERO,EQ,30.5,30.0,31.0,30.0,,31.0,30.67,2400,7360000000.0,,,
1997-02-25,NAVBARFERO,EQ,31.0,30.75,30.75,30.75,,30.75,30.75,100,307500000.0,,,
1997-02-26,NAVBARFERO,EQ,30.75,30.5,30.5,30.5,,30.5,30.5,2700,8235000000.0,,,
1997-02-27,NAVBARFERO,EQ,30.5,29.75,29.75,29.75,,29.75,29.75,600,1785000000.0,,,
1997-03-01,NAVBARFERO,EQ,30.1,31.0,31.0,31.0,,31.0,31.0,100,310000000.0,,,
1997-03-03,NAVBARFERO,EQ,31.0,30.0,31.0,30.0,,31.0,30.71,2800,8600000000.0,,,
1997-03-04,NAVBARFERO,EQ,31.0,30.5,30.5,30.5,,30.5,30.5,500,1525000000.0,,,
1997-03-06,NAVBARFERO,EQ,30.5,31.0,31.0,31.0,,31.0,31.0,100,310000000.0,,,
1997-03-10,NAVBARFERO,EQ,31.0,30.1,30.1,30.0,,30.0,30.05,2000,6010000000.0,,,
1997-03-11,NAVBARFERO,EQ,30.0,30.2,30.2,30.2,,30.2,30.2,200,604000000.0,,,
1997-03-12,NAVBARFERO,EQ,30.2,30.5,30.5,30.5,,30.5,30.5,700,2135000000.0,,,
1997-03-13,NAVBARFERO,EQ,30.5,31.0,31.0,30.0,,30.0,30.33,300,910000000.0,,,
1997-03-14,NAVBARFERO,EQ,30.0,30.05,30.05,30.0,,30.05,30.02,600,1801000000.0,,,
1997-03-18,NAVBARFERO,EQ,30.05,29.75,29.75,29.75,,29.75,29.75,300,892500000.0,,,
1997-03-20,NAVBARFERO,EQ,29.75,30.0,30.0,30.0,,30.0,30.0,100,300000000.0,,,
1997-03-27,NAVBARFERO,EQ,30.0,29.5,29.5,29.5,,29.5,29.5,300,885000000.0,,,
1997-04-09,NAVBARFERO,EQ,29.5,30.0,30.0,30.0,,30.0,30.0,200,600000000.0,,,
1997-04-10,NAVBARFERO,EQ,30.0,29.25,29.5,29.25,,29.5,29.48,550,1621250000.0,,,
1997-04-15,NAVBARFERO,EQ,29.5,29.25,29.25,29.0,,29.0,29.2,2500,7300000000.0,,,
1997-04-17,NAVBARFERO,EQ,29.0,29.0,29.0,29.0,,29.0,29.0,500,1450000000.0,,,
1997-04-23,NAVBARFERO,EQ,29.0,30.75,30.75,30.0,,30.0,30.67,2250,6900000000.0,,,
1997-04-28,NAVBARFERO,EQ,30.0,30.0,30.0,30.0,,30.0,30.0,50,150000000.0,,,
1997-04-30,NAVBARFERO,EQ,30.0,30.0,30.0,29.0,,29.0,29.05,2900,8425000000.0,,,
1997-05-02,NAVBARFERO,EQ,29.0,31.0,31.0,29.3,,29.3,29.98,500,1499000000.0,,,
1997-05-06,NAVBARFERO,EQ,29.3,30.9,31.0,29.0,,29.0,29.45,1300,3828000000.0,,,
1997-05-09,NAVBARFERO,EQ,29.0,30.75,30.75,30.75,,30.75,30.75,200,615000000.0,,,
1997-05-13,NAVBARFERO,EQ,30.75,28.5,29.1,28.5,,28.6,28.81,800,2305000000.0,,,
1997-05-14,NAVBARFERO,EQ,28.6,29.0,29.5,29.0,,29.0,29.29,1200,3515000000.0,,,
1997-05-15,NAVBARFERO,EQ,29.0,29.5,29.5,29.5,,29.5,29.5,100,295000000.0,,,
1997-05-19,NAVBARFERO,EQ,29.5,29.7,29.7,29.7,,29.7,29.7,100,297000000.0,,,
1997-05-20,NAVBARFERO,EQ,29.7,29.5,29.9,29.4,,29.45,29.55,1000,2955000000.0,,,
1997-05-21,NAVBARFERO,EQ,29.45,29.5,29.9,29.5,,29.75,29.68,900,2671500000.0,,,
1997-05-22,NAVBARFERO,EQ,29.75,28.0,28.0,28.0,,28.0,28.0,1000,2800000000.0,,,
1997-05-23,NAVBARFERO,EQ,28.0,28.0,28.0,27.5,,27.75,27.85,500,1392500000.0,,,
1997-05-26,NAVBARFERO,EQ,27.75,27.0,27.0,26.6,,26.6,26.7,500,1335000000.0,,,
1997-05-27,NAVBARFERO,EQ,26.6,26.0,28.0,26.0,,27.85,27.27,900,2454000000.0,,,
1997-05-28,NAVBARFERO,EQ,27.85,29.0,29.0,29.0,,29.0,29.0,900,2610000000.0,,,
1997-06-06,NAVBARFERO,EQ,29.0,28.0,28.0,28.0,,28.0,28.0,500,1400000000.0,,,
1997-06-09,NAVBARFERO,EQ,28.0,28.0,28.0,28.0,,28.0,28.0,300,840000000.0,,,
1997-06-10,NAVBARFERO,EQ,28.0,27.5,27.5,27.5,,27.5,27.5,450,1237500000.0,,,
1997-06-11,NAVBARFERO,EQ,27.5,26.0,26.6,26.0,,26.6,26.42,500,1321000000.0,,,
1997-06-16,NAVBARFERO,EQ,26.6,26.5,26.5,25.75,,25.75,26.3,1600,4207500000.0,,,
1997-06-17,NAVBARFERO,EQ,25.75,25.75,27.0,25.75,,26.5,26.51,950,2518500000.0,,,
1997-06-18,NAVBARFERO,EQ,26.5,26.5,26.5,26.5,,26.5,26.5,200,530000000.0,,,
1997-06-19,NAVBARFERO,EQ,26.5,26.75,27.15,26.5,,27.15,26.62,3450,9184000000.0,,,
1997-06-20,NAVBARFERO,EQ,27.15,27.0,27.0,27.0,,27.0,27.0,1000,2700000000.0,,,
1997-06-23,NAVBARFERO,EQ,27.0,27.15,27.15,27.15,,27.15,27.15,100,271500000.0,,,
1997-06-24,NAVBARFERO,EQ,27.15,26.75,26.85,26.65,,26.85,26.74,1050,2807750000.0,,,
1997-06-25,NAVBARFERO,EQ,26.85,25.0,25.0,24.5,,25.0,24.73,1100,2720000000.0,,,
1997-06-26,NAVBARFERO,EQ,25.0,25.0,26.75,25.0,,26.75,25.96,800,2077000000.0,,,
1997-06-30,NAVBARFERO,EQ,26.75,25.5,25.5,25.0,,25.1,25.18,400,1007000000.0,,,
