Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-04-04,MID-DAY,EQ,45.8,47.05,47.05,40.15,40.15,43.8,43.56,6987,30434595000.0,,,
2001-04-06,MID-DAY,EQ,43.8,47.0,47.0,40.3,40.3,45.3,44.92,6425,28861275000.0,,,
2001-04-09,MID-DAY,EQ,45.3,41.7,41.7,41.7,41.7,41.7,41.7,25,104250000.0,,,
2001-04-10,MID-DAY,EQ,41.7,38.45,38.45,38.45,38.45,38.45,38.45,75,288375000.0,,,
2001-04-11,MID-DAY,EQ,38.45,35.4,35.4,35.4,35.4,35.4,35.4,201,711540000.0,,,
2001-04-12,MID-DAY,EQ,35.4,32.6,32.6,32.6,32.6,32.6,32.6,4500,14670000000.0,,,
2001-04-17,MID-DAY,EQ,32.6,35.2,35.2,35.15,35.2,35.2,35.19,823,2896460000.0,,,
2001-04-18,MID-DAY,EQ,35.2,35.2,38.0,35.2,37.8,37.8,36.74,3605,13246025000.0,,,
2001-04-19,MID-DAY,EQ,37.8,40.6,40.6,37.8,38.0,38.0,39.53,2055,8124185000.000001,,,
2001-04-20,MID-DAY,EQ,38.0,36.0,37.0,35.05,35.05,35.1,36.11,1397,5043985000.0,,,
2001-04-23,MID-DAY,EQ,35.1,36.95,37.85,36.95,37.85,37.85,37.59,550,2067575000.0,,,
2001-04-24,MID-DAY,EQ,37.85,37.85,39.4,35.6,39.4,39.4,38.72,1512,5854190000.0,,,
2001-04-25,MID-DAY,EQ,39.4,39.0,42.55,39.0,41.05,41.05,40.87,2362,9653300000.0,,,
2001-04-26,MID-DAY,EQ,41.05,43.9,44.35,39.55,39.55,39.55,41.86,2880,12056500000.0,,,
2001-04-27,MID-DAY,EQ,39.55,40.0,40.0,36.4,36.4,37.05,37.57,7966,29925245000.0,,,
2001-04-30,MID-DAY,EQ,37.05,36.55,36.55,34.3,34.3,34.3,35.07,490,1718450000.0,,,
2001-05-02,MID-DAY,EQ,34.3,35.25,35.25,31.65,31.65,31.65,35.18,51,179415000.0,,,
2001-05-03,MID-DAY,EQ,31.65,33.95,34.0,30.15,34.0,33.7,33.21,5010,16640704999.999998,,,
2001-05-04,MID-DAY,EQ,33.7,34.05,34.05,33.0,33.9,33.9,33.83,325,1099355000.0,,,
2001-05-07,MID-DAY,EQ,33.9,36.1,36.1,32.1,34.4,35.25,35.38,6625,23439250000.0,,,
2001-05-08,MID-DAY,EQ,35.25,34.0,35.3,33.1,33.1,33.1,33.86,5118,17328160000.0,,,
