Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,ONWARDTEC,EQ,130.0,130.0,131.25,128.25,,129.9,129.92,1000,12992000000.0,,,
1996-01-02,ONWARDTEC,EQ,129.9,129.9,130.0,128.5,,129.75,129.25,500,6462500000.0,,,
1996-01-03,ONWARDTEC,EQ,129.75,129.75,127.0,120.0,,124.7,124.14,900,11172500000.0,,,
1996-01-04,ONWARDTEC,EQ,124.7,120.0,120.0,120.0,,120.0,120.0,100,1200000000.0,,,
1996-01-05,ONWARDTEC,EQ,120.0,118.0,118.75,118.0,,118.75,118.38,200,2367500000.0,,,
1996-01-08,ONWARDTEC,EQ,118.75,119.0,119.0,110.0,,110.0,116.18,1100,12780000000.0,,,
1996-01-09,ONWARDTEC,EQ,110.0,110.0,111.0,110.0,,111.0,110.67,300,3320000000.0,,,
1996-01-10,ONWARDTEC,EQ,111.0,110.0,120.0,110.0,,111.0,113.64,1000,11364000000.0,,,
1996-01-12,ONWARDTEC,EQ,111.0,115.05,115.05,115.05,,115.05,115.05,200,2301000000.0,,,
1996-01-15,ONWARDTEC,EQ,115.05,116.0,126.5,116.0,,126.5,120.2,1100,13222500000.0,,,
1996-01-16,ONWARDTEC,EQ,126.5,126.5,130.0,123.25,,125.5,126.63,2000,25326500000.0,,,
1996-01-17,ONWARDTEC,EQ,125.5,125.5,122.7,117.75,,117.75,120.7,2400,28968000000.0,,,
1996-01-18,ONWARDTEC,EQ,117.75,117.75,116.0,110.25,,114.0,113.24,1400,15853000000.0,,,
1996-01-19,ONWARDTEC,EQ,114.0,116.0,116.0,116.0,,116.0,116.0,100,1160000000.0,,,
1996-01-22,ONWARDTEC,EQ,116.0,114.05,114.25,114.05,,114.15,114.12,300,3423500000.0,,,
1996-01-23,ONWARDTEC,EQ,114.15,120.5,120.5,108.25,,108.25,112.48,1100,12373000000.0,,,
1996-01-24,ONWARDTEC,EQ,108.25,108.0,108.0,106.1,,106.55,107.03,300,3211000000.0,,,
1996-01-29,ONWARDTEC,EQ,106.55,102.0,102.75,102.0,,102.75,102.38,200,2047500000.0,,,
1996-01-30,ONWARDTEC,EQ,102.75,103.0,105.0,100.0,,100.0,102.64,900,9237500000.0,,,
1996-01-31,ONWARDTEC,EQ,100.0,103.25,105.0,103.0,,105.0,104.61,1500,15691000000.0,,,
1996-02-01,ONWARDTEC,EQ,105.0,107.0,109.75,107.0,,109.75,107.92,300,3237500000.0,,,
1996-02-02,ONWARDTEC,EQ,109.75,111.0,111.0,111.0,,111.0,111.0,200,2220000000.0,,,
1996-02-05,ONWARDTEC,EQ,111.0,111.0,115.0,110.0,,110.0,112.0,300,3360000000.0,,,
1996-02-06,ONWARDTEC,EQ,110.0,112.0,115.0,112.0,,114.0,113.5,700,7945000000.0,,,
1996-02-07,ONWARDTEC,EQ,114.0,114.0,113.0,112.5,,113.0,112.83,300,3385000000.0,,,
1996-02-09,ONWARDTEC,EQ,113.0,115.0,115.0,114.0,,114.0,114.5,200,2290000000.0,,,
1996-02-12,ONWARDTEC,EQ,114.0,114.0,121.0,120.0,,120.35,120.29,700,8420000000.0,,,
1996-02-13,ONWARDTEC,EQ,120.35,117.0,117.0,117.0,,117.0,117.0,100,1170000000.0,,,
1996-02-14,ONWARDTEC,EQ,117.0,120.0,121.0,120.0,,121.0,120.2,500,6010000000.0,,,
1996-02-15,ONWARDTEC,EQ,121.0,121.0,122.0,120.0,,120.0,120.64,1600,19302000000.0,,,
1996-02-16,ONWARDTEC,EQ,120.0,120.25,123.0,120.25,,121.2,121.83,1500,18275000000.0,,,
1996-02-19,ONWARDTEC,EQ,121.2,123.0,123.0,119.0,,120.0,120.81,800,9664500000.0,,,
1996-02-20,ONWARDTEC,EQ,120.0,120.0,120.95,118.5,,118.5,119.57,800,9565500000.0,,,
1996-02-22,ONWARDTEC,EQ,118.5,118.5,122.5,118.5,,122.5,120.5,200,2410000000.0,,,
1996-02-23,ONWARDTEC,EQ,122.5,111.55,121.0,111.5,,121.0,117.33,600,7040000000.0,,,
1996-02-26,ONWARDTEC,EQ,121.0,122.5,123.0,122.5,,123.0,122.75,200,2455000000.0,,,
1996-02-27,ONWARDTEC,EQ,123.0,122.0,122.0,122.0,,122.0,122.0,100,1220000000.0,,,
1996-02-28,ONWARDTEC,EQ,122.0,118.0,118.0,118.0,,118.0,118.0,100,1180000000.0,,,
1996-02-29,ONWARDTEC,EQ,118.0,110.25,118.0,110.0,,110.0,112.31,400,4492500000.0,,,
1996-03-04,ONWARDTEC,EQ,110.0,110.0,110.0,107.5,,107.5,108.75,200,2175000000.0,,,
1996-03-06,ONWARDTEC,EQ,107.5,111.0,116.7,111.0,,116.7,113.85,200,2277000000.0,,,
1996-03-07,ONWARDTEC,EQ,116.7,116.7,117.0,115.5,,115.5,116.03,300,3481000000.0,,,
1996-03-08,ONWARDTEC,EQ,115.5,115.5,116.0,116.0,,116.0,116.0,100,1160000000.0,,,
1996-03-11,ONWARDTEC,EQ,116.0,114.0,114.0,114.0,,114.0,114.0,200,2280000000.0,,,
1996-03-12,ONWARDTEC,EQ,114.0,114.0,108.55,106.0,,108.5,107.54,800,8603000000.0,,,
1996-03-13,ONWARDTEC,EQ,108.5,103.0,106.0,103.0,,106.0,104.8,500,5240000000.0,,,
1996-03-15,ONWARDTEC,EQ,106.0,106.0,110.0,110.0,,110.0,110.0,200,2200000000.0,,,
1996-03-18,ONWARDTEC,EQ,110.0,110.0,121.0,106.0,,120.7,112.45,6500,73090000000.0,,,
1996-03-19,ONWARDTEC,EQ,120.7,120.7,122.0,109.0,,111.0,113.78,6200,70541000000.0,,,
1996-03-22,ONWARDTEC,EQ,111.0,109.0,109.0,105.0,,105.0,106.71,700,7470000000.0,,,
1996-03-26,ONWARDTEC,EQ,105.0,105.0,105.0,102.05,,105.0,102.9,800,8232000000.0,,,
1996-03-27,ONWARDTEC,EQ,105.0,105.0,105.5,104.0,,104.0,105.0,700,7350000000.0,,,
1996-03-28,ONWARDTEC,EQ,104.0,108.55,108.55,108.55,,108.55,108.55,100,1085500000.0,,,
1996-03-29,ONWARDTEC,EQ,108.55,108.55,108.4,104.0,,108.4,106.2,200,2124000000.0,,,
1996-04-01,ONWARDTEC,EQ,108.4,108.2,108.25,108.2,,108.25,108.23,300,3247000000.0,,,
1996-04-02,ONWARDTEC,EQ,108.25,108.25,108.25,106.0,,106.0,107.13,200,2142500000.0,,,
1996-04-03,ONWARDTEC,EQ,106.0,106.0,109.0,108.5,,109.0,108.83,300,3265000000.0,,,
1996-04-04,ONWARDTEC,EQ,109.0,109.0,109.0,108.0,,108.0,108.37,300,3251000000.0,,,
1996-04-09,ONWARDTEC,EQ,108.0,108.0,102.05,102.05,,102.05,102.05,100,1020500000.0,,,
1996-04-10,ONWARDTEC,EQ,102.05,102.05,107.7,105.0,,107.7,107.02,500,5351000000.0,,,
1996-04-11,ONWARDTEC,EQ,107.7,107.7,107.75,106.8,,106.8,107.36,500,5368000000.0,,,
1996-04-12,ONWARDTEC,EQ,106.8,106.8,108.0,108.0,,108.0,108.0,100,1080000000.0,,,
1996-04-15,ONWARDTEC,EQ,108.0,108.0,108.0,106.0,,107.75,107.54,700,7527500000.0,,,
1996-04-16,ONWARDTEC,EQ,107.75,107.75,108.5,108.0,,108.0,108.25,200,2165000000.0,,,
1996-04-17,ONWARDTEC,EQ,108.0,108.0,119.2,114.0,,119.2,117.02,900,10532000000.0,,,
