Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-12-11,PNC,EQ,155.0,160.0,169.5,147.1,167.0,165.15,159.22,100489,1599994475000.0,,,
2000-12-12,PNC,EQ,165.15,172.25,178.4,165.0,175.05,174.85,177.08,140827,2493718930000.0,,,
2000-12-13,PNC,EQ,174.85,179.5,188.0,165.0,169.7,169.8,174.89,126520,2212754370000.0,,,
2000-12-14,PNC,EQ,169.8,169.0,169.0,156.25,156.25,156.25,159.86,58849,940750410000.0,,,
2000-12-15,PNC,EQ,156.25,149.0,149.0,143.75,143.75,143.75,144.84,63069,913460180000.0001,,,
2000-12-18,PNC,EQ,143.75,132.3,143.75,132.25,140.9,140.1,138.41,129151,1787623735000.0002,,,
2000-12-19,PNC,EQ,140.1,142.0,142.0,128.9,128.9,128.9,132.14,74718,987288565000.0,,,
2000-12-20,PNC,EQ,128.9,126.0,136.75,121.1,131.7,132.15,131.33,69948,918661760000.0,,,
2000-12-21,PNC,EQ,132.15,126.0,130.0,121.6,121.6,122.05,124.88,61635,769691385000.0,,,
2000-12-22,PNC,EQ,122.05,118.0,124.0,112.3,112.3,112.3,116.11,44083,511855165000.00006,,,
2000-12-26,PNC,EQ,112.3,103.8,109.85,103.35,103.35,103.35,103.54,54653,565850940000.0,,,
2000-12-27,PNC,EQ,103.35,98.0,103.5,95.1,95.1,95.1,97.61,72940,711942240000.0,,,
2000-12-28,PNC,EQ,95.1,88.1,95.15,87.5,87.5,87.9,90.87,89761,815626320000.0,,,
2000-12-29,PNC,EQ,87.9,85.1,94.95,85.1,93.05,93.55,92.02,146000,1343488785000.0,,,
2001-01-01,PNC,EQ,93.55,93.9,94.5,87.55,89.7,89.25,91.85,88466,812556395000.0,,,
2001-01-02,PNC,EQ,89.25,83.25,91.7,83.25,86.35,86.3,87.06,64842,564499975000.0,,,
2001-01-03,PNC,EQ,86.3,80.4,89.55,80.4,84.45,84.8,86.22,41680,359358195000.0,,,
2001-01-04,PNC,EQ,84.8,88.8,91.0,83.0,84.0,83.95,86.39,37992,328212950000.0,,,
2001-01-05,PNC,EQ,83.95,83.4,83.4,78.2,80.0,79.1,80.48,57515,462864145000.0,,,
2001-01-08,PNC,EQ,79.1,77.4,78.9,72.8,72.8,72.8,75.32,43952,331066250000.0,,,
2001-01-09,PNC,EQ,72.8,70.1,70.1,67.0,67.0,67.15,67.95,68381,464627375000.0,,,
2001-01-10,PNC,EQ,67.15,67.1,72.55,67.1,71.0,71.2,71.32,66227,472299740000.00006,,,
2001-01-11,PNC,EQ,71.2,73.0,73.0,68.0,68.75,68.85,69.99,23388,163694405000.0,,,
2001-01-12,PNC,EQ,68.85,69.25,71.85,66.0,66.7,66.9,68.79,39294,270302385000.0,,,
2001-01-15,PNC,EQ,66.9,66.05,67.2,61.55,61.55,61.55,62.17,24161,150201675000.0,,,
2001-01-16,PNC,EQ,61.55,58.6,64.8,57.35,61.0,59.65,59.21,45385,268740235000.0,,,
2001-01-17,PNC,EQ,59.65,63.25,64.45,61.0,62.5,62.05,63.76,38275,244049485000.0,,,
2001-01-18,PNC,EQ,62.05,63.5,63.5,60.55,61.6,61.75,61.85,21024,130029920000.0,,,
2001-01-19,PNC,EQ,61.75,63.4,66.5,61.1,66.0,65.8,64.1,39441,252834770000.00003,,,
2001-01-22,PNC,EQ,65.8,68.0,71.1,65.0,68.0,68.55,67.53,46193,311936600000.0,,,
2001-01-23,PNC,EQ,68.55,66.75,67.45,64.7,65.1,66.0,65.9,23924,157650200000.0,,,
2001-01-24,PNC,EQ,66.0,69.25,69.25,66.1,66.85,67.05,67.35,15480,104251765000.0,,,
2001-01-25,PNC,EQ,67.05,62.0,66.5,62.0,64.35,63.9,64.44,10462,67419100000.0,,,
2001-01-29,PNC,EQ,63.9,63.9,63.9,59.55,61.0,60.85,60.94,7070,43081470000.0,,,
2001-01-30,PNC,EQ,60.85,61.0,62.0,58.15,59.4,59.35,60.49,16195,97956225000.0,,,
2001-01-31,PNC,EQ,59.35,60.1,62.2,60.0,62.0,61.7,61.27,7625,46720005000.0,,,
2001-02-01,PNC,EQ,61.7,60.2,62.3,59.5,60.2,60.85,61.0,4602,28074340000.000004,,,
2001-02-02,PNC,EQ,60.85,59.5,60.0,56.5,57.1,57.3,59.39,75317,447325834999.99994,,,
2001-02-05,PNC,EQ,57.3,56.0,57.2,55.4,55.45,55.65,56.43,15074,85060275000.0,,,
2001-02-06,PNC,EQ,55.65,55.15,55.5,53.05,53.05,53.4,53.87,10197,54930260000.0,,,
2001-02-07,PNC,EQ,53.4,53.8,55.7,53.8,54.0,54.1,54.8,4764,26104425000.0,,,
2001-02-08,PNC,EQ,54.1,53.25,54.0,52.4,53.0,53.0,53.02,2562,13583950000.0,,,
2001-02-09,PNC,EQ,53.0,53.2,53.2,50.55,51.5,51.05,51.33,6713,34461040000.0,,,
2001-02-12,PNC,EQ,51.05,50.05,50.9,47.0,48.0,47.9,47.78,7311,34930855000.0,,,
2001-02-13,PNC,EQ,47.9,47.95,51.75,45.8,51.75,51.75,50.23,24377,122434780000.0,,,
2001-02-14,PNC,EQ,51.75,52.8,55.9,52.6,55.9,55.9,54.83,28501,156266270000.0,,,
2001-02-15,PNC,EQ,55.9,57.0,57.9,53.5,53.6,53.8,55.81,22423,125151089999.99998,,,
2001-02-16,PNC,EQ,53.8,55.0,55.0,51.7,51.7,52.1,52.7,6977,36765745000.0,,,
2001-02-19,PNC,EQ,52.1,50.3,52.0,49.5,50.75,50.25,50.32,1996,10043875000.0,,,
2001-02-20,PNC,EQ,50.25,51.9,52.0,47.1,47.1,47.55,49.58,17707,87783780000.0,,,
2001-02-21,PNC,EQ,47.55,45.0,49.5,45.0,46.5,46.65,46.9,13345,62582915000.0,,,
2001-02-22,PNC,EQ,46.65,47.15,47.15,44.3,45.6,45.6,45.12,2624,11840050000.0,,,
2001-02-23,PNC,EQ,45.6,42.5,46.45,42.5,43.75,42.65,43.44,3188,13848810000.0,,,
2001-02-26,PNC,EQ,42.65,44.9,44.9,39.25,39.5,39.8,40.16,4852,19486865000.0,,,
2001-02-27,PNC,EQ,39.8,37.1,39.65,36.65,36.65,36.65,37.27,9307,34683130000.0,,,
2001-02-28,PNC,EQ,36.65,38.0,39.45,37.5,39.45,39.45,39.08,4660,18210850000.0,,,
2001-03-01,PNC,EQ,39.45,42.0,42.65,38.1,39.0,38.55,41.05,6426,26380140000.000004,,,
2001-03-02,PNC,EQ,38.55,38.0,38.0,35.55,35.55,36.6,37.26,2885,10749325000.0,,,
2001-03-05,PNC,EQ,36.6,33.8,33.8,33.7,33.7,33.7,33.71,1311,4419370000.0,,,
2001-03-07,PNC,EQ,33.7,35.0,35.9,32.0,33.85,33.85,33.97,1548,5258375000.0,,,
2001-03-08,PNC,EQ,33.85,33.95,36.0,33.0,34.0,35.3,33.67,7522,25323575000.0,,,
2001-03-09,PNC,EQ,35.3,33.0,33.0,32.5,32.5,32.5,32.53,1085,3529250000.0,,,
2001-03-12,PNC,EQ,32.5,32.4,33.9,29.9,29.9,29.9,30.23,5725,17307650000.0,,,
2001-03-13,PNC,EQ,29.9,27.55,29.7,27.55,28.0,28.0,27.75,3185,8839900000.0,,,
2001-03-14,PNC,EQ,28.0,25.85,27.75,25.8,26.75,26.8,26.69,2200,5872775000.0,,,
2001-03-15,PNC,EQ,26.8,26.0,28.9,25.5,28.9,27.15,26.54,3066,8138375000.0,,,
2001-03-16,PNC,EQ,27.15,29.1,29.25,26.5,27.0,27.0,27.96,3105,8680100000.0,,,
2001-03-19,PNC,EQ,27.0,25.6,26.9,25.0,26.5,26.4,25.65,7185,18431525000.0,,,
2001-03-20,PNC,EQ,26.4,25.1,25.85,24.3,25.3,24.65,24.61,4057,9983460000.0,,,
2001-03-21,PNC,EQ,24.65,24.0,25.0,24.0,24.15,24.15,24.39,267,651325000.0,,,
2001-03-22,PNC,EQ,24.15,25.25,26.1,24.0,25.2,24.05,25.1,2223,5580195000.0,,,
2001-03-23,PNC,EQ,24.05,24.0,24.7,22.15,23.5,23.35,23.43,2077,4866165000.0,,,
2001-03-26,PNC,EQ,23.35,23.0,25.25,21.5,25.25,25.2,24.24,1635,3962950000.0,,,
2001-03-27,PNC,EQ,25.2,23.4,24.9,23.2,23.2,23.3,23.54,4136,9735855000.0,,,
2001-03-28,PNC,EQ,23.3,24.85,25.2,24.05,24.85,24.65,24.84,3295,8185175000.0,,,
2001-03-29,PNC,EQ,24.65,24.95,25.15,23.0,24.8,24.8,24.08,1905,4587345000.0,,,
2001-03-30,PNC,EQ,24.8,23.05,24.6,23.05,24.0,24.0,24.02,429,1030320000.0000001,,,
2001-04-02,PNC,EQ,24.0,22.1,22.95,22.1,22.2,22.3,22.33,840,1875720000.0,,,
2001-04-03,PNC,EQ,22.3,22.2,22.25,20.8,22.0,21.6,21.47,1320,2834525000.0,,,
2001-04-04,PNC,EQ,21.6,20.65,21.4,19.9,19.9,20.35,20.4,873,1781065000.0000002,,,
2001-04-06,PNC,EQ,20.35,20.5,20.55,19.15,20.5,20.5,19.96,850,1696440000.0000002,,,
2001-04-09,PNC,EQ,20.5,20.45,20.95,19.75,20.5,19.85,20.03,1282,2567520000.0,,,
2001-04-10,PNC,EQ,19.85,19.05,19.1,18.25,18.5,18.3,18.51,3051,5646405000.0,,,
2001-04-11,PNC,EQ,18.3,18.25,18.45,17.05,17.5,17.5,17.61,405,713275000.0,,,
2001-04-12,PNC,EQ,17.5,16.85,18.5,15.65,15.65,15.85,16.52,710,1172600000.0,,,
2001-04-16,PNC,EQ,15.85,17.8,17.8,15.6,17.65,17.25,16.29,3371,5490300000.0,,,
2001-04-17,PNC,EQ,17.25,17.65,18.3,17.0,17.4,17.55,17.33,1828,3168820000.0,,,
2001-04-18,PNC,EQ,17.55,19.05,21.95,18.45,21.8,21.8,20.45,6953,14216190000.0,,,
2001-04-19,PNC,EQ,21.8,23.0,23.55,21.9,23.55,23.55,23.24,8205,19070495000.0,,,
2001-04-20,PNC,EQ,23.55,25.0,25.0,21.7,21.7,21.7,22.5,6854,15422275000.0,,,
2001-04-23,PNC,EQ,21.7,21.0,23.0,21.0,22.5,22.7,22.46,2195,4930225000.0,,,
2001-04-24,PNC,EQ,22.7,21.55,24.0,21.55,23.6,23.6,23.25,4491,10441840000.0,,,
2001-04-25,PNC,EQ,23.6,25.4,25.5,24.05,25.1,25.45,25.27,5962,15067490000.0,,,
2001-04-26,PNC,EQ,25.45,24.2,25.0,23.45,23.45,23.65,24.2,7418,17951475000.0,,,
2001-04-27,PNC,EQ,23.65,22.1,23.5,21.8,21.8,21.8,22.39,3375,7556475000.0,,,
2001-04-30,PNC,EQ,21.8,21.9,23.55,21.4,23.05,23.35,22.95,9545,21903265000.0,,,
2001-05-02,PNC,EQ,23.35,25.25,25.25,25.25,25.25,25.25,25.25,475,1199375000.0,,,
2001-05-03,PNC,EQ,25.25,27.3,27.3,26.55,27.3,27.3,27.29,21898,59759165000.0,,,
2001-05-04,PNC,EQ,27.3,29.4,29.5,27.75,29.5,29.5,28.84,16640,47997020000.0,,,
2001-05-07,PNC,EQ,29.5,31.5,31.9,30.1,31.9,31.9,31.56,5306,16747929999.999998,,,
2001-05-08,PNC,EQ,31.9,33.95,34.45,32.0,34.45,34.45,33.95,32425,110074455000.0,,,
2001-05-09,PNC,EQ,34.45,37.2,37.25,35.9,37.25,37.25,36.74,20667,75933205000.0,,,
2001-05-10,PNC,EQ,37.25,37.25,39.75,34.3,34.3,34.3,34.9,22563,78753245000.0,,,
2001-05-11,PNC,EQ,34.3,32.2,33.8,31.6,32.75,33.15,32.37,21236,68748685000.0,,,
2001-05-14,PNC,EQ,33.15,31.35,33.25,31.35,32.8,33.05,32.79,11505,37725550000.0,,,
