Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-06-17,PRIMESECU,EQ,5.0,28.1,35.2,26.25,32.2,32.7,32.23,9101589,29334204795000.0,,1242469,0.1365
2005-06-20,PRIMESECU,EQ,32.7,33.0,33.0,29.15,29.25,29.55,31.07,1548164,4810376140000.0,,406387,0.2625
2005-06-21,PRIMESECU,EQ,29.55,31.0,34.5,29.5,32.35,32.3,32.37,1825044,5908382425000.0,,469605,0.25730000000000003
2005-06-22,PRIMESECU,EQ,32.3,32.55,33.85,31.35,33.1,32.6,32.77,1506865,4937347920000.0,,387875,0.25739999999999996
2005-06-23,PRIMESECU,EQ,32.6,33.1,37.45,32.2,36.65,36.75,35.84,6099760,21861995700000.0,,814810,0.1336
2005-06-24,PRIMESECU,EQ,36.75,37.0,38.35,35.6,35.7,35.95,37.13,3123109,11596868930000.0,,539875,0.1729
2005-06-27,PRIMESECU,EQ,35.95,34.4,37.15,34.4,35.0,34.75,35.79,903096,3232202225000.0,,303904,0.33649999999999997
2005-06-28,PRIMESECU,EQ,34.75,35.05,41.2,34.4,38.6,39.4,38.54,6413387,24714108625000.0,,1351318,0.2107
2005-06-29,PRIMESECU,EQ,39.4,42.0,42.9,37.2,37.7,37.55,38.53,1797881,6927756775000.0,,481562,0.26780000000000004
2005-06-30,PRIMESECU,EQ,37.55,37.65,37.9,36.0,36.2,36.2,36.98,539576,1995360545000.0,,220012,0.40770000000000006
2005-07-01,PRIMESECU,EQ,36.2,36.5,37.85,35.65,36.1,36.5,36.85,677439,2496329965000.0,,122821,0.1813
2005-07-04,PRIMESECU,EQ,36.5,36.75,37.6,36.15,37.2,37.0,36.95,427936,1581325885000.0,,195141,0.456
2005-07-05,PRIMESECU,EQ,37.0,37.2,37.75,34.0,35.4,35.05,36.05,274545,989744665000.0,,119061,0.4337
2005-07-06,PRIMESECU,EQ,35.05,35.6,36.0,34.5,34.75,34.95,35.19,209019,735469000000.0,,94985,0.45439999999999997
2005-07-07,PRIMESECU,EQ,34.95,34.25,37.2,34.25,34.65,34.65,35.79,623146,2230513030000.0,,185768,0.2981
2005-07-08,PRIMESECU,EQ,34.65,35.0,36.25,35.0,35.5,35.4,35.62,369768,1316975925000.0,,163765,0.4429
2005-07-11,PRIMESECU,EQ,35.4,35.5,36.9,35.5,36.1,36.05,36.21,366151,1325811920000.0,,173330,0.47340000000000004
2005-07-12,PRIMESECU,EQ,36.05,36.25,36.3,34.75,35.05,35.0,35.33,167955,593457925000.0,,91426,0.5443
2005-07-13,PRIMESECU,EQ,35.0,35.1,36.95,34.85,35.1,35.1,35.54,136928,486690605000.0,,74920,0.5471
2005-07-14,PRIMESECU,EQ,35.1,35.15,35.8,34.0,34.4,34.4,34.88,171220,597213535000.0,,101713,0.594
2005-07-15,PRIMESECU,EQ,34.4,34.6,34.95,34.05,34.5,34.55,34.55,83981,290114660000.0,,59915,0.7134
2005-07-18,PRIMESECU,EQ,34.55,34.5,35.9,34.5,35.4,35.5,35.43,177916,630330180000.0,,101871,0.5726
2005-07-19,PRIMESECU,EQ,35.5,36.0,36.75,35.3,35.8,35.6,35.93,172819,620901060000.0,,89899,0.5202
2005-07-20,PRIMESECU,EQ,35.6,36.75,37.35,36.0,36.05,36.25,36.53,380872,1391247045000.0,,242777,0.6374000000000001
2005-07-21,PRIMESECU,EQ,36.25,36.55,41.8,36.5,41.6,41.05,39.94,1732537,6920540005000.0,,542469,0.3131
2005-07-22,PRIMESECU,EQ,41.05,42.0,43.6,41.0,41.1,41.35,42.23,949855,4010795815000.0,,371510,0.3911
2005-07-25,PRIMESECU,EQ,41.35,41.75,42.6,39.9,41.0,40.75,41.4,506652,2097353020000.0,,200382,0.39549999999999996
2005-07-26,PRIMESECU,EQ,40.75,41.1,42.2,39.55,40.4,40.5,40.92,325096,1330167125000.0,,139657,0.42960000000000004
2005-07-27,PRIMESECU,EQ,40.5,41.2,42.0,40.45,41.65,41.5,41.17,150431,619297230000.0,,87193,0.5796
2005-07-29,PRIMESECU,EQ,41.5,42.4,44.6,40.7,41.5,41.85,42.66,817982,3489352765000.0,,328088,0.4011
2005-08-01,PRIMESECU,EQ,41.85,42.35,42.35,40.1,40.25,40.6,41.05,239409,982724455000.0001,,106847,0.44630000000000003
2005-08-02,PRIMESECU,EQ,40.6,40.95,41.2,39.85,40.2,40.25,40.73,216430,881567944999.9999,,111409,0.5147999999999999
