Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-09-20,RAMANEWS,EQ,10.0,11.25,11.25,11.25,11.25,11.25,11.25,6041,6796125000.0,,6041,1.0
2006-09-21,RAMANEWS,EQ,11.25,13.5,13.5,13.5,13.5,13.5,13.5,3842,5186700000.0,,3842,1.0
2006-09-22,RAMANEWS,EQ,13.5,16.2,16.2,16.2,16.2,16.2,16.2,18179,29449980000.0,,18179,1.0
2006-09-25,RAMANEWS,EQ,16.2,19.45,19.45,19.45,19.45,19.45,19.45,17253,33557084999.999996,,17253,1.0
2006-09-26,RAMANEWS,EQ,19.45,23.35,23.35,23.35,23.35,23.35,23.35,15722,36710870000.0,,15722,1.0
2006-09-27,RAMANEWS,EQ,23.35,28.05,28.05,28.05,28.05,28.05,28.05,7732,21688260000.0,,7732,1.0
2006-09-28,RAMANEWS,EQ,28.05,33.7,33.7,33.7,33.7,33.7,33.7,8929,30090730000.0,,8929,1.0
2006-09-29,RAMANEWS,EQ,33.7,40.45,40.45,40.4,40.45,40.45,40.45,64593,261265829999.99997,,64585,0.9999
2006-10-03,RAMANEWS,EQ,40.45,46.4,48.55,42.0,48.55,48.55,47.16,1216643,5738035025000.0,,383671,0.3154
2006-10-04,RAMANEWS,EQ,48.55,51.0,58.3,50.0,55.25,56.4,54.17,7368856,39916563160000.0,,853797,0.1159
2006-10-05,RAMANEWS,EQ,56.4,53.5,58.2,51.6,53.15,53.05,53.67,3862327,20727405275000.0,,574874,0.14880000000000002
2006-10-06,RAMANEWS,EQ,53.05,53.0,53.0,48.65,48.95,49.15,49.76,1510261,7514403645000.0,,271682,0.17989999999999998
2006-10-09,RAMANEWS,EQ,49.15,46.1,49.7,43.05,47.3,47.15,47.06,741162,3487610335000.0,,182594,0.2464
2006-10-10,RAMANEWS,EQ,47.15,47.0,55.3,45.55,53.25,53.85,53.06,4054526,21511596510000.0,,475649,0.1173
2006-10-11,RAMANEWS,EQ,53.85,54.4,54.4,50.35,50.95,50.95,52.36,1125460,5893170185000.0,,268518,0.2386
2006-10-12,RAMANEWS,EQ,50.95,51.5,52.5,50.75,52.05,51.9,51.54,557110,2871421630000.0,,158849,0.2851
2006-10-13,RAMANEWS,EQ,51.9,52.5,53.0,51.25,51.5,51.5,52.04,662073,3445650685000.0,,194486,0.2938
2006-10-16,RAMANEWS,EQ,51.5,52.5,53.5,50.3,50.45,50.6,51.6,508611,2624294850000.0,,173520,0.3412
2006-10-17,RAMANEWS,EQ,50.6,48.05,50.0,47.9,48.7,48.35,48.43,268015,1298100140000.0,,94867,0.354
2006-10-18,RAMANEWS,EQ,48.35,48.65,48.65,46.0,46.3,46.55,46.96,271282,1274050085000.0,,97710,0.3602
2006-10-19,RAMANEWS,EQ,46.55,46.3,47.5,46.0,46.6,46.35,46.61,172746,805126930000.0,,76244,0.4414
2006-10-20,RAMANEWS,EQ,46.35,47.0,47.35,46.3,46.4,46.45,46.65,70623,329430720000.0,,36814,0.5213
2006-10-21,RAMANEWS,EQ,46.45,46.9,47.2,46.55,46.6,46.75,46.84,29330,137391760000.00002,,16964,0.5784
2006-10-23,RAMANEWS,EQ,46.75,46.0,46.7,45.05,45.5,45.4,45.58,91220,415781975000.0,,52723,0.578
2006-10-26,RAMANEWS,EQ,45.4,45.9,46.95,45.25,45.8,45.85,46.06,81032,373222650000.0,,48938,0.6039
2006-10-27,RAMANEWS,EQ,45.85,45.9,46.0,45.1,45.55,45.4,45.57,74175,337984335000.0,,49831,0.6718000000000001
2006-10-30,RAMANEWS,EQ,45.4,45.0,46.2,44.05,45.4,45.75,45.42,103083,468158130000.0,,64372,0.6245
2006-10-31,RAMANEWS,EQ,45.75,46.9,46.9,44.7,45.6,45.15,45.27,112970,511375075000.0,,75700,0.6701
2006-11-01,RAMANEWS,EQ,45.15,46.0,47.0,44.3,45.7,45.65,45.67,81218,370957690000.0,,42298,0.5208
2006-11-02,RAMANEWS,EQ,45.65,45.35,46.45,45.0,45.5,45.45,45.65,61818,282205925000.0,,42147,0.6818000000000001
2006-11-03,RAMANEWS,EQ,45.45,44.8,46.3,44.8,45.4,45.45,45.52,101002,459719600000.0,,49876,0.4938
2006-11-06,RAMANEWS,EQ,45.45,45.45,45.95,45.0,45.2,45.05,45.17,46645,210672335000.0,,32996,0.7073999999999999
2006-11-07,RAMANEWS,EQ,45.05,45.1,46.75,44.5,44.95,44.95,45.57,119876,546220455000.0,,42351,0.3533
2006-11-08,RAMANEWS,EQ,44.95,44.1,45.4,43.75,44.15,44.0,44.3,58364,258556785000.0,,38639,0.662
2006-11-09,RAMANEWS,EQ,44.0,43.75,44.8,43.75,44.15,44.0,44.08,44842,197665570000.0,,33548,0.7481
2006-11-10,RAMANEWS,EQ,44.0,43.8,44.4,42.25,43.5,43.55,43.42,70181,304727895000.0,,46928,0.6687000000000001
2006-11-13,RAMANEWS,EQ,43.55,44.0,44.5,43.15,43.5,43.4,43.74,76010,332445755000.0,,36541,0.4807
2006-11-14,RAMANEWS,EQ,43.4,35.05,44.0,35.05,42.9,42.7,42.53,39766,169131080000.0,,25666,0.6454000000000001
2006-11-15,RAMANEWS,EQ,42.7,42.15,42.7,42.0,42.25,42.25,42.19,66372,280010755000.0,,52096,0.7848999999999999
2006-11-16,RAMANEWS,EQ,42.25,42.3,44.0,41.1,42.5,42.3,42.78,73209,313168700000.0,,37499,0.5122
2006-11-17,RAMANEWS,EQ,42.3,41.55,42.9,40.75,41.4,41.2,41.73,54916,229163075000.0,,41893,0.7629000000000001
2006-11-20,RAMANEWS,EQ,41.2,42.0,42.0,39.45,40.3,40.45,40.42,40659,164340325000.0,,22187,0.5457
2006-11-21,RAMANEWS,EQ,40.45,33.25,41.5,33.25,40.6,40.75,40.65,46824,190336115000.0,,27674,0.5910000000000001
2006-11-22,RAMANEWS,EQ,40.75,40.7,44.0,40.6,41.55,41.8,42.12,103731,436881915000.00006,,57316,0.5525
2006-11-23,RAMANEWS,EQ,41.8,41.7,42.5,41.5,41.95,41.85,42.02,45676,191951075000.0,,28548,0.625
2006-11-24,RAMANEWS,EQ,41.85,42.8,42.8,41.25,42.5,42.2,42.23,35838,151344305000.0,,26912,0.7509
2006-11-27,RAMANEWS,EQ,42.2,42.55,43.55,41.75,43.0,43.05,42.97,88718,381211590000.0,,57375,0.6467
2006-11-28,RAMANEWS,EQ,43.05,42.9,44.7,41.3,42.5,42.7,43.33,102518,444258055000.0,,47986,0.4681
2006-11-29,RAMANEWS,EQ,42.7,43.7,43.9,42.25,42.4,42.65,42.68,59632,254536290000.0,,33610,0.5636
2006-11-30,RAMANEWS,EQ,42.65,42.05,42.5,41.8,41.8,41.9,42.15,38775,163423635000.0,,26641,0.6870999999999999
2006-12-01,RAMANEWS,EQ,41.9,42.65,43.8,40.8,41.95,42.15,42.38,96977,410975500000.0,,51355,0.5296000000000001
2006-12-04,RAMANEWS,EQ,42.15,41.7,42.4,41.25,41.25,41.45,41.58,35971,149550580000.0,,27382,0.7612000000000001
2006-12-05,RAMANEWS,EQ,41.45,41.9,42.25,41.2,41.5,41.45,41.58,50167,208590130000.0,,35004,0.6977
2006-12-06,RAMANEWS,EQ,41.45,41.2,41.75,40.5,40.55,40.65,41.18,47959,197477875000.0,,36850,0.7684000000000001
2006-12-07,RAMANEWS,EQ,40.65,40.65,41.65,40.05,41.0,40.5,40.46,39804,161049925000.0,,24129,0.6062
2006-12-08,RAMANEWS,EQ,40.5,40.5,40.85,40.05,40.4,40.25,40.23,38201,153678495000.0,,28645,0.7498
2006-12-11,RAMANEWS,EQ,40.25,40.0,40.0,38.55,39.5,39.5,39.49,54806,216436295000.00003,,44730,0.8162
2006-12-12,RAMANEWS,EQ,39.5,39.5,40.0,37.9,39.95,39.6,39.32,161772,636116315000.0,,139014,0.8593000000000001
2006-12-13,RAMANEWS,EQ,39.6,37.5,39.95,37.5,39.75,39.75,39.37,26092,102737220000.0,,22250,0.8528
2006-12-14,RAMANEWS,EQ,39.75,40.7,40.7,39.5,39.75,39.75,39.79,21851,86934545000.0,,19186,0.878
