Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-14,REPL,EQ,96.0,100.8,100.8,97.55,100.75,99.85,100.39,22756,228442560000.0,255,14052,0.6175
2020-12-15,REPL,EQ,99.85,103.95,104.45,97.05,97.05,98.65,102.41,12812,131202410000.00002,155,8407,0.6562
2020-12-16,REPL,EQ,98.65,102.95,102.95,97.15,99.4,101.6,101.4,4424,44860545000.0,41,4301,0.9722000000000001
2020-12-17,REPL,EQ,101.6,103.7,106.65,101.0,106.65,106.55,105.93,32755,346965535000.0,198,26938,0.8224
2020-12-18,REPL,EQ,106.55,111.0,111.85,108.6,110.0,111.0,111.59,50677,565487940000.0,169,43628,0.8609
2020-12-21,REPL,EQ,111.0,114.0,115.9,105.45,106.0,107.7,111.22,30218,336099295000.0,233,26548,0.8785
2020-12-22,REPL,EQ,107.7,107.0,113.05,102.35,108.0,109.25,108.55,30971,336187005000.0,134,21916,0.7076000000000001
2020-12-23,REPL,EQ,109.25,112.95,114.7,110.0,114.65,114.65,114.15,25761,294068775000.0,125,22613,0.8778
2020-12-24,REPL,EQ,114.65,118.85,119.75,111.3,112.0,112.15,115.24,3864,44530360000.0,88,2824,0.7308
2020-12-28,REPL,EQ,112.15,116.95,116.95,112.3,112.6,113.05,113.11,5730,64811675000.0,59,4055,0.7077
2020-12-29,REPL,EQ,113.05,112.0,117.35,107.55,111.2,112.9,111.56,109837,1225381255000.0,173,106350,0.9683
2020-12-30,REPL,EQ,112.9,114.95,115.05,109.0,109.25,110.35,112.09,13874,155509880000.0,204,11365,0.8192
2020-12-31,REPL,EQ,110.35,111.05,115.5,110.05,113.95,113.5,113.71,18347,208619285000.0,212,15972,0.8706
2021-01-01,REPL,EQ,113.5,115.55,118.9,112.3,117.05,118.05,117.51,19305,226848429999.99997,137,17474,0.9052
2021-01-04,REPL,EQ,118.05,119.9,123.8,117.35,120.0,120.3,120.3,30530,367269320000.0,199,25328,0.8296
2021-01-05,REPL,EQ,120.3,122.45,122.5,116.5,120.0,119.9,120.25,49291,592728575000.0,162,46340,0.9401
2021-01-06,REPL,EQ,119.9,122.45,122.95,118.7,122.95,121.95,121.03,33440,404707715000.0,164,30730,0.919
2021-01-07,REPL,EQ,121.95,124.6,128.0,121.55,128.0,128.0,127.3,30971,394250685000.0,166,26844,0.8667
2021-01-08,REPL,EQ,128.0,134.0,134.4,131.95,134.4,134.4,134.05,23901,320384170000.0,212,22356,0.9354000000000001
2021-01-11,REPL,EQ,134.4,140.9,141.1,136.65,141.1,141.1,140.62,28484,400552035000.0,216,25665,0.9009999999999999
2021-01-12,REPL,EQ,141.1,144.8,147.9,140.15,145.0,145.45,143.63,21049,302317270000.0,203,17404,0.8268000000000001
2021-01-13,REPL,EQ,145.45,150.0,152.0,142.85,147.5,144.7,148.02,22958,339828515000.0,301,15995,0.6967
2021-01-14,REPL,EQ,144.7,148.05,149.95,140.25,142.2,141.25,142.9,14736,210576445000.00003,255,11298,0.7667
2021-01-15,REPL,EQ,141.25,135.25,144.4,135.25,141.5,140.9,139.66,5677,79285970000.0,150,3775,0.665
2021-01-18,REPL,EQ,140.9,147.0,147.8,136.0,136.4,136.3,138.77,9265,128571460000.00002,146,7086,0.7648
2021-01-19,REPL,EQ,136.3,142.95,142.95,136.6,137.15,137.45,138.09,3919,54118215000.0,104,2315,0.5907
