Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-01,SETCO,EQ,52.85,54.35,55.05,50.25,50.5,50.55,51.92,225900,1172946965000.0,3208,121050,0.5359
2016-07-04,SETCO,EQ,50.55,52.95,52.95,50.5,51.1,51.3,51.44,87379,449491275000.0,456,53712,0.6147
2016-07-05,SETCO,EQ,51.3,50.8,51.15,49.15,49.4,49.5,49.94,62947,314374065000.0,405,45519,0.7231000000000001
2016-07-07,SETCO,EQ,49.5,48.25,50.45,48.25,48.6,48.75,49.18,48674,239354404999.99997,284,34499,0.7088
2016-07-08,SETCO,EQ,48.75,49.75,50.0,48.4,49.5,49.3,49.2,43894,215961800000.0,275,30173,0.6874
2016-07-11,SETCO,EQ,49.3,49.5,53.5,49.2,49.75,49.7,51.79,729817,3779626070000.0005,8224,326925,0.44799999999999995
2016-07-12,SETCO,EQ,49.7,50.95,50.95,48.25,48.25,48.65,49.09,93810,460541965000.00006,677,61723,0.658
2016-07-13,SETCO,EQ,48.65,49.45,49.45,48.0,48.75,48.35,48.49,68089,330193685000.0,558,38488,0.5653
2016-07-14,SETCO,EQ,48.35,48.7,48.7,47.7,47.7,47.95,48.18,60607,292005630000.0,330,49233,0.8123
2016-07-15,SETCO,EQ,47.95,47.25,48.0,45.8,45.9,45.9,46.34,94813,439398020000.0,558,63861,0.6735
2016-07-18,SETCO,EQ,45.9,46.4,46.5,45.25,45.65,45.75,45.9,65898,302491770000.0,407,43228,0.6559999999999999
2016-07-19,SETCO,EQ,45.75,47.4,50.9,45.8,48.75,48.75,48.94,305653,1495737385000.0,1637,142004,0.4646
2016-07-20,SETCO,EQ,48.75,49.0,50.45,48.5,48.9,48.7,49.55,396982,1966960660000.0002,1863,218225,0.5497
2016-07-21,SETCO,EQ,48.7,49.15,49.3,46.55,48.0,47.4,48.33,75492,364881785000.0,528,51698,0.6848000000000001
2016-07-22,SETCO,EQ,47.4,48.0,49.5,47.5,49.1,49.1,48.88,94207,460479134999.99994,675,57162,0.6068
2016-07-25,SETCO,EQ,49.1,49.95,52.0,48.0,50.55,50.6,50.28,516527,2596839505000.0,2437,331379,0.6416
2016-07-26,SETCO,EQ,50.6,51.25,51.25,49.0,49.0,49.55,50.21,133457,670047775000.0,1013,93005,0.6969
2016-07-27,SETCO,EQ,49.55,50.4,50.4,48.5,48.55,48.65,49.2,72079,354663515000.0,596,47850,0.6639
2016-07-28,SETCO,EQ,48.65,48.95,49.7,48.1,49.15,48.95,48.97,72362,354392710000.0,672,44036,0.6086
2016-07-29,SETCO,EQ,48.95,49.0,49.5,47.65,49.0,48.5,48.6,58480,284210865000.0,551,35357,0.6046
2016-08-01,SETCO,EQ,48.5,49.7,50.2,48.55,50.0,49.55,49.6,134713,668143350000.0,1017,91182,0.6769
2016-08-02,SETCO,EQ,49.55,49.8,53.95,49.15,50.3,50.1,51.56,811726,4184897635000.0,6551,503728,0.6206
2016-08-03,SETCO,EQ,50.1,50.4,52.65,49.35,49.6,50.05,50.76,1220808,6197237345000.0,5125,519194,0.4253
2016-08-04,SETCO,EQ,50.05,50.45,50.7,49.1,49.95,50.0,50.07,254495,1274156820000.0,1363,155146,0.6096
2016-08-05,SETCO,EQ,50.0,50.4,50.9,49.75,50.9,50.5,50.36,487165,2453151090000.0,1208,268681,0.5515
2016-08-08,SETCO,EQ,50.5,51.0,51.4,49.2,49.9,49.7,50.24,356998,1793562980000.0,1251,184420,0.5166
2016-08-09,SETCO,EQ,49.7,50.75,50.95,48.6,49.85,50.0,50.17,152216,763687885000.0,873,94279,0.6194
2016-08-10,SETCO,EQ,50.0,50.3,52.55,49.5,49.7,49.85,50.7,1902953,9647203750000.0,6466,784029,0.41200000000000003
2016-08-11,SETCO,EQ,49.85,50.15,50.5,44.15,45.35,45.2,46.48,630873,2932197830000.0,3695,402543,0.6381
2016-08-12,SETCO,EQ,45.2,43.2,44.9,42.0,44.0,44.1,43.48,322537,1402454820000.0,3279,190267,0.5899
2016-08-16,SETCO,EQ,44.1,43.6,44.5,41.9,43.05,42.9,42.7,131028,559451795000.0,1426,77591,0.5922
2016-08-17,SETCO,EQ,42.9,42.9,44.5,42.0,43.95,43.5,43.22,167323,723225880000.0,1682,88187,0.527
2016-08-18,SETCO,EQ,43.5,44.45,47.2,44.0,46.5,45.6,45.9,285458,1310293705000.0,1842,172654,0.6048
2016-08-19,SETCO,EQ,45.6,47.0,47.0,45.7,46.0,45.95,46.32,114492,530369634999.99994,804,66633,0.5820000000000001
2016-08-22,SETCO,EQ,45.95,46.4,47.95,45.2,45.5,45.55,46.25,176147,814625360000.0,2486,99951,0.5674
2016-08-23,SETCO,EQ,45.55,45.45,46.4,45.3,45.45,45.55,45.81,95261,436426755000.0,855,53478,0.5614
2016-08-24,SETCO,EQ,45.55,45.55,46.3,44.55,45.85,45.9,45.73,82900,379063555000.0,823,60464,0.7293999999999999
2016-08-25,SETCO,EQ,45.9,45.85,47.1,45.55,45.75,45.8,46.26,74763,345831025000.0,836,44867,0.6001
2016-08-26,SETCO,EQ,45.8,45.8,46.5,45.25,45.6,45.6,45.75,40573,185623875000.0,398,24725,0.6093999999999999
2016-08-29,SETCO,EQ,45.6,45.2,45.8,44.3,45.1,44.8,44.83,20465,91745465000.0,299,11515,0.5627000000000001
2016-08-30,SETCO,EQ,44.8,44.7,47.6,44.3,45.0,45.1,45.72,529649,2421434925000.0,4293,266122,0.5024000000000001
2016-08-31,SETCO,EQ,45.1,45.0,45.45,44.35,44.4,44.5,44.83,83945,376348475000.0,710,67689,0.8063
