Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,SIYARSILK,EQ,50.0,50.0,50.0,50.0,,50.0,50.0,100,500000000.0,,,
1996-01-03,SIYARSILK,EQ,50.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-01-08,SIYARSILK,EQ,54.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-01-19,SIYARSILK,EQ,54.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-01-22,SIYARSILK,EQ,54.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-01-23,SIYARSILK,EQ,54.0,55.5,55.5,55.5,,55.5,55.5,100,555000000.0,,,
1996-02-14,SIYARSILK,EQ,55.5,51.5,51.5,51.5,,51.5,51.5,100,515000000.0,,,
1996-02-16,SIYARSILK,EQ,51.5,52.0,52.0,52.0,,52.0,52.0,100,520000000.0,,,
1996-02-20,SIYARSILK,EQ,52.0,52.0,52.0,52.0,,52.0,52.0,100,520000000.0,,,
1996-03-08,SIYARSILK,EQ,52.0,51.0,51.0,49.0,,49.0,49.75,400,1990000000.0,,,
1996-03-11,SIYARSILK,EQ,49.0,48.0,48.0,48.0,,48.0,48.0,300,1440000000.0,,,
1996-03-12,SIYARSILK,EQ,48.0,48.5,48.5,48.0,,48.25,48.25,200,965000000.0,,,
1996-03-14,SIYARSILK,EQ,48.25,47.25,47.25,47.0,,47.0,47.13,200,942500000.0,,,
1996-03-15,SIYARSILK,EQ,47.0,46.4,46.4,46.4,,46.4,46.4,100,464000000.0,,,
1996-03-18,SIYARSILK,EQ,46.4,46.0,46.4,46.0,,46.2,46.2,200,924000000.0,,,
1996-03-19,SIYARSILK,EQ,46.2,47.0,47.0,46.0,,46.35,46.33,300,1390000000.0,,,
1996-03-22,SIYARSILK,EQ,46.35,45.0,45.0,45.0,,45.0,45.0,300,1350000000.0,,,
1996-04-03,SIYARSILK,EQ,45.0,45.0,45.0,45.0,,45.0,45.0,200,900000000.0,,,
1996-05-01,SIYARSILK,EQ,45.0,44.0,44.0,44.0,,44.0,44.0,200,880000000.0,,,
1996-05-09,SIYARSILK,EQ,44.0,44.5,44.5,44.5,,44.5,44.5,300,1335000000.0,,,
1996-05-10,SIYARSILK,EQ,44.5,40.3,40.3,40.2,,40.25,40.24,400,1609500000.0,,,
1996-05-17,SIYARSILK,EQ,40.25,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1996-05-22,SIYARSILK,EQ,39.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-05-23,SIYARSILK,EQ,38.0,37.95,38.0,37.95,,38.0,37.98,200,759500000.0,,,
1996-05-24,SIYARSILK,EQ,38.0,37.5,37.5,37.5,,37.5,37.5,100,375000000.0,,,
1996-06-03,SIYARSILK,EQ,37.5,41.0,41.0,41.0,,41.0,41.0,100,410000000.0,,,
1996-06-04,SIYARSILK,EQ,41.0,41.05,41.05,41.05,,41.05,41.05,100,410500000.0,,,
1996-06-12,SIYARSILK,EQ,41.05,45.25,45.25,45.25,,45.25,45.25,100,452500000.0,,,
1996-06-20,SIYARSILK,EQ,45.25,43.0,43.0,43.0,,43.0,43.0,300,1290000000.0,,,
1996-06-26,SIYARSILK,EQ,43.0,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1996-07-01,SIYARSILK,EQ,39.0,40.0,40.0,40.0,,40.0,40.0,100,400000000.0,,,
1996-07-04,SIYARSILK,EQ,40.0,36.5,36.5,36.5,,36.5,36.5,200,730000000.0,,,
