Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,INVESTCORP,EQ,175.95,174.05,174.05,174.05,,174.05,174.05,50,870250000.0,,,
1996-01-02,INVESTCORP,EQ,174.05,172.0,172.0,172.0,,172.0,172.0,150,2580000000.0,,,
1996-01-04,INVESTCORP,EQ,172.0,172.0,172.0,168.0,,168.0,169.5,400,6780000000.0,,,
1996-01-05,INVESTCORP,EQ,168.0,171.0,171.95,171.0,,171.95,171.32,150,2569750000.0,,,
1996-01-08,INVESTCORP,EQ,171.95,171.95,172.0,172.0,,172.0,172.0,50,860000000.0,,,
1996-01-11,INVESTCORP,EQ,172.0,172.0,161.05,161.0,,161.05,161.03,100,1610250000.0,,,
1996-01-12,INVESTCORP,EQ,161.05,169.0,169.0,169.0,,169.0,169.0,50,845000000.0,,,
1996-01-15,INVESTCORP,EQ,169.0,172.0,172.0,172.0,,172.0,172.0,2200,37840000000.0,,,
1996-01-16,INVESTCORP,EQ,172.0,165.0,165.0,165.0,,165.0,165.0,50,825000000.0,,,
1996-01-24,INVESTCORP,EQ,165.0,165.0,165.0,165.0,,165.0,165.0,5100,84150000000.0,,,
1996-01-29,INVESTCORP,EQ,165.0,165.0,162.5,155.0,,155.0,155.14,5200,80675000000.0,,,
1996-01-31,INVESTCORP,EQ,155.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-02-01,INVESTCORP,EQ,140.0,140.95,141.95,140.95,,141.95,141.21,200,2824250000.0,,,
1996-02-02,INVESTCORP,EQ,141.95,147.95,148.0,146.95,,148.0,147.56,250,3689000000.0,,,
1996-02-12,INVESTCORP,EQ,148.0,150.0,162.0,150.0,,162.0,154.0,150,2310000000.0,,,
1996-02-14,INVESTCORP,EQ,162.0,175.05,175.05,175.05,,175.05,175.05,100,1750500000.0,,,
1996-02-20,INVESTCORP,EQ,175.05,185.0,185.0,185.0,,185.0,185.0,50,925000000.0,,,
1996-03-01,INVESTCORP,EQ,185.0,200.0,200.0,200.0,,200.0,200.0,50,1000000000.0,,,
1996-03-04,INVESTCORP,EQ,200.0,200.0,205.0,200.0,,205.0,200.42,1200,24050000000.0,,,
1996-03-11,INVESTCORP,EQ,205.0,207.0,207.0,207.0,,207.0,207.0,50,1035000000.0,,,
