Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-09-08,TDPOWERSYS,EQ,256.0,260.0,309.7,242.0,275.05,275.25,278.72,15150467,422281274045000.0,311769,886945,0.058499999999999996
2011-09-09,TDPOWERSYS,EQ,275.25,274.0,313.4,274.0,308.0,306.45,297.83,4861201,144780717000000.0,110417,256349,0.0527
2011-09-12,TDPOWERSYS,EQ,306.45,305.65,312.0,298.1,301.5,304.5,305.39,2280298,69637400265000.0,47688,128110,0.0562
2011-09-13,TDPOWERSYS,EQ,304.5,309.95,309.95,298.5,300.0,301.8,302.94,1183545,35853961535000.0,24336,48480,0.040999999999999995
2011-09-14,TDPOWERSYS,EQ,301.8,303.1,321.45,298.25,309.6,313.45,312.47,1882233,58813788215000.0,41081,178721,0.095
2011-09-15,TDPOWERSYS,EQ,313.45,312.9,318.4,300.55,303.4,306.1,311.83,943134,29409490345000.0,19301,175972,0.18660000000000002
2011-09-16,TDPOWERSYS,EQ,306.1,305.35,306.65,286.0,288.1,290.45,296.78,516671,15333888400000.0,11674,70927,0.1373
2011-09-19,TDPOWERSYS,EQ,290.45,289.65,299.0,279.9,286.5,287.3,290.5,774605,22502260275000.0,20161,94386,0.1219
2011-09-20,TDPOWERSYS,EQ,287.3,288.0,294.85,285.0,288.9,288.0,290.2,243036,7052905634999.999,6848,43255,0.17800000000000002
2011-09-21,TDPOWERSYS,EQ,288.0,289.25,291.0,275.25,280.0,279.9,283.48,235214,6667928505000.0,5194,49615,0.2109
2011-09-22,TDPOWERSYS,EQ,279.9,276.0,278.1,262.3,264.0,265.05,269.53,279982,7546234330000.0,5070,59989,0.2143
2011-09-23,TDPOWERSYS,EQ,265.05,260.0,280.0,257.35,271.1,269.85,268.63,370908,9963651825000.0,8350,64335,0.17350000000000002
2011-09-26,TDPOWERSYS,EQ,269.85,270.8,275.0,262.0,268.0,268.3,268.83,105650,2840172350000.0,2525,37817,0.3579
2011-09-27,TDPOWERSYS,EQ,268.3,272.4,277.0,267.1,271.0,269.2,271.32,79267,2150645560000.0002,2920,34935,0.44070000000000004
2011-09-28,TDPOWERSYS,EQ,269.2,271.7,271.95,256.8,261.0,260.75,265.08,42766,1133636820000.0,1415,13760,0.32180000000000003
2011-09-29,TDPOWERSYS,EQ,260.75,261.1,262.85,232.7,259.0,256.7,256.73,72755,1867833785000.0002,1660,21188,0.2912
2011-09-30,TDPOWERSYS,EQ,256.7,257.0,264.0,250.0,252.0,256.95,260.29,50774,1321614895000.0,1514,12476,0.2457
2011-10-03,TDPOWERSYS,EQ,256.95,251.4,255.0,246.2,252.0,252.15,252.01,41062,1034789619999.9999,1314,17706,0.43119999999999997
2011-10-04,TDPOWERSYS,EQ,252.15,251.3,258.0,250.0,257.0,254.9,253.36,38430,973679594999.9999,703,22641,0.5891
2011-10-05,TDPOWERSYS,EQ,254.9,255.5,259.7,253.0,254.0,254.4,255.12,31508,803840250000.0,783,18817,0.5972
2011-10-07,TDPOWERSYS,EQ,254.4,257.0,262.95,254.0,259.95,259.85,256.67,31912,819097710000.0,1013,21523,0.6744
2011-10-10,TDPOWERSYS,EQ,259.85,257.0,259.5,254.25,256.0,256.05,256.44,17140,439530759999.99994,472,11617,0.6778000000000001
2011-10-11,TDPOWERSYS,EQ,256.05,254.15,258.0,254.0,255.8,256.35,256.03,6876,176047385000.0,249,2771,0.40299999999999997
2011-10-12,TDPOWERSYS,EQ,256.35,255.55,258.45,255.55,258.0,256.7,256.48,7377,189208045000.0,161,5314,0.7203
2011-10-13,TDPOWERSYS,EQ,256.7,255.0,257.25,253.35,256.0,255.9,255.4,5603,143100870000.0,180,3512,0.6268
2011-10-14,TDPOWERSYS,EQ,255.9,253.75,257.0,252.4,255.75,255.35,255.19,11917,304110450000.0,123,11072,0.9291
2011-10-17,TDPOWERSYS,EQ,255.35,254.2,257.1,254.2,257.1,256.5,255.83,6147,157256355000.0,122,5395,0.8776999999999999
2011-10-18,TDPOWERSYS,EQ,256.5,256.5,257.9,254.0,256.0,256.25,256.01,10011,256293520000.00003,233,7341,0.7333
2011-10-19,TDPOWERSYS,EQ,256.25,254.1,270.0,254.1,260.0,258.7,260.15,19797,515028759999.99994,635,11749,0.5935
2011-10-20,TDPOWERSYS,EQ,258.7,259.8,259.8,255.0,255.0,255.0,255.46,4306,110001005000.0,96,4009,0.9309999999999999
2011-10-21,TDPOWERSYS,EQ,255.0,255.0,256.95,255.0,255.0,255.1,255.39,9710,247982620000.00003,95,9553,0.9838
2011-10-24,TDPOWERSYS,EQ,255.1,257.35,261.95,255.0,256.95,255.85,256.36,22649,580631415000.0,429,13869,0.6123
2011-10-24,TDPOWERSYS,EQ,255.1,257.35,261.95,255.0,256.95,255.85,256.36,22649,580631415000.0,429,13869,0.6123
2011-10-25,TDPOWERSYS,EQ,255.85,257.5,257.5,254.95,255.0,255.05,255.17,4582,116918310000.00002,100,3828,0.8354
2011-10-26,TDPOWERSYS,EQ,255.05,257.8,257.8,250.0,253.05,253.6,253.94,742,18842040000.0,32,604,0.8140000000000001
2011-10-28,TDPOWERSYS,EQ,253.6,265.0,265.0,255.0,258.1,257.45,256.95,1197,30757095000.0,63,680,0.5681
2011-10-31,TDPOWERSYS,EQ,257.45,257.45,257.45,254.0,255.0,255.0,255.04,4085,104182265000.0,138,3696,0.9048
2011-11-01,TDPOWERSYS,EQ,255.0,255.1,270.0,252.4,254.0,255.75,255.51,8475,216543295000.00003,250,4414,0.5208
2011-11-02,TDPOWERSYS,EQ,255.75,252.0,254.85,246.9,253.0,252.85,251.97,4843,122027750000.0,107,4010,0.828
2011-11-03,TDPOWERSYS,EQ,252.85,260.0,261.05,252.0,253.9,252.5,256.57,9572,245587640000.0,274,4023,0.4203
2011-11-04,TDPOWERSYS,EQ,252.5,255.0,257.0,252.1,253.9,252.85,253.7,2335,59238644999.99999,104,1065,0.4561
2011-11-08,TDPOWERSYS,EQ,252.85,252.1,255.4,251.45,252.0,253.55,253.02,12514,316628865000.0,282,9856,0.7876000000000001
2011-11-09,TDPOWERSYS,EQ,253.55,254.0,257.5,252.0,256.0,254.65,253.49,6762,171408115000.0,137,3872,0.5726
2011-11-11,TDPOWERSYS,EQ,254.65,253.9,255.0,252.25,255.0,254.65,254.17,9649,245246635000.0,237,4867,0.5044
2011-11-14,TDPOWERSYS,EQ,254.65,254.05,300.0,254.0,267.9,270.2,281.2,786783,22124081755000.0,25534,143111,0.1819
2011-11-15,TDPOWERSYS,EQ,270.2,271.2,285.0,264.6,270.0,269.15,274.34,261087,7162752159999.999,6476,104688,0.401
2011-11-16,TDPOWERSYS,EQ,269.15,270.0,276.3,259.25,261.55,260.25,262.6,37225,977519460000.0,1233,19206,0.5159
2011-11-17,TDPOWERSYS,EQ,260.25,264.95,273.95,252.0,253.0,253.25,261.24,56472,1475282170000.0,1579,22565,0.3996
2011-11-18,TDPOWERSYS,EQ,253.25,257.0,257.0,246.0,248.0,248.6,251.04,20335,510496300000.0,601,12295,0.6046
2011-11-21,TDPOWERSYS,EQ,248.6,244.0,252.95,243.0,247.0,247.0,247.61,17468,432517640000.00006,508,8629,0.494
2011-11-22,TDPOWERSYS,EQ,247.0,244.0,251.1,225.0,234.75,237.05,238.69,23485,560561580000.0,802,10423,0.44380000000000003
2011-11-23,TDPOWERSYS,EQ,237.05,231.3,240.0,227.95,238.0,237.8,235.0,31784,746915730000.0,747,20540,0.6462000000000001
2011-11-24,TDPOWERSYS,EQ,237.8,233.55,238.0,231.0,232.55,233.45,234.18,1180,27633200000.0,86,660,0.5593
2011-11-25,TDPOWERSYS,EQ,233.45,230.6,234.0,226.55,227.2,228.75,229.34,5708,130907030000.0,156,4489,0.7864
2011-11-28,TDPOWERSYS,EQ,228.75,222.0,234.9,222.0,230.8,231.1,230.39,8288,190944650000.0,275,5593,0.6748000000000001
2011-11-29,TDPOWERSYS,EQ,231.1,228.15,231.0,220.2,220.35,225.0,225.88,678,15314729999.999998,73,338,0.4985
2011-11-30,TDPOWERSYS,EQ,225.0,222.05,223.45,218.0,218.15,219.0,219.31,7422,162769615000.0,105,4195,0.5652
2011-12-01,TDPOWERSYS,EQ,219.0,231.5,231.5,213.2,213.25,216.15,219.69,3168,69598805000.0,158,2249,0.7099
2011-12-02,TDPOWERSYS,EQ,216.15,216.0,220.0,210.0,217.8,214.65,215.38,21880,471247400000.0,396,10320,0.4717
2011-12-05,TDPOWERSYS,EQ,214.65,218.0,254.0,212.0,242.0,243.25,244.92,200848,4919261925000.0,6371,21117,0.1051
2011-12-07,TDPOWERSYS,EQ,243.25,243.0,259.95,238.95,252.05,251.95,250.45,187244,4689458340000.0,6784,54908,0.2932
2011-12-08,TDPOWERSYS,EQ,251.95,249.95,249.95,235.35,235.5,239.6,242.7,13133,318741220000.0,687,3910,0.2977
2011-12-09,TDPOWERSYS,EQ,239.6,236.05,259.0,230.75,238.8,241.85,250.5,76845,1924942789999.9998,3315,15256,0.1985
2011-12-12,TDPOWERSYS,EQ,241.85,252.45,252.45,230.1,230.1,233.55,239.02,4200,100387995000.0,261,1060,0.2524
2011-12-13,TDPOWERSYS,EQ,233.55,226.1,239.95,215.35,232.0,232.85,229.42,43946,1008194475000.0,2041,17653,0.4017
2011-12-14,TDPOWERSYS,EQ,232.85,223.0,242.0,223.0,231.1,232.5,233.77,16120,376836645000.0,445,8999,0.5583
2011-12-15,TDPOWERSYS,EQ,232.5,227.0,235.75,218.5,231.0,231.4,229.76,9176,210829285000.0,529,4838,0.5272
2011-12-16,TDPOWERSYS,EQ,231.4,228.0,242.0,228.0,235.0,235.85,236.05,14438,340811820000.0,589,9921,0.6870999999999999
2011-12-19,TDPOWERSYS,EQ,235.85,228.2,237.95,228.2,232.0,232.95,233.41,8456,197374230000.0,399,3914,0.4629
2011-12-20,TDPOWERSYS,EQ,232.95,278.9,278.9,231.0,231.0,233.75,233.48,2423,56572269999.99999,200,1409,0.5815
2011-12-21,TDPOWERSYS,EQ,233.75,233.05,235.5,224.15,227.0,229.5,231.7,11846,274477729999.99997,176,10457,0.8826999999999999
2011-12-22,TDPOWERSYS,EQ,229.5,227.0,236.8,227.0,235.5,235.1,234.05,2133,49922005000.0,192,1197,0.5612
2011-12-23,TDPOWERSYS,EQ,235.1,233.05,235.8,230.35,230.35,233.2,233.05,5334,124309825000.0,78,4718,0.8845000000000001
2011-12-26,TDPOWERSYS,EQ,233.2,235.0,242.9,235.0,235.5,239.2,239.05,3183,76088795000.0,169,2243,0.7047
2011-12-27,TDPOWERSYS,EQ,239.2,245.9,245.9,234.95,237.0,236.05,235.72,2540,59873619999.99999,155,1752,0.6898000000000001
2011-12-28,TDPOWERSYS,EQ,236.05,202.0,237.95,202.0,233.0,233.9,234.22,2278,53356244999.99999,87,1255,0.5509000000000001
2011-12-29,TDPOWERSYS,EQ,233.9,228.2,236.45,228.2,231.0,231.15,232.02,578,13410860000.0,28,437,0.7561
2011-12-30,TDPOWERSYS,EQ,231.15,227.0,230.0,221.0,222.0,222.05,224.56,2276,51110625000.0,198,1679,0.7377
2012-01-02,TDPOWERSYS,EQ,222.05,217.25,229.0,217.0,218.0,218.1,222.68,312,6947510000.000001,68,160,0.5128
2012-01-03,TDPOWERSYS,EQ,218.1,218.0,227.05,218.0,222.65,224.35,221.38,4127,91363325000.0,113,3482,0.8437000000000001
2012-01-04,TDPOWERSYS,EQ,224.35,221.3,222.6,219.1,219.1,221.9,221.27,1423,31486420000.0,56,1051,0.7386
2012-01-05,TDPOWERSYS,EQ,221.9,229.8,229.9,222.6,226.0,227.5,227.92,6346,144639085000.0,339,4416,0.6959000000000001
2012-01-06,TDPOWERSYS,EQ,227.5,223.1,225.0,220.6,220.6,223.3,223.58,329,7355925000.0,36,245,0.7447
2012-01-07,TDPOWERSYS,EQ,223.3,220.25,226.95,218.0,218.55,219.1,219.94,1136,24985680000.0,36,1060,0.9331
2012-01-09,TDPOWERSYS,EQ,219.1,222.0,239.9,222.0,231.0,234.4,230.59,3095,71367535000.0,305,1844,0.5958
2012-01-10,TDPOWERSYS,EQ,234.4,226.05,237.9,226.0,235.1,236.1,233.19,1388,32366675000.0,72,745,0.5367000000000001
2012-01-11,TDPOWERSYS,EQ,236.1,234.1,235.9,230.0,230.0,231.75,231.23,731,16903125000.0,36,410,0.5609000000000001
2012-01-12,TDPOWERSYS,EQ,231.75,229.0,232.15,225.25,227.1,228.5,228.52,4623,105643970000.0,53,3669,0.7936
2012-01-13,TDPOWERSYS,EQ,228.5,235.0,240.0,227.1,227.1,227.25,230.69,333,7681870000.0,49,227,0.6817000000000001
2012-01-16,TDPOWERSYS,EQ,227.25,222.15,241.2,222.05,238.5,239.4,233.18,1279,29823495000.0,124,621,0.4855
2012-01-17,TDPOWERSYS,EQ,239.4,235.0,237.75,231.05,236.1,235.05,234.45,3528,82714245000.0,184,2897,0.8211
2012-01-18,TDPOWERSYS,EQ,235.05,228.55,236.8,228.5,230.0,230.45,231.82,820,19009545000.0,58,388,0.4732
2012-01-19,TDPOWERSYS,EQ,230.45,226.05,233.0,226.05,227.0,230.4,230.84,681,15720490000.0,35,612,0.8987
2012-01-20,TDPOWERSYS,EQ,230.4,228.1,237.5,228.1,237.5,234.75,232.9,3232,75272065000.0,203,2287,0.7076000000000001
2012-01-23,TDPOWERSYS,EQ,234.75,243.95,243.95,230.05,233.4,232.9,231.87,502,11639785000.0,30,350,0.6972
2012-01-24,TDPOWERSYS,EQ,232.9,234.95,235.9,233.55,235.9,235.5,234.83,1147,26934534999.999996,40,1050,0.9154000000000001
2012-01-25,TDPOWERSYS,EQ,235.5,227.2,238.0,201.25,232.5,232.5,220.79,422,9317160000.0,18,200,0.4739
2012-01-27,TDPOWERSYS,EQ,232.5,231.3,233.05,231.3,233.0,233.0,232.71,2311,53778969999.99999,80,2035,0.8806
2012-01-30,TDPOWERSYS,EQ,233.0,231.0,245.05,230.0,241.9,240.55,235.2,1410,33162680000.0,201,797,0.5652
2012-01-31,TDPOWERSYS,EQ,240.55,232.0,254.0,223.15,249.9,243.7,241.32,3390,81807135000.0,277,2623,0.7737
2012-02-01,TDPOWERSYS,EQ,243.7,240.5,247.45,235.2,238.0,238.4,239.92,983,23583910000.0,135,563,0.5727000000000001
2012-02-02,TDPOWERSYS,EQ,238.4,238.0,240.5,235.0,236.05,236.05,238.04,400,9521725000.0,29,273,0.6825
2012-02-03,TDPOWERSYS,EQ,236.05,236.0,255.0,232.05,252.0,250.85,247.63,9414,233120750000.0,246,5835,0.6198
2012-02-06,TDPOWERSYS,EQ,250.85,252.0,266.6,246.0,260.0,260.65,260.26,4650,121018620000.0,233,2184,0.4697
2012-02-07,TDPOWERSYS,EQ,260.65,260.0,267.85,256.35,263.0,262.5,262.86,7938,208657495000.0,231,5731,0.7220000000000001
2012-02-08,TDPOWERSYS,EQ,262.5,263.0,263.0,257.1,259.4,262.65,260.78,702,18306690000.0,55,610,0.8689
2012-02-09,TDPOWERSYS,EQ,262.65,259.85,259.85,254.0,259.8,258.05,257.92,1377,35515845000.0,44,1354,0.9833
2012-02-10,TDPOWERSYS,EQ,258.05,248.05,257.0,234.95,246.5,251.3,245.16,6952,170434835000.0,333,1595,0.22940000000000002
2012-02-13,TDPOWERSYS,EQ,251.3,241.2,255.95,231.25,245.0,242.75,241.86,1330,32167930000.0,171,447,0.3361
2012-02-14,TDPOWERSYS,EQ,242.75,245.0,258.0,236.0,251.0,254.4,248.66,579,14397445000.000002,80,356,0.6149
2012-02-15,TDPOWERSYS,EQ,254.4,245.1,264.9,245.1,248.0,248.1,254.34,3537,89959535000.0,570,2451,0.693
2012-02-16,TDPOWERSYS,EQ,248.1,246.0,257.4,241.05,256.0,255.4,247.46,4689,116032514999.99998,174,3051,0.6507
2012-02-17,TDPOWERSYS,EQ,255.4,258.0,259.0,248.0,249.0,250.65,254.45,417,10610510000.0,46,266,0.6379
2012-02-21,TDPOWERSYS,EQ,250.65,259.9,274.25,254.0,270.0,269.0,266.8,8752,233507325000.0,213,8045,0.9192
2012-02-22,TDPOWERSYS,EQ,269.0,270.4,273.0,260.15,262.2,263.8,267.63,1226,32811180000.0,183,762,0.6215
2012-02-23,TDPOWERSYS,EQ,263.8,261.0,261.95,254.0,261.95,260.3,258.7,4193,108471225000.0,89,1834,0.4374
2012-02-24,TDPOWERSYS,EQ,260.3,257.25,269.95,257.25,265.0,263.7,262.43,766,20101785000.0,51,556,0.7258
2012-02-27,TDPOWERSYS,EQ,263.7,253.0,261.0,245.25,245.25,251.85,254.2,220,5592435000.0,43,158,0.7182
2012-02-28,TDPOWERSYS,EQ,251.85,255.0,265.0,249.2,264.4,261.75,258.89,1634,42302660000.0,232,997,0.6102000000000001
2012-02-29,TDPOWERSYS,EQ,261.75,253.05,268.65,251.25,254.35,255.9,255.93,1897,48550160000.0,107,1171,0.6173
2012-03-01,TDPOWERSYS,EQ,255.9,250.0,259.0,250.0,255.0,255.25,255.48,472,12058870000.0,24,430,0.9109999999999999
2012-03-02,TDPOWERSYS,EQ,255.25,258.0,260.0,251.0,251.0,251.35,253.26,799,20235395000.0,38,715,0.8948999999999999
2012-03-05,TDPOWERSYS,EQ,251.35,254.0,258.0,253.5,253.5,253.5,256.47,45,1154100000.0,15,18,0.4
2012-03-06,TDPOWERSYS,EQ,253.5,253.5,253.5,244.8,246.25,249.7,251.55,10816,272078125000.0,74,5685,0.5256000000000001
2012-03-07,TDPOWERSYS,EQ,249.7,242.0,264.4,240.05,243.5,243.9,244.87,22251,544870720000.0,67,21417,0.9625
2012-03-09,TDPOWERSYS,EQ,243.9,247.0,263.2,244.0,244.0,245.3,250.7,293,7345605000.0,48,182,0.6212
2012-03-12,TDPOWERSYS,EQ,245.3,249.8,257.85,242.3,249.5,249.7,247.07,601,14848725000.0,49,352,0.5857
2012-03-13,TDPOWERSYS,EQ,249.7,250.0,255.0,244.15,247.0,249.9,251.0,11646,292314940000.0,75,11474,0.9852
2012-03-14,TDPOWERSYS,EQ,249.9,259.35,259.35,247.15,247.2,247.2,252.2,60,1513175000.0,21,34,0.5667
2012-03-15,TDPOWERSYS,EQ,247.2,245.0,253.0,245.0,253.0,251.7,249.43,832,20752940000.0,51,658,0.7909
2012-03-16,TDPOWERSYS,EQ,251.7,255.0,256.0,238.05,240.05,242.2,253.79,8424,213795729999.99997,106,7750,0.92
2012-03-19,TDPOWERSYS,EQ,242.2,240.05,240.05,232.0,236.5,236.25,237.34,523,12412825000.0,31,310,0.5927
2012-03-20,TDPOWERSYS,EQ,236.25,233.0,249.75,233.0,235.0,237.55,236.32,27336,646015050000.0,79,26250,0.9603
2012-03-21,TDPOWERSYS,EQ,237.55,231.25,247.95,231.25,246.95,241.8,243.59,397,9670600000.0,35,100,0.2519
2012-03-22,TDPOWERSYS,EQ,241.8,241.05,242.0,237.0,237.0,237.3,238.99,419,10013650000.0,19,315,0.7518000000000001
2012-03-23,TDPOWERSYS,EQ,237.3,238.0,238.0,237.25,237.25,237.65,237.66,151,3588610000.0,7,140,0.9272
2012-03-26,TDPOWERSYS,EQ,237.65,241.0,254.95,241.0,253.5,251.05,250.01,6162,154055885000.0,162,4767,0.7736000000000001
2012-03-27,TDPOWERSYS,EQ,251.05,246.05,262.0,246.05,261.5,259.0,256.38,4970,127420330000.0,197,4480,0.9014
2012-03-28,TDPOWERSYS,EQ,259.0,292.9,292.9,260.0,262.15,264.35,264.56,17840,471966725000.0,135,13429,0.7526999999999999
2012-03-29,TDPOWERSYS,EQ,264.35,265.0,265.0,251.6,260.0,256.85,259.23,155,4018115000.0,12,88,0.5677000000000001
2012-03-30,TDPOWERSYS,EQ,256.85,252.0,263.5,239.95,240.5,244.6,245.65,1833,45026945000.0,72,1496,0.8161
2012-04-02,TDPOWERSYS,EQ,244.6,245.0,255.0,245.0,254.75,252.7,251.18,1816,45613445000.0,125,1509,0.8309000000000001
2012-04-03,TDPOWERSYS,EQ,252.7,251.4,265.45,251.4,265.45,264.3,261.15,1169,30528834999.999996,58,1073,0.9179
2012-04-04,TDPOWERSYS,EQ,264.3,279.45,279.45,260.3,266.25,267.55,264.82,3291,87150620000.0,120,2260,0.6867
2012-04-09,TDPOWERSYS,EQ,267.55,258.0,309.5,257.5,294.8,291.65,294.38,167281,4924491215000.0,7021,33460,0.2
2012-04-10,TDPOWERSYS,EQ,291.65,297.9,307.7,292.9,297.0,300.25,303.6,121706,3694960365000.0,4024,39528,0.3248
2012-04-11,TDPOWERSYS,EQ,300.25,296.15,299.85,287.4,296.45,294.3,294.1,35829,1053726205000.0001,546,28672,0.8002
2012-04-12,TDPOWERSYS,EQ,294.3,292.55,295.0,288.2,293.95,293.95,291.44,29623,863321200000.0,405,25385,0.8569
2012-04-13,TDPOWERSYS,EQ,293.95,290.5,325.1,290.5,308.0,307.7,313.72,117797,3695512879999.9995,4109,28457,0.2416
2012-04-16,TDPOWERSYS,EQ,307.7,304.0,331.9,304.0,330.0,325.95,319.07,41578,1326644105000.0,1247,20256,0.4872
2012-04-17,TDPOWERSYS,EQ,325.95,328.0,341.8,322.1,327.85,327.95,333.64,35086,1170592655000.0,1457,8122,0.23149999999999998
2012-04-18,TDPOWERSYS,EQ,327.95,331.0,334.5,311.0,313.0,313.3,320.94,9634,309189825000.0,443,3699,0.384
2012-04-19,TDPOWERSYS,EQ,313.3,314.25,327.0,311.05,314.0,312.45,318.74,15777,502875970000.0,625,5701,0.3613
