Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-05-17,BHAGWATIHO,EQ,40.0,45.0,57.35,30.0,48.9,49.05,50.11,36919442,184989756835000.0,,5923543,0.1604
2007-05-18,BHAGWATIHO,EQ,49.05,45.75,54.3,45.75,49.75,49.2,51.87,9531963,49443914705000.0,,1612979,0.16920000000000002
2007-05-21,BHAGWATIHO,EQ,49.2,50.0,53.95,50.0,52.25,51.95,52.33,5162459,27013290100000.0,,1118830,0.21670000000000003
2007-05-22,BHAGWATIHO,EQ,51.95,52.0,53.2,50.0,50.55,50.45,51.24,2095520,10737020855000.0,,710094,0.33890000000000003
2007-05-23,BHAGWATIHO,EQ,50.45,50.95,51.7,47.25,48.0,47.85,49.83,1817933,9058766240000.0,,448589,0.2468
2007-05-24,BHAGWATIHO,EQ,47.85,47.45,47.9,45.15,46.0,46.25,46.25,1369586,6333781515000.0,,688096,0.5024000000000001
2007-05-25,BHAGWATIHO,EQ,46.25,46.0,49.7,44.2,45.05,45.1,46.45,3470165,16117826444999.998,,1324114,0.3816
2007-05-28,BHAGWATIHO,EQ,45.1,46.25,48.0,45.9,47.0,46.45,46.96,1361767,6394370195000.0,,640706,0.4705
2007-05-29,BHAGWATIHO,EQ,46.45,47.5,47.75,45.5,45.75,45.7,46.45,788250,3661528975000.0,,207836,0.2637
2007-05-30,BHAGWATIHO,EQ,45.7,46.0,46.25,43.55,44.05,44.0,44.8,579623,2596697030000.0,,264453,0.4562
2007-05-31,BHAGWATIHO,EQ,44.0,45.35,46.7,43.85,43.85,44.1,44.95,573537,2577831430000.0,,144605,0.2521
2007-06-01,BHAGWATIHO,EQ,44.1,45.4,46.5,42.75,43.0,43.05,44.39,2438064,10821888840000.0,,940981,0.386
2007-06-04,BHAGWATIHO,EQ,43.05,44.0,44.5,42.5,42.8,42.85,43.47,393468,1710311839999.9998,,142737,0.3628
2007-06-05,BHAGWATIHO,EQ,42.85,42.8,43.0,41.6,41.9,41.95,42.17,304704,1285035085000.0,,140776,0.462
