Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-02-12,TIIL,EQ,105.0,137.0,140.0,97.0,101.8,100.05,110.22,13121403,144618975195000.0,,2350686,0.1791
2007-02-13,TIIL,EQ,100.05,103.95,116.5,96.2,113.8,111.7,108.99,4516967,49228566535000.0,,683216,0.15130000000000002
2007-02-14,TIIL,EQ,111.7,112.0,116.3,106.2,111.8,111.1,111.66,3097298,34585846664999.996,,335793,0.1084
2007-02-15,TIIL,EQ,111.1,113.6,125.55,112.0,118.2,119.55,119.7,5889482,70497079930000.0,,779679,0.13240000000000002
2007-02-19,TIIL,EQ,119.55,120.0,125.0,114.15,115.0,115.5,120.24,3630723,43655659235000.0,,610663,0.16820000000000002
2007-02-20,TIIL,EQ,115.5,116.5,117.4,110.1,111.0,111.05,113.46,1351469,15333973615000.0,,205345,0.1519
2007-02-21,TIIL,EQ,111.05,112.0,114.45,109.65,111.0,111.0,112.45,1465392,16477668819999.998,,156030,0.10650000000000001
2007-02-22,TIIL,EQ,111.0,112.0,112.65,106.0,106.65,106.95,109.38,599043,6552467060000.0,,202662,0.3383
2007-02-23,TIIL,EQ,106.95,109.9,109.9,99.0,101.6,101.75,103.22,1652559,17058292115000.0,,341587,0.20670000000000002
2007-02-26,TIIL,EQ,101.75,102.5,104.6,99.1,100.05,100.85,101.22,444048,4494564830000.0,,65894,0.1484
2007-02-27,TIIL,EQ,100.85,101.0,105.95,100.0,102.1,103.9,103.34,854045,8825623310000.0,,123175,0.1442
2007-02-28,TIIL,EQ,103.9,100.4,100.4,92.8,96.55,95.35,97.13,279270,2712606900000.0,,80584,0.2886
2007-03-01,TIIL,EQ,95.35,96.1,98.6,94.5,97.35,97.05,96.7,224835,2174093900000.0,,82132,0.3653
2007-03-02,TIIL,EQ,97.05,98.4,110.75,96.1,103.0,105.05,106.63,1972948,21037892895000.0,,250225,0.1268
2007-03-05,TIIL,EQ,105.05,102.0,102.0,90.6,92.65,92.2,96.68,466728,4512126765000.0,,90034,0.1929
2007-03-06,TIIL,EQ,92.2,93.0,97.3,89.1,91.5,91.05,92.75,327317,3035975755000.0,,69371,0.2119
2007-03-07,TIIL,EQ,91.05,95.05,95.05,77.6,83.3,82.35,84.98,383029,3254864575000.0,,91604,0.23920000000000002
2007-03-08,TIIL,EQ,82.35,87.05,92.4,77.25,92.0,90.45,86.86,605463,5259202605000.0,,130759,0.21600000000000003
2007-03-09,TIIL,EQ,90.45,87.3,95.0,87.3,90.0,89.35,91.55,407465,3730307250000.0,,68416,0.1679
2007-03-12,TIIL,EQ,89.35,90.5,96.0,89.55,92.55,92.5,93.06,327131,3044131450000.0,,93279,0.2851
2007-03-13,TIIL,EQ,92.5,92.6,101.7,92.0,99.25,99.15,98.33,569002,5595130615000.0,,114186,0.20070000000000002
2007-03-14,TIIL,EQ,99.15,96.4,97.0,90.0,94.05,94.25,94.48,126321,1193431635000.0,,37960,0.3005
2007-03-15,TIIL,EQ,94.25,96.6,108.75,96.0,101.15,100.9,103.87,955647,9926655710000.0,,210139,0.21989999999999998
2007-03-16,TIIL,EQ,100.9,104.7,105.0,95.55,97.5,97.5,100.09,308131,3084030970000.0,,47806,0.1551
2007-03-19,TIIL,EQ,97.5,98.4,101.6,98.0,99.55,99.5,100.06,166004,1661000515000.0,,45301,0.2729
2007-03-20,TIIL,EQ,99.5,101.0,102.5,98.2,98.3,98.8,100.65,179642,1808051514999.9998,,29894,0.16640000000000002
2007-03-21,TIIL,EQ,98.8,100.0,102.4,98.1,100.6,100.1,100.46,199349,2002586385000.0002,,85810,0.4305
2007-03-22,TIIL,EQ,100.1,101.5,103.0,98.15,98.7,99.45,99.88,230348,2300672655000.0,,177087,0.7687999999999999
2007-03-23,TIIL,EQ,99.45,99.45,100.4,94.55,95.2,95.9,97.53,78642,767024740000.0,,31003,0.39420000000000005
2007-03-26,TIIL,EQ,95.9,97.15,98.5,94.1,95.0,94.35,96.45,140611,1356220285000.0,,90771,0.6455
