Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-12-13,TRIVENI,EQ,48.0,52.55,67.5,52.15,66.45,64.85,60.15,38287798,230288713975000.0,,9855710,0.25739999999999996
2005-12-14,TRIVENI,EQ,64.85,68.0,70.4,64.85,67.3,67.1,67.72,13687794,92690959090000.0,,2733139,0.1997
2005-12-15,TRIVENI,EQ,67.1,67.5,68.2,64.0,67.0,66.0,66.62,5797392,38623975580000.0,,2544738,0.4389
2005-12-16,TRIVENI,EQ,66.0,66.0,67.5,63.05,64.55,64.15,65.01,2796478,18179839220000.0,,1147191,0.41020000000000006
2005-12-19,TRIVENI,EQ,64.15,65.0,69.5,64.5,68.15,68.25,67.76,6273462,42511278215000.0,,1651253,0.2632
2005-12-20,TRIVENI,EQ,68.25,68.75,76.15,68.75,72.85,73.05,72.86,13508952,98420846935000.0,,2546429,0.18850000000000003
2005-12-21,TRIVENI,EQ,73.05,73.85,75.7,73.45,74.15,74.0,74.37,4786563,35599783840000.0,,1100207,0.2299
2005-12-22,TRIVENI,EQ,74.0,74.5,78.4,73.75,78.4,76.5,75.31,3420777,25763021595000.0,,1039413,0.3039
2005-12-23,TRIVENI,EQ,76.5,79.0,80.75,75.6,76.05,76.15,78.06,4305118,33607361155000.0,,1438486,0.33409999999999995
2005-12-26,TRIVENI,EQ,76.15,76.1,76.7,69.55,70.5,70.15,71.75,2793790,20044683245000.0,,820496,0.2937
2005-12-27,TRIVENI,EQ,70.15,70.15,81.2,70.15,80.0,78.8,76.63,6405789,49086107240000.0,,1535804,0.2398
2005-12-28,TRIVENI,EQ,78.8,80.0,87.15,75.9,84.5,84.65,82.18,11993243,98565195165000.0,,2034416,0.1696
2005-12-29,TRIVENI,EQ,84.65,83.0,85.4,80.65,81.0,81.35,83.22,5247594,43669095295000.0,,1120232,0.21350000000000002
2005-12-30,TRIVENI,EQ,81.35,81.45,84.7,80.1,80.6,80.6,82.53,3974073,32797902300000.0,,832156,0.20940000000000003
2006-01-02,TRIVENI,EQ,80.6,81.3,84.7,80.5,82.3,82.65,82.92,3726226,30898254980000.0,,622263,0.167
2006-01-03,TRIVENI,EQ,82.65,82.7,85.75,82.3,83.7,83.95,84.13,4485567,37737083015000.0,,798257,0.17800000000000002
2006-01-04,TRIVENI,EQ,83.95,85.0,85.0,80.6,81.25,81.05,82.24,1895669,15590591369999.998,,774396,0.40850000000000003
2006-01-05,TRIVENI,EQ,81.05,81.3,82.9,80.35,80.75,80.65,81.27,1296437,10536484520000.0,,420462,0.3243
2006-01-06,TRIVENI,EQ,80.65,81.3,81.85,80.2,80.6,80.75,81.01,1443243,11692067210000.0,,470549,0.326
2006-01-09,TRIVENI,EQ,80.75,81.4,87.3,80.4,84.8,85.1,84.82,6872649,58294962015000.0,,1860995,0.2708
2006-01-10,TRIVENI,EQ,85.1,85.4,86.6,82.75,83.55,84.1,84.61,4221022,35714556805000.0,,952872,0.2257
2006-01-12,TRIVENI,EQ,84.1,83.8,87.5,82.5,85.0,85.05,85.9,3395997,29170471745000.0,,761977,0.22440000000000002
2006-01-13,TRIVENI,EQ,85.05,85.25,86.85,82.25,82.85,82.8,84.78,2081518,17647857925000.0,,839580,0.4033
2006-01-16,TRIVENI,EQ,82.8,85.0,85.0,80.1,80.2,80.5,81.86,1961947,16060915105000.002,,811856,0.41380000000000006
2006-01-17,TRIVENI,EQ,80.5,81.0,85.4,80.35,83.45,83.65,83.71,4794663,40135327425000.0,,1074680,0.2241
2006-01-18,TRIVENI,EQ,83.65,83.75,84.0,80.6,81.25,81.3,81.82,1481251,12120038785000.0,,397045,0.268
2006-01-19,TRIVENI,EQ,81.3,81.6,87.65,81.1,86.2,86.7,85.27,6034472,51454643525000.0,,1540534,0.2553
2006-01-20,TRIVENI,EQ,86.7,86.6,92.9,86.6,88.8,89.05,90.53,6834341,61872934165000.0,,1857124,0.2717
2006-01-23,TRIVENI,EQ,89.05,88.7,89.7,85.55,86.2,86.1,87.59,2041915,17885147010000.0,,581903,0.28500000000000003
2006-01-24,TRIVENI,EQ,86.1,86.85,88.5,85.55,86.0,86.0,86.91,1086988,9447187440000.0,,328164,0.3019
2006-01-25,TRIVENI,EQ,86.0,86.85,94.8,86.4,90.0,90.0,91.54,9938301,90975034255000.0,,2009335,0.2022
2006-01-27,TRIVENI,EQ,90.0,91.25,92.25,87.6,88.4,88.75,90.3,2984594,26951224914999.996,,1011346,0.33890000000000003
2006-01-30,TRIVENI,EQ,88.75,89.0,89.6,83.7,84.35,84.25,86.14,1340196,11544134125000.0,,592922,0.4424
2006-01-31,TRIVENI,EQ,84.25,84.35,85.0,81.15,81.75,81.85,82.26,1626498,13379927925000.0,,788105,0.48450000000000004
2006-02-01,TRIVENI,EQ,81.85,82.9,85.45,78.6,79.7,79.7,82.54,1794191,14808730669999.998,,506018,0.282
2006-02-02,TRIVENI,EQ,79.7,80.8,81.8,76.65,78.9,78.75,78.87,1614917,12736982070000.0,,603537,0.3737
2006-02-03,TRIVENI,EQ,78.75,78.4,82.0,78.25,79.45,79.2,80.37,2505647,20138389230000.0,,645463,0.2576
2006-02-06,TRIVENI,EQ,79.2,80.1,81.35,78.75,79.5,79.3,80.08,1046097,8376691395000.0,,307042,0.29350000000000004
2006-02-07,TRIVENI,EQ,79.3,79.95,80.45,78.2,80.05,80.0,79.74,1139755,9088903235000.0,,398459,0.3496
2006-02-08,TRIVENI,EQ,80.0,80.8,83.9,77.5,81.6,81.4,81.53,2808207,22895683615000.0,,798235,0.2843
