Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-09-25,UNIDT,EQ,236.8,244.95,260.45,244.0,255.1,258.55,258.24,22215,573670475000.0,676,12823,0.5772
2020-09-28,UNIDT,EQ,258.55,258.55,270.0,252.1,257.2,258.85,258.29,5664,146297320000.0,380,3258,0.5752
2020-09-29,UNIDT,EQ,258.85,257.2,278.95,257.0,262.0,266.5,269.35,26628,717213415000.0,1299,8865,0.3329
2020-09-30,UNIDT,EQ,266.5,272.0,286.8,266.8,286.0,282.3,272.56,166041,4525573490000.0,920,135063,0.8134
2020-10-01,UNIDT,EQ,282.3,290.0,294.45,271.0,279.7,274.7,281.98,16606,468256634999.99994,375,6577,0.3961
2020-10-05,UNIDT,EQ,274.7,282.95,282.95,256.05,261.15,262.6,270.82,19898,538873445000.0,345,7984,0.4012
2020-10-06,UNIDT,EQ,262.6,251.2,273.0,251.2,260.0,261.3,265.63,15605,414522615000.0,376,4836,0.3099
2020-10-07,UNIDT,EQ,261.3,261.05,264.35,249.95,250.0,251.8,254.82,32873,837661825000.0,366,30498,0.9278000000000001
2020-10-08,UNIDT,EQ,251.8,255.3,255.3,241.0,247.7,246.45,248.08,13436,333321000000.0,511,10219,0.7606
2020-10-09,UNIDT,EQ,246.45,248.05,248.05,234.25,243.6,237.1,241.43,9558,230759200000.0,210,7927,0.8294
2020-10-12,UNIDT,EQ,237.1,245.0,259.0,243.25,250.05,254.7,253.95,12565,319089115000.0,407,8290,0.6598
2020-10-13,UNIDT,EQ,254.7,244.7,269.0,244.7,264.0,260.95,254.53,95761,2437435325000.0,569,93679,0.9783000000000001
2020-10-14,UNIDT,EQ,260.95,260.95,268.95,252.3,256.65,255.75,256.18,8422,215754154999.99997,334,7259,0.8619
2020-10-15,UNIDT,EQ,255.75,247.1,263.5,242.5,247.55,248.1,248.54,5334,132569025000.0,260,3148,0.5902000000000001
2020-10-16,UNIDT,EQ,248.1,246.35,255.1,246.35,248.5,250.5,251.24,4028,101199930000.0,157,2624,0.6514
2020-10-19,UNIDT,EQ,250.5,254.85,261.0,249.35,255.0,255.15,257.5,15734,405147920000.0,198,14912,0.9478
2020-10-20,UNIDT,EQ,255.15,251.2,264.7,251.15,264.0,262.7,260.31,6132,159623265000.0,105,5703,0.93
2020-10-21,UNIDT,EQ,262.7,269.4,270.05,260.0,265.0,264.1,263.27,15705,413465100000.0,242,12898,0.8212999999999999
2020-10-22,UNIDT,EQ,264.1,264.1,265.05,261.8,264.15,264.4,262.44,3112,81670615000.0,105,2267,0.7284999999999999
2020-10-23,UNIDT,EQ,264.4,258.05,267.7,252.25,252.25,255.05,259.08,3918,101506155000.0,92,3206,0.8183
2020-10-26,UNIDT,EQ,255.05,264.35,264.35,256.0,256.0,257.2,258.11,4407,113749000000.0,101,3761,0.8534
2020-10-27,UNIDT,EQ,257.2,260.0,263.95,244.1,258.0,256.3,255.62,6042,154447935000.0,170,2188,0.36210000000000003
2020-10-28,UNIDT,EQ,256.3,258.0,262.95,250.05,252.05,254.15,258.53,11189,289270340000.0,408,4032,0.3604
