Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-29,VETO,EQ,73.0,77.0,82.0,76.0,78.0,78.05,78.26,13146,102883160000.0,98,10210,0.7767000000000001
2015-04-30,VETO,EQ,78.05,81.0,84.0,79.8,82.0,82.0,80.59,8044,64830050000.0,40,7494,0.9316
2015-05-04,VETO,EQ,82.0,82.0,83.0,82.0,83.0,83.0,82.53,637,5257100000.0,12,587,0.9215000000000001
2015-05-05,VETO,EQ,83.0,82.0,84.0,79.0,83.0,82.4,82.21,4570,37570445000.0,46,3520,0.7702
2015-05-06,VETO,EQ,82.4,81.0,82.95,81.0,81.0,81.35,81.99,953,7813725000.0,7,953,1.0
2015-05-07,VETO,EQ,81.35,81.0,82.0,80.0,80.0,80.0,81.86,4210,34461500000.0,24,4210,1.0
2015-05-08,VETO,EQ,80.0,81.0,81.0,80.0,80.0,80.0,80.95,210,1700000000.0,4,210,1.0
2015-05-11,VETO,EQ,80.0,80.0,80.0,80.0,80.0,80.0,80.0,1400,11200000000.0,7,1400,1.0
2015-05-12,VETO,EQ,80.0,79.0,80.0,79.0,80.0,80.0,79.5,200,1590000000.0,2,200,1.0
2015-05-13,VETO,EQ,80.0,81.0,81.0,74.0,76.0,76.0,75.11,16804,126219980000.0,63,14701,0.8749
2015-05-14,VETO,EQ,76.0,78.0,80.0,78.0,80.0,80.0,79.91,3110,24852250000.0,8,3010,0.9678
2015-05-15,VETO,EQ,80.0,80.0,91.7,80.0,86.0,86.6,84.01,3539,29732875000.0,33,2264,0.6397
2015-05-18,VETO,EQ,86.6,87.5,89.0,86.5,86.5,86.5,86.78,3735,32413150000.0,21,3725,0.9973000000000001
2015-05-19,VETO,EQ,86.5,88.0,88.0,84.0,86.0,86.35,86.14,805,6934250000.0,12,805,1.0
2015-05-20,VETO,EQ,86.35,87.0,103.6,85.05,92.5,92.3,95.33,37988,362156920000.0,457,22183,0.5839
2015-05-21,VETO,EQ,92.3,92.5,94.75,86.0,87.05,87.85,89.06,16147,143811125000.0,341,7457,0.4618
2015-05-22,VETO,EQ,87.85,89.95,92.0,83.3,84.1,84.1,86.03,7402,63682675000.0,61,7100,0.9592
2015-05-25,VETO,EQ,84.1,84.1,85.0,84.1,84.1,84.1,84.79,263,2230100000.0,6,263,1.0
2015-05-26,VETO,EQ,84.1,85.0,85.0,84.25,85.0,85.0,84.93,1151,9776000000.0,7,1151,1.0
2015-05-27,VETO,EQ,85.0,84.0,85.0,84.0,85.0,85.0,84.31,2474,20858500000.0,20,2374,0.9596
2015-05-28,VETO,EQ,85.0,84.0,84.85,80.05,83.0,82.5,83.71,8087,67694810000.0,57,5285,0.6535
2015-05-29,VETO,EQ,82.5,82.05,85.0,82.05,84.0,84.0,82.93,7650,63440000000.0,22,7650,1.0
2015-06-01,VETO,EQ,84.0,85.0,85.0,81.5,85.0,85.0,84.07,375,3152500000.0,7,375,1.0
2015-06-02,VETO,EQ,85.0,81.0,84.45,77.75,80.0,80.0,79.81,3642,29065395000.0,39,3539,0.9717
2015-06-03,VETO,EQ,80.0,78.0,82.0,78.0,82.0,82.0,78.08,245,1913000000.0,4,245,1.0
2015-06-04,VETO,EQ,82.0,78.05,80.0,78.05,80.0,80.0,78.88,1227,9679150000.0,8,1201,0.9788
2015-06-08,VETO,EQ,80.0,82.95,82.95,77.05,80.0,80.0,81.01,2131,17263335000.0,11,2077,0.9747
2015-06-09,VETO,EQ,80.0,80.0,80.0,80.0,80.0,80.0,80.0,1773,14184000000.0,7,1773,1.0
2015-06-10,VETO,EQ,80.0,80.0,84.0,80.0,84.0,84.0,81.0,4,32400000.0,2,4,1.0
2015-06-11,VETO,EQ,84.0,78.05,80.0,78.05,80.0,79.35,79.05,1200,9485800000.0,4,1200,1.0
2015-06-12,VETO,EQ,79.35,78.5,78.5,78.5,78.5,78.5,78.5,500,3925000000.0,1,500,1.0
2015-06-15,VETO,EQ,78.5,76.5,83.95,76.5,80.0,80.0,78.49,575,4512895000.0,7,573,0.9965
2015-06-16,VETO,EQ,80.0,76.5,80.0,76.1,77.0,77.0,76.97,2405,18511985000.0,19,1800,0.7484000000000001
2015-06-17,VETO,EQ,77.0,81.95,83.5,80.3,82.95,82.6,82.65,79593,657820615000.0,55,78841,0.9906
2015-06-18,VETO,EQ,82.6,77.1,88.0,77.1,87.0,83.1,82.51,262767,2168153614999.9998,65,261665,0.9958
2015-06-19,VETO,EQ,83.1,99.55,99.55,87.0,89.5,88.5,89.29,3314,29590580000.0,44,2693,0.8126000000000001
2015-06-22,VETO,EQ,88.5,89.0,89.8,88.0,88.0,88.0,88.28,1110,9799080000.0,15,950,0.8559000000000001
2015-06-23,VETO,EQ,88.0,90.0,90.3,89.0,90.0,89.95,89.85,1475,13252750000.0,12,1350,0.9153
2015-06-24,VETO,EQ,89.95,91.0,91.9,86.05,86.1,86.15,87.65,5125,44920925000.0,34,4450,0.8683
2015-06-25,VETO,EQ,86.15,86.9,88.0,85.25,87.0,85.9,85.53,105134,899233880000.0001,92,103479,0.9843000000000001
2015-06-26,VETO,EQ,85.9,86.25,97.9,86.0,93.0,93.95,90.91,230343,2094143725000.0,153,226294,0.9823999999999999
2015-06-29,VETO,EQ,93.95,95.7,105.0,81.0,89.3,88.9,89.42,7177,64178790000.0,52,5656,0.7881
2015-06-30,VETO,EQ,88.9,90.05,93.0,88.0,90.95,89.55,90.88,1832,16649270000.000002,28,1553,0.8477
2015-07-01,VETO,EQ,89.55,91.0,91.0,89.0,90.5,90.1,89.79,2400,21549550000.0,13,2300,0.9583
2015-07-02,VETO,EQ,90.1,90.15,90.5,84.65,90.5,90.5,88.18,4452,39257345000.0,78,3752,0.8428
2015-07-03,VETO,EQ,90.5,98.5,98.5,87.6,88.1,88.2,91.61,629,5761960000.0,13,474,0.7536
2015-07-06,VETO,EQ,88.2,87.2,91.0,87.2,90.0,90.0,90.09,301,2711820000.0,8,290,0.9634999999999999
2015-07-07,VETO,EQ,90.0,89.9,90.0,89.0,89.75,89.75,89.95,3954,35564700000.0,14,3954,1.0
2015-07-08,VETO,EQ,89.75,90.0,90.25,89.0,89.0,89.65,89.85,3900,35042500000.0,22,3900,1.0
2015-07-09,VETO,EQ,89.65,90.0,90.0,87.15,87.15,87.4,89.03,1927,17155935000.0,21,1725,0.8952
2015-07-10,VETO,EQ,87.4,89.0,89.0,87.0,87.5,87.5,87.93,2100,18465020000.0,13,2050,0.9762000000000001
2015-07-13,VETO,EQ,87.5,89.0,89.0,88.0,89.0,89.0,88.9,2050,18225000000.0,6,2050,1.0
2015-07-14,VETO,EQ,89.0,89.0,89.0,87.7,87.7,87.7,88.24,427,3767850000.0,5,402,0.9415000000000001
2015-07-15,VETO,EQ,87.7,88.9,89.0,86.8,87.25,87.3,87.79,550,4828650000.0,9,425,0.7726999999999999
2015-07-16,VETO,EQ,87.3,86.05,89.0,71.7,88.75,88.7,84.82,3435,29134900000.0,31,1625,0.4731
2015-07-17,VETO,EQ,88.7,89.0,90.1,88.0,88.0,89.0,89.57,955,8553810000.000001,11,955,1.0
2015-07-20,VETO,EQ,89.0,89.0,89.0,88.0,89.0,89.0,88.77,2820,25033200000.0,12,2820,1.0
2015-07-21,VETO,EQ,89.0,90.0,90.0,77.0,77.8,79.3,83.62,19420,162397565000.0,118,15265,0.7859999999999999
2015-07-22,VETO,EQ,79.3,84.0,84.9,73.0,77.85,78.9,76.68,20031,153600050000.0,229,9693,0.4839
2015-07-23,VETO,EQ,78.9,78.0,83.0,75.6,80.5,80.5,78.76,13784,108560395000.0,171,4734,0.34340000000000004
2015-07-24,VETO,EQ,80.5,81.95,82.9,75.1,77.85,77.35,77.2,26777,206713250000.0,178,10790,0.40299999999999997
2015-07-27,VETO,EQ,77.35,75.3,83.0,71.0,74.2,74.35,74.68,20923,156256225000.0,225,10593,0.5063000000000001
2015-07-28,VETO,EQ,74.35,77.4,83.0,75.0,78.4,79.3,79.86,14563,116305739999.99998,113,9163,0.6292
2015-07-29,VETO,EQ,79.3,80.0,80.0,78.0,79.75,79.75,78.48,439,3445265000.0,10,437,0.9954000000000001
2015-07-30,VETO,EQ,79.75,81.5,81.9,79.75,80.0,80.75,80.9,1858,15031885000.0,27,1856,0.9989
2015-07-31,VETO,EQ,80.75,81.0,81.95,79.05,79.05,80.1,80.83,1878,15180425000.0,23,1673,0.8908
2015-08-03,VETO,EQ,80.1,81.0,81.0,74.05,81.0,80.1,77.39,6615,51194325000.0,82,4103,0.6203000000000001
2015-08-04,VETO,EQ,80.1,81.0,81.0,80.0,80.0,80.0,80.55,11,88600000.0,3,11,1.0
2015-08-05,VETO,EQ,80.0,80.0,81.95,79.0,81.95,81.7,80.58,2975,23972670000.0,22,2750,0.9244
2015-08-06,VETO,EQ,81.7,92.0,92.0,75.55,79.0,77.5,80.16,10585,84845440000.0,76,5385,0.5086999999999999
2015-08-07,VETO,EQ,77.5,83.7,83.7,69.0,71.4,71.15,72.05,142395,1025928775000.0,576,92681,0.6509
2015-08-10,VETO,EQ,71.15,70.25,77.5,69.5,71.7,72.85,71.34,254958,1818821660000.0002,665,185080,0.7259000000000001
2015-08-11,VETO,EQ,72.85,75.0,77.0,73.0,74.25,74.55,76.55,208451,1595592940000.0,402,124187,0.5958
2015-08-12,VETO,EQ,74.55,70.3,75.7,70.25,73.0,73.0,71.11,266187,1892876114999.9998,301,221772,0.8331000000000001
2015-08-13,VETO,EQ,73.0,75.0,79.0,70.0,78.7,76.8,76.35,255004,1947081005000.0,522,64765,0.254
2015-08-14,VETO,EQ,76.8,77.0,79.75,73.45,74.0,74.05,75.38,7719,58183019999.99999,73,6996,0.9063
2015-08-17,VETO,EQ,74.05,76.9,79.0,70.5,71.0,71.05,71.34,490578,3499998835000.0,849,232597,0.47409999999999997
2015-08-18,VETO,EQ,71.05,73.0,74.9,70.2,71.1,70.95,71.7,411870,2952999365000.0,637,249219,0.6051
2015-08-19,VETO,EQ,70.95,72.0,73.45,71.55,72.0,72.6,72.6,37902,275166085000.0,202,19669,0.5189
2015-08-20,VETO,EQ,72.6,73.0,77.0,71.35,72.15,73.4,74.7,295610,2208071490000.0,882,134657,0.45549999999999996
2015-08-21,VETO,EQ,73.4,74.0,75.95,71.0,75.8,74.2,73.24,118166,865390830000.0001,433,57781,0.489
2015-08-24,VETO,EQ,74.2,74.25,74.25,68.0,68.0,69.75,70.54,71668,505572920000.0,466,39768,0.5549000000000001
2015-08-25,VETO,EQ,69.75,72.0,73.65,67.9,70.6,70.3,70.39,40177,282817220000.0,247,20038,0.4987
2015-08-26,VETO,EQ,70.3,72.0,72.0,67.0,67.0,68.5,69.07,17725,122426155000.0,190,11629,0.6561
2015-08-27,VETO,EQ,68.5,70.5,73.0,69.0,69.35,69.85,70.08,38171,267521015000.0,243,14752,0.3865
2015-08-28,VETO,EQ,69.85,70.5,72.0,69.9,70.95,70.85,71.38,118534,846051900000.0,184,90776,0.7658
2015-08-31,VETO,EQ,70.85,71.45,74.95,70.05,72.05,72.45,72.33,88813,642380120000.0,268,69450,0.782
2015-09-01,VETO,EQ,72.45,72.5,74.0,70.0,70.7,70.65,70.72,20209,142927180000.0,73,10157,0.5025999999999999
2015-09-02,VETO,EQ,70.65,71.0,73.0,70.5,72.0,71.75,71.91,21248,152797505000.0,73,12651,0.5954
2015-09-03,VETO,EQ,71.75,72.5,74.0,72.0,72.1,72.75,72.92,19157,139696525000.0,100,10834,0.5655
2015-09-04,VETO,EQ,72.75,71.1,71.1,69.2,69.2,69.7,70.12,14122,99018565000.0,67,7206,0.5103
2015-09-07,VETO,EQ,69.7,70.6,70.6,68.0,68.0,68.55,69.62,6374,44376060000.0,70,4024,0.6313000000000001
2015-09-08,VETO,EQ,68.55,70.0,72.95,68.5,70.05,70.3,70.79,21743,153909050000.0,112,7698,0.354
2015-09-09,VETO,EQ,70.3,70.3,72.5,70.0,70.0,70.4,70.52,31045,218926079999.99997,110,20594,0.6634000000000001
2015-09-10,VETO,EQ,70.4,70.0,70.0,65.15,69.25,69.25,68.52,4950,33917230000.0,70,2395,0.48380000000000006
2015-09-11,VETO,EQ,69.25,71.15,72.0,69.75,70.1,70.2,70.81,3807,26957725000.0,50,2763,0.7258
2015-09-14,VETO,EQ,70.2,71.5,74.8,71.0,71.5,71.5,71.92,92278,663626440000.0,345,71704,0.777
2015-09-15,VETO,EQ,71.5,72.5,75.0,72.1,72.7,72.5,73.53,19525,143566605000.0,234,8230,0.4215
2015-09-16,VETO,EQ,72.5,73.45,74.45,71.05,72.1,73.45,73.56,140878,1036233965000.0,196,82203,0.5835
2015-09-18,VETO,EQ,73.45,74.0,76.0,70.05,71.95,71.65,71.84,34023,244427795000.00003,301,16573,0.48710000000000003
2015-09-21,VETO,EQ,71.65,72.35,78.0,72.0,73.4,73.5,74.33,54340,403895800000.0,306,16592,0.3053
2015-09-22,VETO,EQ,73.5,74.35,75.95,73.0,73.45,73.4,74.35,24136,179441630000.0,153,11452,0.47450000000000003
2015-09-23,VETO,EQ,73.4,73.5,75.2,72.7,74.5,74.6,74.51,13146,97950290000.0,104,9301,0.7075
2015-09-24,VETO,EQ,74.6,75.0,81.3,75.0,79.35,79.35,79.22,121855,965287825000.0,725,67893,0.5572
2015-09-28,VETO,EQ,79.35,80.5,81.0,76.0,77.0,77.75,79.68,27137,216237954999.99997,215,18460,0.6803
2015-09-29,VETO,EQ,77.75,78.0,78.5,75.55,77.0,76.9,76.64,8098,62063469999.99999,131,3919,0.4839
2015-09-30,VETO,EQ,76.9,79.9,79.9,76.5,76.6,76.7,77.65,4576,35532220000.0,62,2175,0.4753
2015-10-01,VETO,EQ,76.7,79.4,79.45,74.1,75.0,75.65,75.36,168529,1270011490000.0,320,118679,0.7042
2015-10-05,VETO,EQ,75.65,76.7,80.4,72.6,75.5,75.1,74.38,187094,1391685915000.0,810,84451,0.4514
2015-10-06,VETO,EQ,75.1,76.0,77.4,74.75,76.0,75.5,75.26,288548,2171660745000.0,518,161737,0.5605
2015-10-07,VETO,EQ,75.5,76.4,78.25,74.05,75.1,75.45,75.81,213790,1620833055000.0,712,86210,0.4032
2015-10-08,VETO,EQ,75.45,76.7,77.8,74.35,75.2,75.0,75.42,137134,1034245865000.0,464,92117,0.6717000000000001
2015-10-09,VETO,EQ,75.0,76.2,76.95,75.0,75.0,75.35,75.8,199142,1509595750000.0,525,90357,0.4537
2015-10-12,VETO,EQ,75.35,75.0,76.95,75.0,76.15,76.15,76.16,70678,538276650000.0,190,37530,0.531
2015-10-13,VETO,EQ,76.15,76.45,76.9,74.85,75.4,75.4,75.61,141430,1069363960000.0,397,70075,0.4955
2015-10-14,VETO,EQ,75.4,75.9,76.2,74.75,75.2,75.35,75.22,229508,1726394745000.0,433,127718,0.5565
2015-10-15,VETO,EQ,75.35,76.45,83.95,76.1,82.0,82.95,81.41,663598,5402089595000.0,3201,248224,0.3741
2015-10-16,VETO,EQ,82.95,82.3,85.85,81.1,83.7,83.6,83.45,255521,2132277875000.0,1564,117771,0.46090000000000003
2015-10-19,VETO,EQ,83.6,83.1,86.65,83.1,83.85,84.05,84.94,124671,1058950594999.9999,903,61668,0.49460000000000004
2015-10-20,VETO,EQ,84.05,84.0,86.0,82.25,82.6,82.5,84.02,81535,685021760000.0,699,44549,0.5464
2015-10-21,VETO,EQ,82.5,82.2,84.2,80.6,80.6,80.8,82.14,44782,367820825000.0,463,21466,0.4793
2015-10-23,VETO,EQ,80.8,81.7,94.0,81.7,89.75,91.05,89.05,1661496,14795495185000.0,5901,365507,0.22
2015-10-26,VETO,EQ,91.05,89.6,94.0,88.5,89.55,89.95,91.36,274393,2506984235000.0,2290,123908,0.4516
2015-10-27,VETO,EQ,89.95,90.0,92.0,88.1,88.7,89.2,90.47,173922,1573505780000.0,1344,83162,0.4782
2015-10-28,VETO,EQ,89.2,89.2,99.0,89.2,94.05,93.9,94.74,801654,7595075925000.0,4710,305955,0.38170000000000004
2015-10-29,VETO,EQ,93.9,94.5,104.1,94.5,99.0,99.45,101.44,992994,10073286200000.0,8136,324933,0.3272
2015-10-30,VETO,EQ,99.45,100.5,102.9,95.55,98.95,97.55,99.29,277271,2753022340000.0,2180,133474,0.4814
2015-11-02,VETO,EQ,97.55,98.2,102.3,97.55,100.75,100.5,100.63,159021,1600243260000.0,1586,50127,0.3152
2015-11-03,VETO,EQ,100.5,101.85,105.4,98.8,99.15,99.05,100.9,313829,3166383090000.0,1459,192888,0.6146
2015-11-04,VETO,EQ,99.05,100.8,101.4,97.2,98.4,98.0,99.09,83218,824567705000.0,1249,39434,0.4739
2015-11-05,VETO,EQ,98.0,98.0,98.85,96.1,96.65,96.85,97.1,30748,298574340000.0,334,21259,0.6914
2015-11-06,VETO,EQ,96.85,95.5,100.0,95.1,96.1,96.3,97.15,30849,299697830000.0,362,17214,0.5579999999999999
2015-11-09,VETO,EQ,96.3,95.2,103.95,94.0,102.4,102.1,100.68,174189,1753759180000.0,1935,56248,0.3229
2015-11-10,VETO,EQ,102.1,100.05,102.9,98.5,99.2,98.95,100.23,68694,688506750000.0,755,24675,0.3592
2015-11-11,VETO,EQ,98.95,100.0,102.8,98.05,102.0,101.75,101.66,33251,338030040000.0,386,17668,0.5314
2015-11-13,VETO,EQ,101.75,101.0,103.8,99.5,102.2,103.05,102.19,67124,685943095000.0,772,35286,0.5257000000000001
2015-11-16,VETO,EQ,103.05,102.0,113.8,102.0,111.95,111.45,108.77,435540,4737490620000.0,3495,160633,0.3688
2015-11-17,VETO,EQ,111.45,112.5,115.45,107.85,110.0,109.3,112.93,220163,2486350465000.0,2717,89953,0.4086
2015-11-18,VETO,EQ,109.3,109.05,112.4,107.5,108.4,108.35,109.84,97959,1075952515000.0,1091,47454,0.4844
2015-11-19,VETO,EQ,108.35,109.9,111.0,107.55,108.65,108.75,109.36,85749,937751415000.0,897,39004,0.4549
2015-11-20,VETO,EQ,108.75,109.1,110.8,105.15,107.2,106.75,107.75,50790,547271634999.99994,592,28689,0.5649000000000001
2015-11-23,VETO,EQ,106.75,107.55,110.5,103.7,104.25,104.85,107.14,98563,1056022630000.0001,746,59567,0.6043999999999999
2015-11-24,VETO,EQ,104.85,106.25,108.25,104.0,105.9,104.75,105.89,46471,492099295000.0,833,17479,0.3761
2015-11-26,VETO,EQ,104.75,105.5,106.7,102.0,103.5,103.1,103.84,112125,1164308670000.0,787,70553,0.6292
2015-11-27,VETO,EQ,103.1,104.5,104.95,99.55,102.8,102.75,102.33,151455,1549845080000.0,1085,64174,0.42369999999999997
2015-11-30,VETO,EQ,102.75,103.5,106.35,101.15,102.4,102.6,103.29,82607,853238160000.0,513,51607,0.6247
2015-12-01,VETO,EQ,102.6,103.75,103.75,99.85,100.0,100.35,101.19,25632,259369435000.0,596,17557,0.685
2015-12-02,VETO,EQ,100.35,100.35,104.4,99.6,102.95,102.3,102.5,216621,2220422105000.0,1047,59315,0.2738
2015-12-03,VETO,EQ,102.3,103.25,109.6,102.35,105.5,105.25,106.9,687573,7350476940000.001,3576,265588,0.38630000000000003
2015-12-04,VETO,EQ,105.25,104.65,108.5,103.1,104.25,104.0,106.05,140106,1485760180000.0,1398,60239,0.43
2015-12-07,VETO,EQ,104.0,105.7,105.75,100.75,102.3,102.1,102.73,87278,896614755000.0001,1114,53421,0.6121
2015-12-08,VETO,EQ,102.1,102.5,102.95,99.5,100.4,99.95,101.03,54200,547585650000.0,577,43018,0.7937000000000001
2015-12-09,VETO,EQ,99.95,100.05,101.4,93.3,93.75,94.7,97.93,108168,1059323319999.9999,1549,47028,0.43479999999999996
2015-12-10,VETO,EQ,94.7,95.5,99.9,95.15,97.75,97.5,97.55,61790,602789285000.0,1028,19805,0.32049999999999995
2015-12-11,VETO,EQ,97.5,99.2,104.7,98.0,100.3,99.95,101.41,217559,2206313025000.0,2322,122698,0.564
2015-12-14,VETO,EQ,99.95,98.5,102.05,98.5,101.2,101.1,100.67,45433,457374830000.0,662,24554,0.5404
2015-12-15,VETO,EQ,101.1,100.5,102.1,99.5,101.1,101.3,100.63,40267,405196595000.0,559,25491,0.633
2015-12-16,VETO,EQ,101.3,101.3,104.5,100.2,101.5,101.2,102.41,48620,497905155000.0,770,18742,0.38549999999999995
2015-12-17,VETO,EQ,101.2,101.5,103.75,100.65,101.5,101.85,102.15,61263,625788520000.0,617,24440,0.39890000000000003
2015-12-18,VETO,EQ,101.85,102.9,103.9,101.0,102.55,101.85,102.54,49644,509063190000.00006,553,24606,0.49560000000000004
2015-12-21,VETO,EQ,101.85,102.9,106.0,102.55,104.3,104.0,104.32,79708,831487710000.0,1016,26661,0.3345
2015-12-22,VETO,EQ,104.0,104.75,109.0,102.95,103.45,104.05,106.71,682753,7285581225000.0,3807,224220,0.3284
2015-12-23,VETO,EQ,104.05,104.75,105.7,101.45,102.7,102.7,103.2,189596,1956709805000.0,1273,88755,0.4681
2015-12-24,VETO,EQ,102.7,103.35,104.35,101.6,102.5,102.45,102.77,76864,789932920000.0,705,39073,0.5083
2015-12-28,VETO,EQ,102.45,103.4,103.65,101.2,102.4,101.95,102.51,51327,526157030000.0,718,32600,0.6351
2015-12-29,VETO,EQ,101.95,102.0,103.9,101.6,102.55,102.1,102.64,64961,666775820000.0,563,32663,0.5028
2015-12-30,VETO,EQ,102.1,102.7,103.5,101.55,101.65,101.95,102.55,79962,819987585000.0,502,46916,0.5867
2015-12-31,VETO,EQ,101.95,102.0,102.75,99.55,100.0,100.4,100.89,59001,595262615000.0,426,33630,0.5700000000000001
2016-01-01,VETO,EQ,100.4,102.85,105.6,100.7,101.55,101.7,102.53,169173,1734598230000.0,1342,69502,0.4108
2016-01-04,VETO,EQ,101.7,102.0,103.95,100.0,102.0,101.85,101.8,99130,1009152555000.0001,787,58604,0.5912
2016-01-05,VETO,EQ,101.85,101.0,107.5,101.0,105.25,105.25,105.4,499750,5267452540000.0,2587,210045,0.4203
2016-01-06,VETO,EQ,105.25,106.0,110.5,104.05,105.0,104.8,107.45,437804,4704326460000.0,3458,149554,0.34159999999999996
2016-01-07,VETO,EQ,104.8,103.7,104.5,101.5,103.5,103.3,103.14,146760,1513646055000.0,1264,85118,0.58
2016-01-08,VETO,EQ,103.3,104.8,119.2,104.8,117.4,117.6,113.64,993518,11290420605000.0,9306,297106,0.299
2016-01-11,VETO,EQ,117.6,116.7,123.4,112.35,118.6,118.3,119.1,1014250,12079403450000.0,10573,241404,0.23800000000000002
2016-01-12,VETO,EQ,118.3,119.75,124.0,115.6,118.8,118.35,120.11,404530,4858659155000.0,4175,148770,0.3678
2016-01-13,VETO,EQ,118.35,119.6,121.9,104.5,114.0,113.65,112.12,485927,5447988840000.0,4940,173803,0.3577
2016-01-14,VETO,EQ,113.65,111.7,117.5,106.5,111.4,111.2,112.96,249545,2818875390000.0,2569,58802,0.2356
2016-01-15,VETO,EQ,111.2,113.05,117.2,106.1,107.95,107.05,112.29,226977,2548763780000.0,2069,122574,0.54
2016-01-18,VETO,EQ,107.05,107.05,116.1,101.7,107.3,107.85,110.48,1087254,12011655220000.0,8619,228620,0.21030000000000001
2016-01-19,VETO,EQ,107.85,107.8,113.4,107.5,112.25,112.6,111.11,359429,3993449020000.0005,2598,152218,0.42350000000000004
2016-01-20,VETO,EQ,112.6,110.3,110.3,105.25,107.1,107.35,107.79,141357,1523682595000.0,2183,54151,0.38310000000000005
2016-01-21,VETO,EQ,107.35,109.5,110.5,107.0,108.45,107.8,108.47,68045,738054380000.0,814,30074,0.44200000000000006
2016-01-22,VETO,EQ,107.8,109.6,115.3,108.8,112.7,112.7,112.66,167831,1890758010000.0002,2133,52068,0.3102
2016-01-25,VETO,EQ,112.7,114.3,117.45,112.2,114.65,114.6,114.93,311790,3583367515000.0,1906,129541,0.4155
2016-01-27,VETO,EQ,114.6,115.4,116.3,113.6,114.05,114.25,114.83,92640,1063782094999.9999,1021,26233,0.2832
2016-01-28,VETO,EQ,114.25,113.65,117.25,113.0,113.65,113.7,114.99,90603,1041804480000.0001,1030,23104,0.255
2016-01-29,VETO,EQ,113.7,114.0,116.5,113.2,113.4,113.6,114.56,56251,644414930000.0,586,18290,0.3251
2016-02-01,VETO,EQ,113.6,114.85,116.5,113.9,114.6,114.4,115.19,59605,686561590000.0,700,25849,0.4337
2016-02-02,VETO,EQ,114.4,115.8,115.8,110.65,113.45,112.45,113.93,37791,430545405000.0,369,18070,0.4782
2016-02-03,VETO,EQ,112.45,110.1,113.0,107.2,108.1,107.85,108.91,49669,540968880000.0,643,28083,0.5654
2016-02-04,VETO,EQ,107.85,109.75,113.0,105.4,106.6,106.95,109.6,59878,656282615000.0,805,24308,0.406
2016-02-05,VETO,EQ,106.95,108.95,110.3,106.9,109.0,109.45,108.92,73308,798466445000.0,659,31685,0.4322
