Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-01-10,ZEENEWS,EQ,1.0,89.0,89.0,33.5,33.8,34.25,37.24,16042771,59742527904999.99,,5511496,0.3436
2007-01-11,ZEENEWS,EQ,34.25,34.5,36.75,30.15,31.5,31.45,33.34,10034178,33456412205000.0,,3326305,0.3315
2007-01-12,ZEENEWS,EQ,31.45,32.4,32.4,29.65,29.8,29.8,30.75,3933807,12097424460000.0,,1690798,0.42979999999999996
2007-01-15,ZEENEWS,EQ,29.8,30.4,34.0,29.6,31.7,31.65,32.42,7418356,24049251210000.0,,2072474,0.27940000000000004
2007-01-16,ZEENEWS,EQ,31.65,32.0,33.6,31.4,33.35,33.05,32.63,3997368,13042986350000.0,,1463973,0.36619999999999997
2007-01-17,ZEENEWS,EQ,33.05,33.9,34.0,32.9,33.4,33.35,33.39,3219884,10751445580000.0,,1191488,0.37
2007-01-18,ZEENEWS,EQ,33.35,33.5,34.7,32.5,33.05,32.9,33.46,3922278,13124286955000.0,,1837885,0.4686
2007-01-19,ZEENEWS,EQ,32.9,33.3,33.55,32.4,32.65,32.75,32.82,1300011,4266592740000.0,,445726,0.3429
2007-01-22,ZEENEWS,EQ,32.75,33.3,33.3,31.95,32.0,32.1,32.34,1351214,4370203465000.0,,636243,0.47090000000000004
2007-01-23,ZEENEWS,EQ,32.1,32.25,33.9,31.95,32.7,32.7,33.02,2319056,7657006595000.0,,692453,0.2986
2007-01-24,ZEENEWS,EQ,32.7,32.7,33.0,32.0,32.5,32.25,32.45,1188002,3855606035000.0,,479449,0.4036
2007-01-25,ZEENEWS,EQ,32.25,32.6,32.6,31.6,32.0,31.95,32.14,1011753,3251731215000.0,,576725,0.5700000000000001
2007-01-29,ZEENEWS,EQ,31.95,32.3,33.5,32.0,33.25,33.1,32.98,1557557,5136944385000.0,,869616,0.5583
2007-01-31,ZEENEWS,EQ,33.1,33.75,34.45,33.15,33.45,33.3,33.55,1220901,4095913985000.0,,519583,0.42560000000000003
2007-02-01,ZEENEWS,EQ,33.3,33.5,33.8,32.9,33.25,33.3,33.27,980520,3261849265000.0,,306641,0.3127
2007-02-02,ZEENEWS,EQ,33.3,33.7,35.4,33.1,34.4,34.5,34.34,2843161,9764534700000.0,,1029880,0.3622
2007-02-05,ZEENEWS,EQ,34.5,34.95,38.4,34.75,36.6,36.5,36.73,7915106,29071598785000.004,,3289880,0.4156
2007-02-06,ZEENEWS,EQ,36.5,37.0,38.1,36.5,37.0,36.95,37.37,3310568,12373078395000.0,,1570995,0.47450000000000003
2007-02-07,ZEENEWS,EQ,36.95,37.65,37.65,36.5,36.85,36.8,36.83,1387885,5111667210000.0,,751947,0.5418000000000001
2007-02-08,ZEENEWS,EQ,36.8,37.0,38.9,36.5,37.55,37.55,37.72,3378606,12744748515000.0,,1156737,0.34240000000000004
2007-02-09,ZEENEWS,EQ,37.55,37.6,37.7,35.6,35.85,36.0,36.45,1298091,4731582985000.0,,640420,0.49340000000000006
2007-02-12,ZEENEWS,EQ,36.0,35.1,35.85,31.95,35.0,34.35,33.72,1977001,6667158900000.0,,852951,0.4314
2007-02-13,ZEENEWS,EQ,34.35,34.8,36.2,33.55,35.2,34.9,35.33,1702354,6013929570000.0,,675866,0.397
2007-02-14,ZEENEWS,EQ,34.9,35.0,35.2,30.05,33.45,33.4,33.47,1976718,6615345770000.0,,1052545,0.5325
2007-02-15,ZEENEWS,EQ,33.4,33.6,37.0,33.6,36.6,35.95,35.2,2249862,7919024090000.001,,1219811,0.5422
2007-02-19,ZEENEWS,EQ,35.95,36.0,43.15,36.0,42.7,42.95,41.65,22505368,93734256920000.0,,5136463,0.22820000000000001
2007-02-20,ZEENEWS,EQ,42.95,44.25,44.25,38.7,39.65,39.35,40.95,8156621,33398017780000.0,,2451885,0.3006
2007-02-21,ZEENEWS,EQ,39.35,39.35,43.35,38.55,41.4,41.2,41.81,11031632,46118029570000.0,,1843821,0.1671
2007-02-22,ZEENEWS,EQ,41.2,41.25,45.9,40.3,43.65,44.0,44.08,18352972,80892745995000.0,,3364239,0.1833
2007-02-23,ZEENEWS,EQ,44.0,44.0,44.45,40.95,41.05,41.35,42.68,7179552,30639356339999.996,,1820722,0.2536
2007-02-26,ZEENEWS,EQ,41.35,42.0,43.1,39.9,41.35,41.25,41.54,4970250,20644334710000.0,,853697,0.1718
2007-02-27,ZEENEWS,EQ,41.25,41.5,42.45,40.95,41.05,41.05,41.58,3146305,13081968175000.0,,702321,0.2232
2007-02-28,ZEENEWS,EQ,41.05,38.0,40.85,35.25,39.7,39.45,39.88,2247890,8964821930000.0,,650769,0.2895
2007-03-01,ZEENEWS,EQ,39.45,39.5,41.0,38.75,39.35,39.45,39.57,1817853,7193073325000.0,,458520,0.2522
2007-03-02,ZEENEWS,EQ,39.45,39.5,42.4,38.8,39.15,39.25,40.7,3585675,14594058469999.998,,715356,0.1995
2007-03-05,ZEENEWS,EQ,39.25,38.0,38.8,34.35,37.6,36.65,36.59,2482058,9081088030000.0,,758563,0.3056
